Aspect,N,NE,E,SE,S,SW,W,NW
Number,14,255,590,634,717,773,561,264
Area (km2),1.7,89.1,466.6,754.6,1078.7,991.3,412.6,107.8
Estimated ice reserves (km3),0.03,3.1,30. 9,58.2,108.3,86.3,21.6,4.1
