Maximum Length of Consecutive Dry Spell - (Days), Year, Model, Statistics, ISO3
6.58131, 2040-2059, access1_0, Jan Anomaly, NPL
8.04874, 2040-2059, access1_0, Feb Anomaly, NPL
1.25529, 2040-2059, access1_0, Mar Anomaly, NPL
0.32489, 2040-2059, access1_0, Apr Anomaly, NPL
-0.8718, 2040-2059, access1_0, May Anomaly, NPL
-0.4963, 2040-2059, access1_0, Jun Anomaly, NPL
0.00124, 2040-2059, access1_0, Jul Anomaly, NPL
0.04005, 2040-2059, access1_0, Aug Anomaly, NPL
1.07684, 2040-2059, access1_0, Sep Anomaly, NPL
3.56553, 2040-2059, access1_0, Oct Anomaly, NPL
5.87967, 2040-2059, access1_0, Nov Anomaly, NPL
7.74309, 2040-2059, access1_0, Dec Anomaly, NPL
5.035, 2040-2059, access1_3, Jan Anomaly, NPL
0.18617, 2040-2059, access1_3, Feb Anomaly, NPL
1.74256, 2040-2059, access1_3, Mar Anomaly, NPL
3.62216, 2040-2059, access1_3, Apr Anomaly, NPL
1.62471, 2040-2059, access1_3, May Anomaly, NPL
-1.3948, 2040-2059, access1_3, Jun Anomaly, NPL
-0.0898, 2040-2059, access1_3, Jul Anomaly, NPL
0.0624, 2040-2059, access1_3, Aug Anomaly, NPL
0.05217, 2040-2059, access1_3, Sep Anomaly, NPL
2.69246, 2040-2059, access1_3, Oct Anomaly, NPL
5.67316, 2040-2059, access1_3, Nov Anomaly, NPL
7.64735, 2040-2059, access1_3, Dec Anomaly, NPL
1.30961, 2040-2059, bcc_csm1_1_m, Jan Anomaly, NPL
-1.8939, 2040-2059, bcc_csm1_1_m, Feb Anomaly, NPL
4.59299, 2040-2059, bcc_csm1_1_m, Mar Anomaly, NPL
8.31729, 2040-2059, bcc_csm1_1_m, Apr Anomaly, NPL
12.3057, 2040-2059, bcc_csm1_1_m, May Anomaly, NPL
2.42857, 2040-2059, bcc_csm1_1_m, Jun Anomaly, NPL
0.54661, 2040-2059, bcc_csm1_1_m, Jul Anomaly, NPL
-0.0065, 2040-2059, bcc_csm1_1_m, Aug Anomaly, NPL
-0.8286, 2040-2059, bcc_csm1_1_m, Sep Anomaly, NPL
-2.1364, 2040-2059, bcc_csm1_1_m, Oct Anomaly, NPL
4.52098, 2040-2059, bcc_csm1_1_m, Nov Anomaly, NPL
6.40906, 2040-2059, bcc_csm1_1_m, Dec Anomaly, NPL
3.37846, 2040-2059, bcc_csm1_1, Jan Anomaly, NPL
-1.0441, 2040-2059, bcc_csm1_1, Feb Anomaly, NPL
-2.9813, 2040-2059, bcc_csm1_1, Mar Anomaly, NPL
2.46701, 2040-2059, bcc_csm1_1, Apr Anomaly, NPL
2.4627, 2040-2059, bcc_csm1_1, May Anomaly, NPL
-2.9044, 2040-2059, bcc_csm1_1, Jun Anomaly, NPL
-5.7295, 2040-2059, bcc_csm1_1, Jul Anomaly, NPL
-1.3003, 2040-2059, bcc_csm1_1, Aug Anomaly, NPL
-5.9527, 2040-2059, bcc_csm1_1, Sep Anomaly, NPL
0.39261, 2040-2059, bcc_csm1_1, Oct Anomaly, NPL
-2.9715, 2040-2059, bcc_csm1_1, Nov Anomaly, NPL
-1.7028, 2040-2059, bcc_csm1_1, Dec Anomaly, NPL
5.9499, 2040-2059, bnu_esm, Jan Anomaly, NPL
5.98582, 2040-2059, bnu_esm, Feb Anomaly, NPL
1.6867, 2040-2059, bnu_esm, Mar Anomaly, NPL
-2.738, 2040-2059, bnu_esm, Apr Anomaly, NPL
-3.5529, 2040-2059, bnu_esm, May Anomaly, NPL
2.15019, 2040-2059, bnu_esm, Jun Anomaly, NPL
-0.2128, 2040-2059, bnu_esm, Jul Anomaly, NPL
-0.0935, 2040-2059, bnu_esm, Aug Anomaly, NPL
-2.2496, 2040-2059, bnu_esm, Sep Anomaly, NPL
-3.6258, 2040-2059, bnu_esm, Oct Anomaly, NPL
