Range between Wettest and Driest Year  - (MM), Year, Model, Statistics, ISO3
-17.288, 2020-2039, bcc_csm1_1_m, Annual Anomaly, NPL
36.5097, 2020-2039, bcc_csm1_1, Annual Anomaly, NPL
37.005, 2020-2039, bnu_esm, Annual Anomaly, NPL
-190.95, 2020-2039, canesm2, Annual Anomaly, NPL
-184.01, 2020-2039, ccsm4, Annual Anomaly, NPL
-283.16, 2020-2039, cesm1_cam5, Annual Anomaly, NPL
-71.251, 2020-2039, cnrm_cm5, Annual Anomaly, NPL
79.5477, 2020-2039, csiro_mk3_6_0, Annual Anomaly, NPL
-63.624, 2020-2039, gfdl_cm3, Annual Anomaly, NPL
185.576, 2020-2039, gfdl_esm2g, Annual Anomaly, NPL
616.526, 2020-2039, gfdl_esm2m, Annual Anomaly, NPL
186.418, 2020-2039, hadgem2_ao, Annual Anomaly, NPL
-120.81, 2020-2039, hadgem2_es, Annual Anomaly, NPL
-128.85, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, NPL
62.5589, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, NPL
-346.57, 2020-2039, miroc5, Annual Anomaly, NPL
102.337, 2020-2039, miroc_esm_chem, Annual Anomaly, NPL
160.491, 2020-2039, miroc_esm, Annual Anomaly, NPL
182.087, 2020-2039, mpi_esm_lr, Annual Anomaly, NPL
-478.27, 2020-2039, mpi_esm_mr, Annual Anomaly, NPL
29.738, 2020-2039, mri_cgcm3, Annual Anomaly, NPL
47.8001, 2020-2039, noresm1_m, Annual Anomaly, NPL
-513.78, 2020-2039, Ensemble (10th Percentile), Annual Anomaly, NPL
52.5452, 2020-2039, Ensemble (50th Percentile), Annual Anomaly, NPL
1047.6, 2020-2039, Ensemble (90th Percentile), Annual Anomaly, NPL
