Range between Wettest and Driest Year  - (MM), Year, Model, Statistics, ISO3
-113.36, 2020-2039, access1_0, Annual Anomaly, NPL
135.061, 2020-2039, access1_3, Annual Anomaly, NPL
-156.57, 2020-2039, bcc_csm1_1_m, Annual Anomaly, NPL
50.917, 2020-2039, bcc_csm1_1, Annual Anomaly, NPL
0.45836, 2020-2039, bnu_esm, Annual Anomaly, NPL
-531.68, 2020-2039, canesm2, Annual Anomaly, NPL
170.19, 2020-2039, ccsm4, Annual Anomaly, NPL
435.125, 2020-2039, cesm1_bgc, Annual Anomaly, NPL
-802.93, 2020-2039, cesm1_cam5, Annual Anomaly, NPL
164.422, 2020-2039, cnrm_cm5, Annual Anomaly, NPL
-31.997, 2020-2039, csiro_mk3_6_0, Annual Anomaly, NPL
54.3358, 2020-2039, gfdl_cm3, Annual Anomaly, NPL
451.531, 2020-2039, gfdl_esm2g, Annual Anomaly, NPL
630.209, 2020-2039, gfdl_esm2m, Annual Anomaly, NPL
-60.259, 2020-2039, hadgem2_ao, Annual Anomaly, NPL
-113.3, 2020-2039, hadgem2_cc, Annual Anomaly, NPL
-56.447, 2020-2039, inmcm4, Annual Anomaly, NPL
-32.403, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, NPL
-85.583, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, NPL
-357.17, 2020-2039, ipsl_cm5b_lr, Annual Anomaly, NPL
-111.61, 2020-2039, miroc5, Annual Anomaly, NPL
30.3584, 2020-2039, miroc_esm_chem, Annual Anomaly, NPL
-99.18, 2020-2039, miroc_esm, Annual Anomaly, NPL
578.227, 2020-2039, mpi_esm_lr, Annual Anomaly, NPL
-193.43, 2020-2039, mpi_esm_mr, Annual Anomaly, NPL
225.666, 2020-2039, mri_cgcm3, Annual Anomaly, NPL
442.337, 2020-2039, noresm1_m, Annual Anomaly, NPL
-512.38, 2020-2039, Ensemble (10th Percentile), Annual Anomaly, NPL
-19.359, 2020-2039, Ensemble (50th Percentile), Annual Anomaly, NPL
1076.49, 2020-2039, Ensemble (90th Percentile), Annual Anomaly, NPL
