Range between Wettest and Driest Year  - (MM), Year, Model, Statistics, ISO3
-71.443, 2060-2079, bcc_csm1_1_m, Annual Anomaly, NPL
163.856, 2060-2079, bcc_csm1_1, Annual Anomaly, NPL
-160.85, 2060-2079, ccsm4, Annual Anomaly, NPL
-658.7, 2060-2079, cesm1_cam5, Annual Anomaly, NPL
11.751, 2060-2079, csiro_mk3_6_0, Annual Anomaly, NPL
366.069, 2060-2079, gfdl_cm3, Annual Anomaly, NPL
225.559, 2060-2079, gfdl_esm2g, Annual Anomaly, NPL
518.523, 2060-2079, gfdl_esm2m, Annual Anomaly, NPL
276.559, 2060-2079, hadgem2_ao, Annual Anomaly, NPL
46.579, 2060-2079, hadgem2_es, Annual Anomaly, NPL
321.549, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, NPL
102.072, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, NPL
-208.16, 2060-2079, miroc5, Annual Anomaly, NPL
58.7759, 2060-2079, miroc_esm_chem, Annual Anomaly, NPL
84.0417, 2060-2079, miroc_esm, Annual Anomaly, NPL
24.3684, 2060-2079, mri_cgcm3, Annual Anomaly, NPL
437.633, 2060-2079, noresm1_m, Annual Anomaly, NPL
-386.08, 2060-2079, Ensemble (10th Percentile), Annual Anomaly, NPL
151.732, 2060-2079, Ensemble (50th Percentile), Annual Anomaly, NPL
1335.72, 2060-2079, Ensemble (90th Percentile), Annual Anomaly, NPL
