Cooling Degree Days - (Celsius), Year, Model, Statistics, ISO3
3.79928, 2060-2079, access1_0, Jan Anomaly, NPL
8.38418, 2060-2079, access1_0, Feb Anomaly, NPL
74.0615, 2060-2079, access1_0, Mar Anomaly, NPL
99.7198, 2060-2079, access1_0, Apr Anomaly, NPL
85.4388, 2060-2079, access1_0, May Anomaly, NPL
74.2586, 2060-2079, access1_0, Jun Anomaly, NPL
82.1894, 2060-2079, access1_0, Jul Anomaly, NPL
91.2608, 2060-2079, access1_0, Aug Anomaly, NPL
96.743, 2060-2079, access1_0, Sep Anomaly, NPL
91.0793, 2060-2079, access1_0, Oct Anomaly, NPL
29.2265, 2060-2079, access1_0, Nov Anomaly, NPL
6.38301, 2060-2079, access1_0, Dec Anomaly, NPL
3.37255, 2060-2079, access1_3, Jan Anomaly, NPL
0.69821, 2060-2079, access1_3, Feb Anomaly, NPL
38.9282, 2060-2079, access1_3, Mar Anomaly, NPL
89.4083, 2060-2079, access1_3, Apr Anomaly, NPL
102.28, 2060-2079, access1_3, May Anomaly, NPL
51.3796, 2060-2079, access1_3, Jun Anomaly, NPL
93.2706, 2060-2079, access1_3, Jul Anomaly, NPL
95.7054, 2060-2079, access1_3, Aug Anomaly, NPL
94.216, 2060-2079, access1_3, Sep Anomaly, NPL
72.3413, 2060-2079, access1_3, Oct Anomaly, NPL
26.8075, 2060-2079, access1_3, Nov Anomaly, NPL
5.81565, 2060-2079, access1_3, Dec Anomaly, NPL
3.09808, 2060-2079, bcc_csm1_1_m, Jan Anomaly, NPL
8.62477, 2060-2079, bcc_csm1_1_m, Feb Anomaly, NPL
46.1699, 2060-2079, bcc_csm1_1_m, Mar Anomaly, NPL
110.534, 2060-2079, bcc_csm1_1_m, Apr Anomaly, NPL
137.264, 2060-2079, bcc_csm1_1_m, May Anomaly, NPL
122.361, 2060-2079, bcc_csm1_1_m, Jun Anomaly, NPL
106.316, 2060-2079, bcc_csm1_1_m, Jul Anomaly, NPL
88.3577, 2060-2079, bcc_csm1_1_m, Aug Anomaly, NPL
61.8, 2060-2079, bcc_csm1_1_m, Sep Anomaly, NPL
68.1999, 2060-2079, bcc_csm1_1_m, Oct Anomaly, NPL
35.2206, 2060-2079, bcc_csm1_1_m, Nov Anomaly, NPL
7.78397, 2060-2079, bcc_csm1_1_m, Dec Anomaly, NPL
1.50643, 2060-2079, bcc_csm1_1, Jan Anomaly, NPL
2.32611, 2060-2079, bcc_csm1_1, Feb Anomaly, NPL
30.4035, 2060-2079, bcc_csm1_1, Mar Anomaly, NPL
99.5245, 2060-2079, bcc_csm1_1, Apr Anomaly, NPL
126.935, 2060-2079, bcc_csm1_1, May Anomaly, NPL
110.841, 2060-2079, bcc_csm1_1, Jun Anomaly, NPL
111.923, 2060-2079, bcc_csm1_1, Jul Anomaly, NPL
68.8895, 2060-2079, bcc_csm1_1, Aug Anomaly, NPL
78.1773, 2060-2079, bcc_csm1_1, Sep Anomaly, NPL
82.7645, 2060-2079, bcc_csm1_1, Oct Anomaly, NPL
30.4132, 2060-2079, bcc_csm1_1, Nov Anomaly, NPL
3.17122, 2060-2079, bcc_csm1_1, Dec Anomaly, NPL
5.32867, 2060-2079, bnu_esm, Jan Anomaly, NPL
13.0698, 2060-2079, bnu_esm, Feb Anomaly, NPL
59.619, 2060-2079, bnu_esm, Mar Anomaly, NPL
96.7696, 2060-2079, bnu_esm, Apr Anomaly, NPL
154.68, 2060-2079, bnu_esm, May Anomaly, NPL
154.987, 2060-2079, bnu_esm, Jun Anomaly, NPL
105.56, 2060-2079, bnu_esm, Jul Anomaly, NPL
91.2443, 2060-2079, bnu_esm, Aug Anomaly, NPL
89.9517, 2060-2079, bnu_esm, Sep Anomaly, NPL
75.1003, 2060-2079, bnu_esm, Oct Anomaly, NPL
24.456, 2060-2079, bnu_esm, Nov Anomaly, NPL
6.99743, 2060-2079, bnu_esm, Dec Anomaly, NPL
7.70473, 2060-2079, canesm2, Jan Anomaly, NPL
15.2712, 2060-2079, canesm2, Feb Anomaly, NPL
61.4043, 2060-2079, canesm2, Mar Anomaly, NPL
92.5848, 2060-2079, canesm2, Apr Anomaly, NPL
162.158, 2060-2079, canesm2, May Anomaly, NPL
151.503, 2060-2079, canesm2, Jun Anomaly, NPL
131.095, 2060-2079, canesm2, Jul Anomaly, NPL
140.312, 2060-2079, canesm2, Aug Anomaly, NPL
127.276, 2060-2079, canesm2, Sep Anomaly, NPL
109.416, 2060-2079, canesm2, Oct Anomaly, NPL
47.3182, 2060-2079, canesm2, Nov Anomaly, NPL
8.21597, 2060-2079, canesm2, Dec Anomaly, NPL
3.86966, 2060-2079, ccsm4, Jan Anomaly, NPL
11.9753, 2060-2079, ccsm4, Feb Anomaly, NPL
73.0825, 2060-2079, ccsm4, Mar Anomaly, NPL
122.079, 2060-2079, ccsm4, Apr Anomaly, NPL
154.05, 2060-2079, ccsm4, May Anomaly, NPL
132.87, 2060-2079, ccsm4, Jun Anomaly, NPL
114.086, 2060-2079, ccsm4, Jul Anomaly, NPL
101.452, 2060-2079, ccsm4, Aug Anomaly, NPL
98.0584, 2060-2079, ccsm4, Sep Anomaly, NPL
74.3186, 2060-2079, ccsm4, Oct Anomaly, NPL
24.3637, 2060-2079, ccsm4, Nov Anomaly, NPL
5.563, 2060-2079, ccsm4, Dec Anomaly, NPL
4.15827, 2060-2079, cesm1_bgc, Jan Anomaly, NPL
11.8546, 2060-2079, cesm1_bgc, Feb Anomaly, NPL
60.4114, 2060-2079, cesm1_bgc, Mar Anomaly, NPL
99.8978, 2060-2079, cesm1_bgc, Apr Anomaly, NPL
131.685, 2060-2079, cesm1_bgc, May Anomaly, NPL
148.495, 2060-2079, cesm1_bgc, Jun Anomaly, NPL
115.045, 2060-2079, cesm1_bgc, Jul Anomaly, NPL
96.0122, 2060-2079, cesm1_bgc, Aug Anomaly, NPL
103.984, 2060-2079, cesm1_bgc, Sep Anomaly, NPL
72.1121, 2060-2079, cesm1_bgc, Oct Anomaly, NPL
23.1616, 2060-2079, cesm1_bgc, Nov Anomaly, NPL
3.5648, 2060-2079, cesm1_bgc, Dec Anomaly, NPL
5.87839, 2060-2079, cesm1_cam5, Jan Anomaly, NPL
21.7692, 2060-2079, cesm1_cam5, Feb Anomaly, NPL
77.9821, 2060-2079, cesm1_cam5, Mar Anomaly, NPL
110.783, 2060-2079, cesm1_cam5, Apr Anomaly, NPL
119.167, 2060-2079, cesm1_cam5, May Anomaly, NPL
151.225, 2060-2079, cesm1_cam5, Jun Anomaly, NPL
134.897, 2060-2079, cesm1_cam5, Jul Anomaly, NPL
121.445, 2060-2079, cesm1_cam5, Aug Anomaly, NPL
127.294, 2060-2079, cesm1_cam5, Sep Anomaly, NPL
115.173, 2060-2079, cesm1_cam5, Oct Anomaly, NPL
41.0243, 2060-2079, cesm1_cam5, Nov Anomaly, NPL
8.48206, 2060-2079, cesm1_cam5, Dec Anomaly, NPL
10.2851, 2060-2079, cmcc_cesm, Jan Anomaly, NPL
10.7464, 2060-2079, cmcc_cesm, Feb Anomaly, NPL
93.013, 2060-2079, cmcc_cesm, Mar Anomaly, NPL
112.812, 2060-2079, cmcc_cesm, Apr Anomaly, NPL
167.047, 2060-2079, cmcc_cesm, May Anomaly, NPL
167.551, 2060-2079, cmcc_cesm, Jun Anomaly, NPL
115.069, 2060-2079, cmcc_cesm, Jul Anomaly, NPL
102.816, 2060-2079, cmcc_cesm, Aug Anomaly, NPL
98.2632, 2060-2079, cmcc_cesm, Sep Anomaly, NPL
79.3255, 2060-2079, cmcc_cesm, Oct Anomaly, NPL
29.1301, 2060-2079, cmcc_cesm, Nov Anomaly, NPL
12.4448, 2060-2079, cmcc_cesm, Dec Anomaly, NPL
3.96556, 2060-2079, cmcc_cms, Jan Anomaly, NPL
8.79043, 2060-2079, cmcc_cms, Feb Anomaly, NPL
90.9424, 2060-2079, cmcc_cms, Mar Anomaly, NPL
152.079, 2060-2079, cmcc_cms, Apr Anomaly, NPL
180.906, 2060-2079, cmcc_cms, May Anomaly, NPL
177.775, 2060-2079, cmcc_cms, Jun Anomaly, NPL
166.352, 2060-2079, cmcc_cms, Jul Anomaly, NPL
137.35, 2060-2079, cmcc_cms, Aug Anomaly, NPL
121.356, 2060-2079, cmcc_cms, Sep Anomaly, NPL
100.147, 2060-2079, cmcc_cms, Oct Anomaly, NPL
38.0743, 2060-2079, cmcc_cms, Nov Anomaly, NPL
9.2711, 2060-2079, cmcc_cms, Dec Anomaly, NPL
2.23386, 2060-2079, cmcc_cm, Jan Anomaly, NPL
