Cooling Degree Days - (Celsius), Year, Model, Statistics, ISO3
3.27976, 2080-2099, access1_0, Jan Anomaly, NPL
6.69045, 2080-2099, access1_0, Feb Anomaly, NPL
59.727, 2080-2099, access1_0, Mar Anomaly, NPL
78.3759, 2080-2099, access1_0, Apr Anomaly, NPL
61.2009, 2080-2099, access1_0, May Anomaly, NPL
64.0146, 2080-2099, access1_0, Jun Anomaly, NPL
68.4587, 2080-2099, access1_0, Jul Anomaly, NPL
70.1512, 2080-2099, access1_0, Aug Anomaly, NPL
78.6336, 2080-2099, access1_0, Sep Anomaly, NPL
77.2414, 2080-2099, access1_0, Oct Anomaly, NPL
26.238, 2080-2099, access1_0, Nov Anomaly, NPL
3.73079, 2080-2099, access1_0, Dec Anomaly, NPL
1.09098, 2080-2099, access1_3, Jan Anomaly, NPL
0.57578, 2080-2099, access1_3, Feb Anomaly, NPL
39.2175, 2080-2099, access1_3, Mar Anomaly, NPL
91.3507, 2080-2099, access1_3, Apr Anomaly, NPL
109.461, 2080-2099, access1_3, May Anomaly, NPL
94.3515, 2080-2099, access1_3, Jun Anomaly, NPL
75.2193, 2080-2099, access1_3, Jul Anomaly, NPL
71.2257, 2080-2099, access1_3, Aug Anomaly, NPL
85.5761, 2080-2099, access1_3, Sep Anomaly, NPL
74.5849, 2080-2099, access1_3, Oct Anomaly, NPL
21.4192, 2080-2099, access1_3, Nov Anomaly, NPL
2.80059, 2080-2099, access1_3, Dec Anomaly, NPL
0.91685, 2080-2099, bcc_csm1_1_m, Jan Anomaly, NPL
2.56902, 2080-2099, bcc_csm1_1_m, Feb Anomaly, NPL
28.7957, 2080-2099, bcc_csm1_1_m, Mar Anomaly, NPL
71.2733, 2080-2099, bcc_csm1_1_m, Apr Anomaly, NPL
79.47, 2080-2099, bcc_csm1_1_m, May Anomaly, NPL
89.4524, 2080-2099, bcc_csm1_1_m, Jun Anomaly, NPL
65.7005, 2080-2099, bcc_csm1_1_m, Jul Anomaly, NPL
68.2367, 2080-2099, bcc_csm1_1_m, Aug Anomaly, NPL
45.6584, 2080-2099, bcc_csm1_1_m, Sep Anomaly, NPL
32.8695, 2080-2099, bcc_csm1_1_m, Oct Anomaly, NPL
24.4563, 2080-2099, bcc_csm1_1_m, Nov Anomaly, NPL
