Cooling Degree Days - (Celsius), Year, Model, Statistics, ISO3
2.37634, 2040-2059, access1_0, Jan Anomaly, NPL
5.25253, 2040-2059, access1_0, Feb Anomaly, NPL
38.6019, 2040-2059, access1_0, Mar Anomaly, NPL
60.4294, 2040-2059, access1_0, Apr Anomaly, NPL
42.7393, 2040-2059, access1_0, May Anomaly, NPL
42.7298, 2040-2059, access1_0, Jun Anomaly, NPL
55.8972, 2040-2059, access1_0, Jul Anomaly, NPL
58.7032, 2040-2059, access1_0, Aug Anomaly, NPL
68.5294, 2040-2059, access1_0, Sep Anomaly, NPL
61.1285, 2040-2059, access1_0, Oct Anomaly, NPL
16.8669, 2040-2059, access1_0, Nov Anomaly, NPL
3.58023, 2040-2059, access1_0, Dec Anomaly, NPL
1.35509, 2040-2059, access1_3, Jan Anomaly, NPL
0.34075, 2040-2059, access1_3, Feb Anomaly, NPL
20.8231, 2040-2059, access1_3, Mar Anomaly, NPL
64.82, 2040-2059, access1_3, Apr Anomaly, NPL
59.0766, 2040-2059, access1_3, May Anomaly, NPL
38.8606, 2040-2059, access1_3, Jun Anomaly, NPL
55.0785, 2040-2059, access1_3, Jul Anomaly, NPL
61.2809, 2040-2059, access1_3, Aug Anomaly, NPL
62.6733, 2040-2059, access1_3, Sep Anomaly, NPL
44.75, 2040-2059, access1_3, Oct Anomaly, NPL
12.292, 2040-2059, access1_3, Nov Anomaly, NPL
2.13063, 2040-2059, access1_3, Dec Anomaly, NPL
0.77816, 2040-2059, bcc_csm1_1_m, Jan Anomaly, NPL
5.5787, 2040-2059, bcc_csm1_1_m, Feb Anomaly, NPL
32.2458, 2040-2059, bcc_csm1_1_m, Mar Anomaly, NPL
82.905, 2040-2059, bcc_csm1_1_m, Apr Anomaly, NPL
119.623, 2040-2059, bcc_csm1_1_m, May Anomaly, NPL
90.5063, 2040-2059, bcc_csm1_1_m, Jun Anomaly, NPL
77.3563, 2040-2059, bcc_csm1_1_m, Jul Anomaly, NPL
61.5098, 2040-2059, bcc_csm1_1_m, Aug Anomaly, NPL
30.0596, 2040-2059, bcc_csm1_1_m, Sep Anomaly, NPL
20.0184, 2040-2059, bcc_csm1_1_m, Oct Anomaly, NPL
19.4147, 2040-2059, bcc_csm1_1_m, Nov Anomaly, NPL
1.79375, 2040-2059, bcc_csm1_1_m, Dec Anomaly, NPL
0.55432, 2040-2059, bcc_csm1_1, Jan Anomaly, NPL
-0.7772, 2040-2059, bcc_csm1_1, Feb Anomaly, NPL
13.6417, 2040-2059, bcc_csm1_1, Mar Anomaly, NPL
86.7707, 2040-2059, bcc_csm1_1, Apr Anomaly, NPL
96.6035, 2040-2059, bcc_csm1_1, May Anomaly, NPL
77.2948, 2040-2059, bcc_csm1_1, Jun Anomaly, NPL
54.575, 2040-2059, bcc_csm1_1, Jul Anomaly, NPL
46.4647, 2040-2059, bcc_csm1_1, Aug Anomaly, NPL
41.7906, 2040-2059, bcc_csm1_1, Sep Anomaly, NPL
47.3023, 2040-2059, bcc_csm1_1, Oct Anomaly, NPL
14.9497, 2040-2059, bcc_csm1_1, Nov Anomaly, NPL
0.03963, 2040-2059, bcc_csm1_1, Dec Anomaly, NPL
3.24274, 2040-2059, bnu_esm, Jan Anomaly, NPL
7.12611, 2040-2059, bnu_esm, Feb Anomaly, NPL
