Maximum Length of Consecutive Dry Spell - (Days), Year, Model, Statistics, ISO3
4.88342, 2060-2079, bcc_csm1_1_m, Jan Anomaly, NPL
-1.2244, 2060-2079, bcc_csm1_1_m, Feb Anomaly, NPL
8.32181, 2060-2079, bcc_csm1_1_m, Mar Anomaly, NPL
10.2808, 2060-2079, bcc_csm1_1_m, Apr Anomaly, NPL
4.27167, 2060-2079, bcc_csm1_1_m, May Anomaly, NPL
-0.2427, 2060-2079, bcc_csm1_1_m, Jun Anomaly, NPL
-0.1817, 2060-2079, bcc_csm1_1_m, Jul Anomaly, NPL
0.35391, 2060-2079, bcc_csm1_1_m, Aug Anomaly, NPL
-1.5, 2060-2079, bcc_csm1_1_m, Sep Anomaly, NPL
-2.4889, 2060-2079, bcc_csm1_1_m, Oct Anomaly, NPL
0.66131, 2060-2079, bcc_csm1_1_m, Nov Anomaly, NPL
7.28802, 2060-2079, bcc_csm1_1_m, Dec Anomaly, NPL
2.50118, 2060-2079, bcc_csm1_1, Jan Anomaly, NPL
-0.1528, 2060-2079, bcc_csm1_1, Feb Anomaly, NPL
-1.8059, 2060-2079, bcc_csm1_1, Mar Anomaly, NPL
0.33103, 2060-2079, bcc_csm1_1, Apr Anomaly, NPL
1.61491, 2060-2079, bcc_csm1_1, May Anomaly, NPL
-3.2539, 2060-2079, bcc_csm1_1, Jun Anomaly, NPL
-2.4521, 2060-2079, bcc_csm1_1, Jul Anomaly, NPL
-1.2784, 2060-2079, bcc_csm1_1, Aug Anomaly, NPL
-2.6897, 2060-2079, bcc_csm1_1, Sep Anomaly, NPL
3.34657, 2060-2079, bcc_csm1_1, Oct Anomaly, NPL
2.07639, 2060-2079, bcc_csm1_1, Nov Anomaly, NPL
-2.2084, 2060-2079, bcc_csm1_1, Dec Anomaly, NPL
0.58333, 2060-2079, bnu_esm, Jan Anomaly, NPL
7.63306, 2060-2079, bnu_esm, Feb Anomaly, NPL
0.36279, 2060-2079, bnu_esm, Mar Anomaly, NPL
-2.5806, 2060-2079, bnu_esm, Apr Anomaly, NPL
-0.7998, 2060-2079, bnu_esm, May Anomaly, NPL
3.59605, 2060-2079, bnu_esm, Jun Anomaly, NPL
5.08442, 2060-2079, bnu_esm, Jul Anomaly, NPL
-0.5011, 2060-2079, bnu_esm, Aug Anomaly, NPL
-1.8222, 2060-2079, bnu_esm, Sep Anomaly, NPL
-5.165, 2060-2079, bnu_esm, Oct Anomaly, NPL
-3.9313, 2060-2079, bnu_esm, Nov Anomaly, NPL
0.17628, 2060-2079, bnu_esm, Dec Anomaly, NPL
2.99881, 2060-2079, canesm2, Jan Anomaly, NPL
7.85704, 2060-2079, canesm2, Feb Anomaly, NPL
3.83664, 2060-2079, canesm2, Mar Anomaly, NPL
-6.7005, 2060-2079, canesm2, Apr Anomaly, NPL
0.59835, 2060-2079, canesm2, May Anomaly, NPL
