Maximum Length of Consecutive Dry Spell - (Days), Year, Model, Statistics, ISO3
10.3924, 2060-2079, access1_0, Jan Anomaly, NPL
3.57315, 2060-2079, access1_0, Feb Anomaly, NPL
2.84423, 2060-2079, access1_0, Mar Anomaly, NPL
2.05538, 2060-2079, access1_0, Apr Anomaly, NPL
0.20747, 2060-2079, access1_0, May Anomaly, NPL
-1.5938, 2060-2079, access1_0, Jun Anomaly, NPL
-0.0885, 2060-2079, access1_0, Jul Anomaly, NPL
-0.0422, 2060-2079, access1_0, Aug Anomaly, NPL
0.41358, 2060-2079, access1_0, Sep Anomaly, NPL
1.83629, 2060-2079, access1_0, Oct Anomaly, NPL
6.79906, 2060-2079, access1_0, Nov Anomaly, NPL
12.1675, 2060-2079, access1_0, Dec Anomaly, NPL
2.72239, 2060-2079, access1_3, Jan Anomaly, NPL
0.42744, 2060-2079, access1_3, Feb Anomaly, NPL
1.80267, 2060-2079, access1_3, Mar Anomaly, NPL
3.44703, 2060-2079, access1_3, Apr Anomaly, NPL
0.68316, 2060-2079, access1_3, May Anomaly, NPL
-1.7329, 2060-2079, access1_3, Jun Anomaly, NPL
-0.0751, 2060-2079, access1_3, Jul Anomaly, NPL
-0.016, 2060-2079, access1_3, Aug Anomaly, NPL
-0.611, 2060-2079, access1_3, Sep Anomaly, NPL
1.0126, 2060-2079, access1_3, Oct Anomaly, NPL
2.9039, 2060-2079, access1_3, Nov Anomaly, NPL
5.57305, 2060-2079, access1_3, Dec Anomaly, NPL
7.9795, 2060-2079, bcc_csm1_1_m, Jan Anomaly, NPL
-1.5446, 2060-2079, bcc_csm1_1_m, Feb Anomaly, NPL
1.53252, 2060-2079, bcc_csm1_1_m, Mar Anomaly, NPL
8.20675, 2060-2079, bcc_csm1_1_m, Apr Anomaly, NPL
6.9859, 2060-2079, bcc_csm1_1_m, May Anomaly, NPL
-1.2799, 2060-2079, bcc_csm1_1_m, Jun Anomaly, NPL
0.18236, 2060-2079, bcc_csm1_1_m, Jul Anomaly, NPL
1.04908, 2060-2079, bcc_csm1_1_m, Aug Anomaly, NPL
0.0824, 2060-2079, bcc_csm1_1_m, Sep Anomaly, NPL
-1.268, 2060-2079, bcc_csm1_1_m, Oct Anomaly, NPL
0.94526, 2060-2079, bcc_csm1_1_m, Nov Anomaly, NPL
7.68174, 2060-2079, bcc_csm1_1_m, Dec Anomaly, NPL
1.24037, 2060-2079, bcc_csm1_1, Jan Anomaly, NPL
2.73573, 2060-2079, bcc_csm1_1, Feb Anomaly, NPL
1.54053, 2060-2079, bcc_csm1_1, Mar Anomaly, NPL
-0.6573, 2060-2079, bcc_csm1_1, Apr Anomaly, NPL
-0.6477, 2060-2079, bcc_csm1_1, May Anomaly, NPL
-1.7525, 2060-2079, bcc_csm1_1, Jun Anomaly, NPL
-1.7546, 2060-2079, bcc_csm1_1, Jul Anomaly, NPL
-1.0223, 2060-2079, bcc_csm1_1, Aug Anomaly, NPL
-3.9071, 2060-2079, bcc_csm1_1, Sep Anomaly, NPL
-0.9789, 2060-2079, bcc_csm1_1, Oct Anomaly, NPL
-2.0428, 2060-2079, bcc_csm1_1, Nov Anomaly, NPL
-0.8904, 2060-2079, bcc_csm1_1, Dec Anomaly, NPL
6.64301, 2060-2079, bnu_esm, Jan Anomaly, NPL
6.76495, 2060-2079, bnu_esm, Feb Anomaly, NPL
2.88635, 2060-2079, bnu_esm, Mar Anomaly, NPL
-1.322, 2060-2079, bnu_esm, Apr Anomaly, NPL
-0.239, 2060-2079, bnu_esm, May Anomaly, NPL
7.42385, 2060-2079, bnu_esm, Jun Anomaly, NPL
6.51279, 2060-2079, bnu_esm, Jul Anomaly, NPL
-0.0661, 2060-2079, bnu_esm, Aug Anomaly, NPL
-2.6015, 2060-2079, bnu_esm, Sep Anomaly, NPL
-2.1872, 2060-2079, bnu_esm, Oct Anomaly, NPL
-0.2306, 2060-2079, bnu_esm, Nov Anomaly, NPL
2.41364, 2060-2079, bnu_esm, Dec Anomaly, NPL
2.84807, 2060-2079, canesm2, Jan Anomaly, NPL
-1.236, 2060-2079, canesm2, Feb Anomaly, NPL
3.21073, 2060-2079, canesm2, Mar Anomaly, NPL
0.06167, 2060-2079, canesm2, Apr Anomaly, NPL
4.54366, 2060-2079, canesm2, May Anomaly, NPL
4.01346, 2060-2079, canesm2, Jun Anomaly, NPL
-2.9365, 2060-2079, canesm2, Jul Anomaly, NPL
0.98552, 2060-2079, canesm2, Aug Anomaly, NPL
0.82934, 2060-2079, canesm2, Sep Anomaly, NPL
-3.0259, 2060-2079, canesm2, Oct Anomaly, NPL
0.88404, 2060-2079, canesm2, Nov Anomaly, NPL
3.43162, 2060-2079, canesm2, Dec Anomaly, NPL
-2.55, 2060-2079, ccsm4, Jan Anomaly, NPL
1.94072, 2060-2079, ccsm4, Feb Anomaly, NPL
4.11987, 2060-2079, ccsm4, Mar Anomaly, NPL
1.92868, 2060-2079, ccsm4, Apr Anomaly, NPL
1.86827, 2060-2079, ccsm4, May Anomaly, NPL
2.08811, 2060-2079, ccsm4, Jun Anomaly, NPL
-0.2632, 2060-2079, ccsm4, Jul Anomaly, NPL
-0.0766, 2060-2079, ccsm4, Aug Anomaly, NPL
0.75615, 2060-2079, ccsm4, Sep Anomaly, NPL
-0.3517, 2060-2079, ccsm4, Oct Anomaly, NPL
1.15875, 2060-2079, ccsm4, Nov Anomaly, NPL
4.99819, 2060-2079, ccsm4, Dec Anomaly, NPL
2.17685, 2060-2079, cesm1_bgc, Jan Anomaly, NPL
0.94185, 2060-2079, cesm1_bgc, Feb Anomaly, NPL
0.04759, 2060-2079, cesm1_bgc, Mar Anomaly, NPL
0.24443, 2060-2079, cesm1_bgc, Apr Anomaly, NPL
0.66678, 2060-2079, cesm1_bgc, May Anomaly, NPL
-1.0364, 2060-2079, cesm1_bgc, Jun Anomaly, NPL
0.24394, 2060-2079, cesm1_bgc, Jul Anomaly, NPL
0.17131, 2060-2079, cesm1_bgc, Aug Anomaly, NPL
-0.1657, 2060-2079, cesm1_bgc, Sep Anomaly, NPL
-2.4628, 2060-2079, cesm1_bgc, Oct Anomaly, NPL
0.27146, 2060-2079, cesm1_bgc, Nov Anomaly, NPL
1.6411, 2060-2079, cesm1_bgc, Dec Anomaly, NPL
-1.4639, 2060-2079, cesm1_cam5, Jan Anomaly, NPL
0.74658, 2060-2079, cesm1_cam5, Feb Anomaly, NPL
2.69982, 2060-2079, cesm1_cam5, Mar Anomaly, NPL
-1.3365, 2060-2079, cesm1_cam5, Apr Anomaly, NPL
-4.3944, 2060-2079, cesm1_cam5, May Anomaly, NPL
0.06918, 2060-2079, cesm1_cam5, Jun Anomaly, NPL
-1.2695, 2060-2079, cesm1_cam5, Jul Anomaly, NPL
0.04033, 2060-2079, cesm1_cam5, Aug Anomaly, NPL
-0.2647, 2060-2079, cesm1_cam5, Sep Anomaly, NPL
-2.0615, 2060-2079, cesm1_cam5, Oct Anomaly, NPL
-2.3653, 2060-2079, cesm1_cam5, Nov Anomaly, NPL
-0.9601, 2060-2079, cesm1_cam5, Dec Anomaly, NPL
4.63785, 2060-2079, cnrm_cm5, Jan Anomaly, NPL
7.00587, 2060-2079, cnrm_cm5, Feb Anomaly, NPL
-1.2979, 2060-2079, cnrm_cm5, Mar Anomaly, NPL
0.93322, 2060-2079, cnrm_cm5, Apr Anomaly, NPL
-2.9908, 2060-2079, cnrm_cm5, May Anomaly, NPL
-1.5294, 2060-2079, cnrm_cm5, Jun Anomaly, NPL
-0.4715, 2060-2079, cnrm_cm5, Jul Anomaly, NPL
0.0877, 2060-2079, cnrm_cm5, Aug Anomaly, NPL
-0.2418, 2060-2079, cnrm_cm5, Sep Anomaly, NPL
-3.0145, 2060-2079, cnrm_cm5, Oct Anomaly, NPL
-0.2748, 2060-2079, cnrm_cm5, Nov Anomaly, NPL
4.27884, 2060-2079, cnrm_cm5, Dec Anomaly, NPL
0.87727, 2060-2079, csiro_mk3_6_0, Jan Anomaly, NPL
6.07106, 2060-2079, csiro_mk3_6_0, Feb Anomaly, NPL
7.85297, 2060-2079, csiro_mk3_6_0, Mar Anomaly, NPL
2.41425, 2060-2079, csiro_mk3_6_0, Apr Anomaly, NPL
-1.5896, 2060-2079, csiro_mk3_6_0, May Anomaly, NPL
-9.9004, 2060-2079, csiro_mk3_6_0, Jun Anomaly, NPL
-8.2475, 2060-2079, csiro_mk3_6_0, Jul Anomaly, NPL
-7.5989, 2060-2079, csiro_mk3_6_0, Aug Anomaly, NPL
-10.275, 2060-2079, csiro_mk3_6_0, Sep Anomaly, NPL
-11.235, 2060-2079, csiro_mk3_6_0, Oct Anomaly, NPL
-12.757, 2060-2079, csiro_mk3_6_0, Nov Anomaly, NPL
-7.8841, 2060-2079, csiro_mk3_6_0, Dec Anomaly, NPL
1.75489, 2060-2079, gfdl_cm3, Jan Anomaly, NPL
5.1493, 2060-2079, gfdl_cm3, Feb Anomaly, NPL
2.91361, 2060-2079, gfdl_cm3, Mar Anomaly, NPL
0.51304, 2060-2079, gfdl_cm3, Apr Anomaly, NPL
4.19616, 2060-2079, gfdl_cm3, May Anomaly, NPL
-0.0337, 2060-2079, gfdl_cm3, Jun Anomaly, NPL
-1.4853, 2060-2079, gfdl_cm3, Jul Anomaly, NPL
-0.4188, 2060-2079, gfdl_cm3, Aug Anomaly, NPL
-1.8813, 2060-2079, gfdl_cm3, Sep Anomaly, NPL
-2.4994, 2060-2079, gfdl_cm3, Oct Anomaly, NPL
1.14103, 2060-2079, gfdl_cm3, Nov Anomaly, NPL
7.47835, 2060-2079, gfdl_cm3, Dec Anomaly, NPL
-1.5077, 2060-2079, gfdl_esm2g, Jan Anomaly, NPL
1.35213, 2060-2079, gfdl_esm2g, Feb Anomaly, NPL
7.37898, 2060-2079, gfdl_esm2g, Mar Anomaly, NPL
5.83548, 2060-2079, gfdl_esm2g, Apr Anomaly, NPL
1.35962, 2060-2079, gfdl_esm2g, May Anomaly, NPL
-0.1669, 2060-2079, gfdl_esm2g, Jun Anomaly, NPL
-2.8704, 2060-2079, gfdl_esm2g, Jul Anomaly, NPL
0.51746, 2060-2079, gfdl_esm2g, Aug Anomaly, NPL
0.53191, 2060-2079, gfdl_esm2g, Sep Anomaly, NPL
-0.3021, 2060-2079, gfdl_esm2g, Oct Anomaly, NPL
-1.2905, 2060-2079, gfdl_esm2g, Nov Anomaly, NPL
-1.2762, 2060-2079, gfdl_esm2g, Dec Anomaly, NPL
-5.363, 2060-2079, gfdl_esm2m, Jan Anomaly, NPL
-1.5794, 2060-2079, gfdl_esm2m, Feb Anomaly, NPL
8.18967, 2060-2079, gfdl_esm2m, Mar Anomaly, NPL
-0.7867, 2060-2079, gfdl_esm2m, Apr Anomaly, NPL
2.47574, 2060-2079, gfdl_esm2m, May Anomaly, NPL
1.0022, 2060-2079, gfdl_esm2m, Jun Anomaly, NPL
1.93997, 2060-2079, gfdl_esm2m, Jul Anomaly, NPL
0.95528, 2060-2079, gfdl_esm2m, Aug Anomaly, NPL
0.10429, 2060-2079, gfdl_esm2m, Sep Anomaly, NPL
-1.2041, 2060-2079, gfdl_esm2m, Oct Anomaly, NPL
0.32091, 2060-2079, gfdl_esm2m, Nov Anomaly, NPL
-0.6914, 2060-2079, gfdl_esm2m, Dec Anomaly, NPL
8.34338, 2060-2079, hadgem2_ao, Jan Anomaly, NPL
5.54999, 2060-2079, hadgem2_ao, Feb Anomaly, NPL
2.85311, 2060-2079, hadgem2_ao, Mar Anomaly, NPL
1.63421, 2060-2079, hadgem2_ao, Apr Anomaly, NPL
1.88146, 2060-2079, hadgem2_ao, May Anomaly, NPL
1.6187, 2060-2079, hadgem2_ao, Jun Anomaly, NPL
-0.2619, 2060-2079, hadgem2_ao, Jul Anomaly, NPL
0.01, 2060-2079, hadgem2_ao, Aug Anomaly, NPL
-0.5707, 2060-2079, hadgem2_ao, Sep Anomaly, NPL
0.11786, 2060-2079, hadgem2_ao, Oct Anomaly, NPL
5.66537, 2060-2079, hadgem2_ao, Nov Anomaly, NPL
8.94277, 2060-2079, hadgem2_ao, Dec Anomaly, NPL
3.91669, 2060-2079, hadgem2_cc, Jan Anomaly, NPL
1.94256, 2060-2079, hadgem2_cc, Feb Anomaly, NPL
1.41821, 2060-2079, hadgem2_cc, Mar Anomaly, NPL
1.17203, 2060-2079, hadgem2_cc, Apr Anomaly, NPL
1.57717, 2060-2079, hadgem2_cc, May Anomaly, NPL
0.87345, 2060-2079, hadgem2_cc, Jun Anomaly, NPL
0.046, 2060-2079, hadgem2_cc, Jul Anomaly, NPL
-0.1625, 2060-2079, hadgem2_cc, Aug Anomaly, NPL
-0.005, 2060-2079, hadgem2_cc, Sep Anomaly, NPL
1.61404, 2060-2079, hadgem2_cc, Oct Anomaly, NPL
11.1572, 2060-2079, hadgem2_cc, Nov Anomaly, NPL
4.91555, 2060-2079, hadgem2_cc, Dec Anomaly, NPL
-0.0621, 2060-2079, inmcm4, Jan Anomaly, NPL
-0.0849, 2060-2079, inmcm4, Feb Anomaly, NPL
0.18974, 2060-2079, inmcm4, Mar Anomaly, NPL
2.41234, 2060-2079, inmcm4, Apr Anomaly, NPL
-0.4481, 2060-2079, inmcm4, May Anomaly, NPL
-0.7693, 2060-2079, inmcm4, Jun Anomaly, NPL
-0.5804, 2060-2079, inmcm4, Jul Anomaly, NPL
-0.1991, 2060-2079, inmcm4, Aug Anomaly, NPL
-0.0812, 2060-2079, inmcm4, Sep Anomaly, NPL
