Maximum Length of Consecutive Dry Spell - (Days), Year, Model, Statistics, ISO3
1.93726, 2080-2099, bcc_csm1_1_m, Jan Anomaly, NPL
-1.0448, 2080-2099, bcc_csm1_1_m, Feb Anomaly, NPL
2.15268, 2080-2099, bcc_csm1_1_m, Mar Anomaly, NPL
2.93464, 2080-2099, bcc_csm1_1_m, Apr Anomaly, NPL
5.88059, 2080-2099, bcc_csm1_1_m, May Anomaly, NPL
-3.09, 2080-2099, bcc_csm1_1_m, Jun Anomaly, NPL
1.91327, 2080-2099, bcc_csm1_1_m, Jul Anomaly, NPL
0.03657, 2080-2099, bcc_csm1_1_m, Aug Anomaly, NPL
-0.157, 2080-2099, bcc_csm1_1_m, Sep Anomaly, NPL
-1.959, 2080-2099, bcc_csm1_1_m, Oct Anomaly, NPL
0.51334, 2080-2099, bcc_csm1_1_m, Nov Anomaly, NPL
5.46279, 2080-2099, bcc_csm1_1_m, Dec Anomaly, NPL
1.56176, 2080-2099, bcc_csm1_1, Jan Anomaly, NPL
0.70513, 2080-2099, bcc_csm1_1, Feb Anomaly, NPL
-0.4253, 2080-2099, bcc_csm1_1, Mar Anomaly, NPL
-0.5806, 2080-2099, bcc_csm1_1, Apr Anomaly, NPL
-3.4542, 2080-2099, bcc_csm1_1, May Anomaly, NPL
-6.4675, 2080-2099, bcc_csm1_1, Jun Anomaly, NPL
-8.6146, 2080-2099, bcc_csm1_1, Jul Anomaly, NPL
-1.7761, 2080-2099, bcc_csm1_1, Aug Anomaly, NPL
-1.593, 2080-2099, bcc_csm1_1, Sep Anomaly, NPL
2.47422, 2080-2099, bcc_csm1_1, Oct Anomaly, NPL
-0.6157, 2080-2099, bcc_csm1_1, Nov Anomaly, NPL
-2.1685, 2080-2099, bcc_csm1_1, Dec Anomaly, NPL
0.89966, 2080-2099, ccsm4, Jan Anomaly, NPL
2.64033, 2080-2099, ccsm4, Feb Anomaly, NPL
4.06109, 2080-2099, ccsm4, Mar Anomaly, NPL
0.80326, 2080-2099, ccsm4, Apr Anomaly, NPL
0.9236, 2080-2099, ccsm4, May Anomaly, NPL
2.99611, 2080-2099, ccsm4, Jun Anomaly, NPL
0.3333, 2080-2099, ccsm4, Jul Anomaly, NPL
-0.0697, 2080-2099, ccsm4, Aug Anomaly, NPL
0.01171, 2080-2099, ccsm4, Sep Anomaly, NPL
1.52724, 2080-2099, ccsm4, Oct Anomaly, NPL
2.94671, 2080-2099, ccsm4, Nov Anomaly, NPL
7.90078, 2080-2099, ccsm4, Dec Anomaly, NPL
3.17831, 2080-2099, cesm1_cam5, Jan Anomaly, NPL
2.38642, 2080-2099, cesm1_cam5, Feb Anomaly, NPL
1.54123, 2080-2099, cesm1_cam5, Mar Anomaly, NPL
-1.1547, 2080-2099, cesm1_cam5, Apr Anomaly, NPL
-2.7075, 2080-2099, cesm1_cam5, May Anomaly, NPL
-0.4405, 2080-2099, cesm1_cam5, Jun Anomaly, NPL
-1.1149, 2080-2099, cesm1_cam5, Jul Anomaly, NPL
0.01996, 2080-2099, cesm1_cam5, Aug Anomaly, NPL
-0.3062, 2080-2099, cesm1_cam5, Sep Anomaly, NPL
-0.7963, 2080-2099, cesm1_cam5, Oct Anomaly, NPL
-1.0949, 2080-2099, cesm1_cam5, Nov Anomaly, NPL
-3.523, 2080-2099, cesm1_cam5, Dec Anomaly, NPL
-1.4197, 2080-2099, csiro_mk3_6_0, Jan Anomaly, NPL
4.78408, 2080-2099, csiro_mk3_6_0, Feb Anomaly, NPL
6.71928, 2080-2099, csiro_mk3_6_0, Mar Anomaly, NPL
0.68729, 2080-2099, csiro_mk3_6_0, Apr Anomaly, NPL
-1.7821, 2080-2099, csiro_mk3_6_0, May Anomaly, NPL
-3.1287, 2080-2099, csiro_mk3_6_0, Jun Anomaly, NPL
0.53835, 2080-2099, csiro_mk3_6_0, Jul Anomaly, NPL
-1.8673, 2080-2099, csiro_mk3_6_0, Aug Anomaly, NPL
-7.2043, 2080-2099, csiro_mk3_6_0, Sep Anomaly, NPL
-11.486, 2080-2099, csiro_mk3_6_0, Oct Anomaly, NPL
-10.552, 2080-2099, csiro_mk3_6_0, Nov Anomaly, NPL
-1.7712, 2080-2099, csiro_mk3_6_0, Dec Anomaly, NPL
6.56276, 2080-2099, gfdl_cm3, Jan Anomaly, NPL
