Expected Largest Monthly Rainfall Amount in 10 Years (10-yr Return Level) - (MM), Year, Model, Statistics, ISO3
15.7181, 2020-2039, bcc_csm1_1_m, Annual Anomaly, NPL
88.9512, 2020-2039, bcc_csm1_1, Annual Anomaly, NPL
96.465, 2020-2039, bnu_esm, Annual Anomaly, NPL
109.054, 2020-2039, canesm2, Annual Anomaly, NPL
33.2906, 2020-2039, ccsm4, Annual Anomaly, NPL
75.8387, 2020-2039, cesm1_cam5, Annual Anomaly, NPL
47.9577, 2020-2039, cnrm_cm5, Annual Anomaly, NPL
-23.51, 2020-2039, csiro_mk3_6_0, Annual Anomaly, NPL
127.628, 2020-2039, hadgem2_ao, Annual Anomaly, NPL
-23.729, 2020-2039, hadgem2_es, Annual Anomaly, NPL
46.8358, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, NPL
101.408, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, NPL
105.855, 2020-2039, miroc5, Annual Anomaly, NPL
78.501, 2020-2039, miroc_esm_chem, Annual Anomaly, NPL
18.6814, 2020-2039, miroc_esm, Annual Anomaly, NPL
-34.327, 2020-2039, mpi_esm_lr, Annual Anomaly, NPL
-33.79, 2020-2039, mpi_esm_mr, Annual Anomaly, NPL
-25.198, 2020-2039, mri_cgcm3, Annual Anomaly, NPL
138.469, 2020-2039, noresm1_m, Annual Anomaly, NPL
-426.09, 2020-2039, Ensemble (10th Percentile), Annual Anomaly, NPL
61.2822, 2020-2039, Ensemble (50th Percentile), Annual Anomaly, NPL
1090.03, 2020-2039, Ensemble (90th Percentile), Annual Anomaly, NPL
