Expected Largest Monthly Rainfall Amount in 10 Years (10-yr Return Level) - (MM), Year, Model, Statistics, ISO3
29.2639, 2080-2099, bcc_csm1_1_m, Annual Anomaly, NPL
133.581, 2080-2099, bcc_csm1_1, Annual Anomaly, NPL
124.276, 2080-2099, bnu_esm, Annual Anomaly, NPL
127.876, 2080-2099, canesm2, Annual Anomaly, NPL
100.922, 2080-2099, ccsm4, Annual Anomaly, NPL
113.863, 2080-2099, cesm1_cam5, Annual Anomaly, NPL
-28.208, 2080-2099, cnrm_cm5, Annual Anomaly, NPL
29.9308, 2080-2099, csiro_mk3_6_0, Annual Anomaly, NPL
181.155, 2080-2099, hadgem2_ao, Annual Anomaly, NPL
46.7607, 2080-2099, hadgem2_es, Annual Anomaly, NPL
-22.901, 2080-2099, ipsl_cm5a_lr, Annual Anomaly, NPL
145.901, 2080-2099, ipsl_cm5a_mr, Annual Anomaly, NPL
89.4384, 2080-2099, miroc5, Annual Anomaly, NPL
113.861, 2080-2099, miroc_esm_chem, Annual Anomaly, NPL
74.6572, 2080-2099, miroc_esm, Annual Anomaly, NPL
-83.498, 2080-2099, mpi_esm_lr, Annual Anomaly, NPL
-66.922, 2080-2099, mpi_esm_mr, Annual Anomaly, NPL
8.04296, 2080-2099, mri_cgcm3, Annual Anomaly, NPL
120.791, 2080-2099, noresm1_m, Annual Anomaly, NPL
-373.45, 2080-2099, Ensemble (10th Percentile), Annual Anomaly, NPL
62.5534, 2080-2099, Ensemble (50th Percentile), Annual Anomaly, NPL
1077.07, 2080-2099, Ensemble (90th Percentile), Annual Anomaly, NPL
