Expected Largest Monthly Rainfall Amount in 10 Years (10-yr Return Level) - (MM), Year, Model, Statistics, ISO3
-30.273, 2040-2059, bcc_csm1_1_m, Annual Anomaly, NPL
95.1703, 2040-2059, bcc_csm1_1, Annual Anomaly, NPL
125.3, 2040-2059, bnu_esm, Annual Anomaly, NPL
119.483, 2040-2059, canesm2, Annual Anomaly, NPL
107.46, 2040-2059, ccsm4, Annual Anomaly, NPL
48.7752, 2040-2059, cesm1_cam5, Annual Anomaly, NPL
-3.6233, 2040-2059, cnrm_cm5, Annual Anomaly, NPL
54.6143, 2040-2059, csiro_mk3_6_0, Annual Anomaly, NPL
124.461, 2040-2059, hadgem2_ao, Annual Anomaly, NPL
-17.865, 2040-2059, hadgem2_es, Annual Anomaly, NPL
68.2626, 2040-2059, ipsl_cm5a_lr, Annual Anomaly, NPL
106.873, 2040-2059, ipsl_cm5a_mr, Annual Anomaly, NPL
-5.4088, 2040-2059, miroc5, Annual Anomaly, NPL
72.2519, 2040-2059, miroc_esm_chem, Annual Anomaly, NPL
76.0607, 2040-2059, miroc_esm, Annual Anomaly, NPL
-23.212, 2040-2059, mpi_esm_lr, Annual Anomaly, NPL
-59.281, 2040-2059, mpi_esm_mr, Annual Anomaly, NPL
17.2429, 2040-2059, mri_cgcm3, Annual Anomaly, NPL
139.751, 2040-2059, noresm1_m, Annual Anomaly, NPL
-379.18, 2040-2059, Ensemble (10th Percentile), Annual Anomaly, NPL
60.5119, 2040-2059, Ensemble (50th Percentile), Annual Anomaly, NPL
1080.83, 2040-2059, Ensemble (90th Percentile), Annual Anomaly, NPL
