Daily Probability of Cold Wave  - (Probability), Year, Model, Statistics, ISO3
-0.025, 2040-2059, access1_0, Annual Anomaly, NPL
-0.0254, 2040-2059, access1_3, Annual Anomaly, NPL
-0.018, 2040-2059, bcc_csm1_1_m, Annual Anomaly, NPL
-0.0194, 2040-2059, bcc_csm1_1, Annual Anomaly, NPL
-0.0201, 2040-2059, bnu_esm, Annual Anomaly, NPL
-0.0194, 2040-2059, canesm2, Annual Anomaly, NPL
-0.0178, 2040-2059, ccsm4, Annual Anomaly, NPL
-0.0168, 2040-2059, cesm1_bgc, Annual Anomaly, NPL
-0.0241, 2040-2059, cesm1_cam5, Annual Anomaly, NPL
-0.0141, 2040-2059, cnrm_cm5, Annual Anomaly, NPL
-0.026, 2040-2059, csiro_mk3_6_0, Annual Anomaly, NPL
-0.0205, 2040-2059, gfdl_cm3, Annual Anomaly, NPL
-0.0173, 2040-2059, gfdl_esm2g, Annual Anomaly, NPL
-0.0127, 2040-2059, gfdl_esm2m, Annual Anomaly, NPL
-0.0278, 2040-2059, hadgem2_ao, Annual Anomaly, NPL
-0.0249, 2040-2059, hadgem2_cc, Annual Anomaly, NPL
-0.0061, 2040-2059, inmcm4, Annual Anomaly, NPL
-0.0219, 2040-2059, ipsl_cm5a_lr, Annual Anomaly, NPL
-0.019, 2040-2059, ipsl_cm5a_mr, Annual Anomaly, NPL
-0.0102, 2040-2059, ipsl_cm5b_lr, Annual Anomaly, NPL
-0.0315, 2040-2059, miroc5, Annual Anomaly, NPL
-0.0272, 2040-2059, miroc_esm_chem, Annual Anomaly, NPL
-0.0226, 2040-2059, miroc_esm, Annual Anomaly, NPL
-0.0259, 2040-2059, mpi_esm_lr, Annual Anomaly, NPL
-0.0154, 2040-2059, mpi_esm_mr, Annual Anomaly, NPL
-0.0207, 2040-2059, mri_cgcm3, Annual Anomaly, NPL
-0.0227, 2040-2059, noresm1_m, Annual Anomaly, NPL
-0.025, 2040-2059, Ensemble (10th Percentile), Annual Anomaly, NPL
-0.0217, 2040-2059, Ensemble (50th Percentile), Annual Anomaly, NPL
-0.0126, 2040-2059, Ensemble (90th Percentile), Annual Anomaly, NPL
