Daily Probability of Cold Wave  - (Probability), Year, Model, Statistics, ISO3
-0.0283, 2060-2079, access1_0, Annual Anomaly, NPL
-0.0294, 2060-2079, access1_3, Annual Anomaly, NPL
-0.0179, 2060-2079, bcc_csm1_1_m, Annual Anomaly, NPL
-0.0226, 2060-2079, bcc_csm1_1, Annual Anomaly, NPL
-0.0228, 2060-2079, bnu_esm, Annual Anomaly, NPL
-0.0209, 2060-2079, canesm2, Annual Anomaly, NPL
-0.0204, 2060-2079, ccsm4, Annual Anomaly, NPL
-0.0216, 2060-2079, cesm1_bgc, Annual Anomaly, NPL
-0.0241, 2060-2079, cesm1_cam5, Annual Anomaly, NPL
-0.0201, 2060-2079, cnrm_cm5, Annual Anomaly, NPL
-0.0267, 2060-2079, csiro_mk3_6_0, Annual Anomaly, NPL
-0.0222, 2060-2079, gfdl_cm3, Annual Anomaly, NPL
-0.0201, 2060-2079, gfdl_esm2g, Annual Anomaly, NPL
-0.021, 2060-2079, gfdl_esm2m, Annual Anomaly, NPL
-0.0287, 2060-2079, hadgem2_ao, Annual Anomaly, NPL
-0.0298, 2060-2079, hadgem2_cc, Annual Anomaly, NPL
-0.0026, 2060-2079, inmcm4, Annual Anomaly, NPL
-0.0222, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, NPL
-0.019, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, NPL
-0.011, 2060-2079, ipsl_cm5b_lr, Annual Anomaly, NPL
-0.0335, 2060-2079, miroc5, Annual Anomaly, NPL
-0.0284, 2060-2079, miroc_esm_chem, Annual Anomaly, NPL
-0.0254, 2060-2079, miroc_esm, Annual Anomaly, NPL
-0.027, 2060-2079, mpi_esm_lr, Annual Anomaly, NPL
-0.0199, 2060-2079, mpi_esm_mr, Annual Anomaly, NPL
-0.0235, 2060-2079, mri_cgcm3, Annual Anomaly, NPL
-0.0262, 2060-2079, noresm1_m, Annual Anomaly, NPL
-0.0259, 2060-2079, Ensemble (10th Percentile), Annual Anomaly, NPL
-0.024, 2060-2079, Ensemble (50th Percentile), Annual Anomaly, NPL
-0.0179, 2060-2079, Ensemble (90th Percentile), Annual Anomaly, NPL
