Daily Probability of Cold Wave  - (Probability), Year, Model, Statistics, ISO3
-0.0284, 2080-2099, access1_0, Annual Anomaly, NPL
-0.0289, 2080-2099, access1_3, Annual Anomaly, NPL
-0.0187, 2080-2099, bcc_csm1_1_m, Annual Anomaly, NPL
-0.0251, 2080-2099, bcc_csm1_1, Annual Anomaly, NPL
-0.023, 2080-2099, bnu_esm, Annual Anomaly, NPL
-0.0214, 2080-2099, canesm2, Annual Anomaly, NPL
-0.0215, 2080-2099, ccsm4, Annual Anomaly, NPL
-0.0178, 2080-2099, cesm1_bgc, Annual Anomaly, NPL
-0.0262, 2080-2099, cesm1_cam5, Annual Anomaly, NPL
-0.0231, 2080-2099, cnrm_cm5, Annual Anomaly, NPL
-0.0275, 2080-2099, csiro_mk3_6_0, Annual Anomaly, NPL
-0.0238, 2080-2099, gfdl_cm3, Annual Anomaly, NPL
-0.0198, 2080-2099, gfdl_esm2g, Annual Anomaly, NPL
-0.0231, 2080-2099, gfdl_esm2m, Annual Anomaly, NPL
-0.0289, 2080-2099, hadgem2_ao, Annual Anomaly, NPL
-0.0305, 2080-2099, hadgem2_cc, Annual Anomaly, NPL
-0.0139, 2080-2099, inmcm4, Annual Anomaly, NPL
-0.021, 2080-2099, ipsl_cm5a_lr, Annual Anomaly, NPL
-0.0205, 2080-2099, ipsl_cm5a_mr, Annual Anomaly, NPL
-0.0115, 2080-2099, ipsl_cm5b_lr, Annual Anomaly, NPL
-0.0332, 2080-2099, miroc5, Annual Anomaly, NPL
-0.028, 2080-2099, miroc_esm_chem, Annual Anomaly, NPL
-0.0271, 2080-2099, miroc_esm, Annual Anomaly, NPL
-0.0268, 2080-2099, mpi_esm_lr, Annual Anomaly, NPL
-0.0202, 2080-2099, mpi_esm_mr, Annual Anomaly, NPL
-0.0247, 2080-2099, mri_cgcm3, Annual Anomaly, NPL
-0.0236, 2080-2099, noresm1_m, Annual Anomaly, NPL
-0.0264, 2080-2099, Ensemble (10th Percentile), Annual Anomaly, NPL
-0.0245, 2080-2099, Ensemble (50th Percentile), Annual Anomaly, NPL
-0.0185, 2080-2099, Ensemble (90th Percentile), Annual Anomaly, NPL
