,PRECTOT,PS,QV2M,RH2M,T2M,T2MWET,T2M_MAX,T2M_MIN,T2M_RANGE,TS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE
198101,63.07,85.93,4.4,57.4,7.89,-0.6,14.47,3.3,11.17,5.76,1.78,3.14,0.45,2.69,2.15,3.38,0.6,2.77
198102,9.86,85.83,4.43,45.08,11.63,-0.52,19.47,5.34,14.14,9.56,2.1,3.74,0.54,3.21,2.51,4.01,0.7,3.31
198103,34.23,85.78,5.46,43.8,15.06,2.38,22.31,8.78,13.53,14.27,2.18,3.93,0.57,3.36,2.62,4.19,0.73,3.45
198104,19.52,85.53,5.08,28.55,20.84,1.32,29.0,13.01,15.99,20.07,2.52,4.66,0.6,4.06,2.97,4.82,0.75,4.07
198105,106.75,85.32,8.3,38.38,24.01,8.41,31.12,16.82,14.3,23.97,2.33,4.42,0.5,3.92,2.72,4.55,0.65,3.9
198106,143.23,84.98,9.71,40.91,25.73,9.43,32.66,18.85,13.81,25.85,2.5,4.62,0.68,3.94,2.96,4.87,0.98,3.89
198107,319.66,84.98,16.85,81.95,22.87,19.38,26.89,19.73,7.16,23.28,1.98,3.82,0.45,3.38,2.43,4.07,0.73,3.34
198108,183.51,85.02,17.01,85.9,22.2,19.54,25.84,19.2,6.63,22.44,1.86,3.58,0.52,3.06,2.33,3.82,0.85,2.97
198109,85.79,85.5,14.13,78.8,20.71,16.6,25.2,17.13,8.07,20.5,1.64,3.16,0.38,2.78,1.98,3.27,0.53,2.74
198110,3.61,85.76,7.13,50.01,17.01,6.05,23.62,11.8,11.82,14.95,1.91,3.28,0.55,2.73,2.26,3.32,0.63,2.69
198111,42.2,85.87,5.46,50.03,12.76,1.87,19.66,7.96,11.7,10.44,1.86,3.17,0.44,2.73,2.22,3.31,0.61,2.7
198112,5.91,86.1,3.23,37.64,9.47,-4.73,17.2,4.56,12.64,6.02,1.86,3.37,0.48,2.89,2.15,3.45,0.59,2.87
198113,1017.32,85.55,8.46,53.31,17.54,6.64,23.96,12.24,11.72,16.45,2.04,3.74,0.51,3.23,2.44,3.92,0.7,3.22
198201,64.4,85.99,4.03,48.32,9.35,-1.99,16.42,4.68,11.74,6.97,1.89,3.44,0.6,2.83,2.29,3.71,0.79,2.92
198202,32.53,85.73,4.31,51.11,9.29,-1.13,16.51,3.64,12.86,7.77,1.96,3.59,0.5,3.09,2.34,3.83,0.63,3.2
198203,41.01,85.68,5.79,51.95,13.6,3.03,20.78,7.59,13.19,13.0,2.27,4.3,0.55,3.75,2.76,4.69,0.75,3.95
198204,37.37,85.48,6.72,39.75,19.87,5.29,27.41,12.93,14.49,19.63,2.56,5.04,0.65,4.39,3.11,5.46,0.86,4.6
198205,51.68,85.51,8.87,45.7,22.21,9.33,28.92,15.67,13.26,22.65,2.49,4.83,0.66,4.17,3.0,5.2,0.88,4.32
198206,66.64,85.01,10.76,45.36,25.32,12.06,31.83,18.89,12.94,26.03,2.5,5.06,0.47,4.6,2.94,5.29,0.62,4.67
198207,116.22,84.97,13.83,59.56,25.34,15.92,30.82,20.56,10.27,26.36,2.37,4.6,0.53,4.07,2.78,4.78,0.75,4.03
198208,270.83,85.08,16.32,80.61,22.6,18.86,26.57,19.37,7.2,22.98,1.82,3.58,0.36,3.22,2.19,3.68,0.54,3.14
198209,78.36,85.42,12.55,70.89,20.28,14.36,25.31,16.25,9.06,19.65,1.83,3.34,0.47,2.87,2.21,3.55,0.66,2.9
198210,6.03,85.92,8.41,57.91,17.33,8.46,23.82,12.35,11.48,16.15,1.99,3.56,0.49,3.06,2.34,3.56,0.64,2.91
198211,3.33,85.93,5.06,44.68,13.4,0.92,20.77,8.53,12.24,11.16,1.89,3.64,0.44,3.2,2.21,3.64,0.54,3.1
198212,15.56,85.95,3.47,38.16,10.63,-3.73,18.2,6.04,12.16,7.61,1.89,3.59,0.59,3.01,2.28,3.82,0.77,3.05
198213,783.98,85.56,8.37,52.88,17.48,6.83,23.98,12.26,11.73,16.71,2.12,4.05,0.53,3.52,2.54,4.27,0.7,3.57
198301,12.97,85.97,3.18,40.72,8.21,-4.91,15.81,3.36,12.45,5.77,1.92,3.96,0.42,3.55,2.21,3.86,0.48,3.38
198302,6.2,85.78,3.18,36.11,9.6,-4.87,17.44,3.46,13.98,8.0,2.17,4.04,0.44,3.6,2.56,4.21,0.57,3.64
198303,14.02,85.64,3.55,27.93,15.32,-3.59,23.57,8.52,15.05,14.47,2.53,5.0,0.71,4.3,3.1,5.48,0.97,4.51
198304,33.74,85.52,5.45,34.96,18.94,2.17,26.7,12.05,14.65,19.07,2.64,5.14,0.67,4.47,3.15,5.46,0.89,4.57
198305,15.29,85.38,7.32,34.43,23.78,6.53,31.05,16.46,14.6,24.59,2.57,5.09,0.58,4.51,3.02,5.38,0.76,4.61
198306,88.6,85.14,8.27,35.13,25.99,7.58,32.96,18.75,14.21,26.81,2.63,5.2,0.64,4.56,3.1,5.49,0.87,4.61
198307,98.94,85.11,14.33,62.42,24.9,16.62,30.4,20.08,10.32,25.78,2.04,3.97,0.47,3.5,2.35,3.93,0.71,3.22
198308,164.54,85.21,16.49,79.74,22.98,19.1,27.32,19.73,7.59,23.66,1.91,3.73,0.49,3.24,2.29,3.8,0.77,3.04
198309,311.19,85.4,15.44,84.93,20.89,18.02,24.8,17.97,6.83,20.92,1.62,3.17,0.44,2.73,2.03,3.43,0.69,2.74
198310,71.56,85.7,9.5,66.2,16.9,9.99,22.43,12.75,9.68,15.38,1.78,2.94,0.49,2.45,2.1,2.96,0.6,2.36
198311,0.0,86.07,5.06,47.28,12.65,1.23,19.52,8.13,11.39,9.54,1.79,3.04,0.49,2.54,2.08,2.94,0.61,2.33
198312,18.69,85.97,3.72,43.91,9.43,-2.93,16.62,4.92,11.69,6.11,1.76,3.05,0.51,2.54,2.08,3.11,0.64,2.47
198313,835.73,85.57,7.99,49.58,17.51,5.48,24.09,12.23,11.85,16.72,2.11,4.03,0.53,3.5,2.5,4.17,0.71,3.45
198401,6.62,85.77,3.1,40.7,7.74,-5.17,15.19,2.81,12.38,4.9,1.9,3.35,0.57,2.77,2.25,3.48,0.72,2.77
198402,46.9,85.75,3.51,40.84,9.54,-4.05,17.47,3.5,13.97,7.47,2.24,3.93,0.74,3.19,2.72,4.14,1.03,3.1
198403,5.44,85.63,4.35,30.02,17.23,-0.84,26.14,9.31,16.83,15.77,2.55,4.83,0.65,4.18,3.03,5.08,0.8,4.27
198404,11.28,85.45,4.98,26.68,21.44,1.13,29.47,13.56,15.91,21.42,2.67,5.02,0.76,4.26,3.27,5.47,0.99,4.48
198405,14.89,85.12,5.69,22.69,26.23,1.94,34.48,17.46,17.02,26.43,2.84,5.49,0.67,4.81,3.3,5.69,0.86,4.83
198406,157.74,84.86,14.26,62.11,24.83,16.58,30.12,20.04,10.08,25.81,2.05,4.23,0.34,3.89,2.29,4.1,0.5,3.61
198407,150.98,84.99,15.48,74.16,23.16,17.99,27.82,19.26,8.55,24.07,2.08,4.09,0.47,3.62,2.41,4.08,0.75,3.34
198408,196.48,85.08,15.99,77.66,22.93,18.59,27.41,19.38,8.03,23.59,1.87,3.8,0.36,3.44,2.14,3.72,0.56,3.16
198409,68.85,85.42,13.39,77.93,19.88,15.49,24.37,16.41,7.96,19.71,1.72,3.33,0.44,2.9,2.07,3.4,0.63,2.77
198410,10.14,85.74,7.56,49.52,18.01,6.54,25.02,12.65,12.37,16.57,2.03,3.65,0.53,3.12,2.36,3.58,0.67,2.92
