,PRECTOT,PS,QV2M,RH2M,T2M,T2MWET,T2M_MAX,T2M_MIN,T2M_RANGE,TS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE
198101,53.61,73.81,3.05,63.25,-0.81,-7.76,5.62,-5.86,11.48,-3.03,1.9,3.77,0.41,3.36,1.9,3.44,0.48,2.96
198102,9.05,73.87,3.19,53.22,2.15,-7.18,9.75,-4.4,14.15,0.05,2.23,4.44,0.4,4.04,2.26,4.15,0.48,3.67
198103,37.51,73.9,4.25,54.8,5.68,-3.31,12.24,0.1,12.14,5.45,2.3,4.85,0.39,4.46,2.32,4.38,0.48,3.91
198104,21.33,73.88,4.22,37.7,11.29,-3.19,18.65,4.59,14.06,11.02,2.61,5.48,0.39,5.1,2.63,5.01,0.49,4.52
198105,89.45,73.8,6.69,48.33,14.5,3.14,21.04,8.4,12.64,15.22,2.55,5.34,0.41,4.93,2.49,4.78,0.48,4.3
198106,91.5,73.58,7.66,46.43,16.92,3.8,23.56,10.26,13.29,17.83,2.69,5.59,0.48,5.12,2.65,5.0,0.63,4.37
198107,218.18,73.53,13.2,83.45,16.31,12.97,20.67,12.78,7.89,17.37,2.35,4.92,0.39,4.53,2.27,4.32,0.54,3.77
198108,146.04,73.54,13.42,87.56,15.8,13.25,19.76,12.55,7.21,16.52,2.19,4.59,0.43,4.16,2.15,3.98,0.58,3.39
198109,58.63,73.91,10.53,80.5,13.45,9.47,18.21,9.62,8.59,13.78,1.95,4.31,0.34,3.97,1.87,3.61,0.42,3.2
198110,1.38,74.02,4.99,50.26,9.26,-1.33,15.96,4.33,11.63,7.75,2.06,4.33,0.38,3.95,2.0,3.63,0.46,3.17
198111,30.57,73.95,3.59,49.86,4.39,-5.96,11.23,-0.79,12.02,2.53,2.02,3.96,0.34,3.62,2.04,3.57,0.41,3.16
198112,7.88,74.04,2.05,36.24,1.34,-11.91,9.05,-4.22,13.26,-1.78,2.06,4.03,0.41,3.62,2.05,3.55,0.48,3.07
198113,765.12,73.82,6.43,57.71,9.22,0.22,15.5,3.99,11.51,8.6,2.24,4.64,0.4,4.24,2.22,4.12,0.5,3.62
198201,51.38,73.94,2.76,51.78,0.91,-8.92,7.84,-4.36,12.2,-1.46,1.95,3.88,0.45,3.42,1.99,3.51,0.55,2.97
198202,23.53,73.67,3.0,57.78,0.1,-8.05,7.13,-5.86,12.99,-1.58,2.05,4.31,0.32,3.99,2.07,3.95,0.39,3.56
198203,31.97,73.77,4.2,58.98,4.65,-3.67,11.36,-1.13,12.49,4.4,2.42,5.16,0.44,4.72,2.47,4.75,0.52,4.24
198204,26.43,73.79,5.41,50.97,10.37,0.08,17.05,4.67,12.38,11.12,2.65,5.89,0.49,5.4,2.67,5.43,0.59,4.85
198205,33.28,73.89,7.04,56.38,12.81,3.65,18.94,7.08,11.86,14.25,2.66,5.61,0.42,5.19,2.59,5.06,0.51,4.55
198206,27.53,73.57,8.44,52.73,16.49,6.2,22.83,10.56,12.27,18.34,2.83,6.07,0.4,5.67,2.73,5.37,0.5,4.87
