,PRECTOT,PS,QV2M,RH2M,T2M,T2MWET,T2M_MAX,T2M_MIN,T2M_RANGE,TS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE
198101,41.17,77.73,3.62,60.21,2.99,-4.96,8.58,-0.87,9.45,0.86,1.71,3.71,0.34,3.36,1.62,2.98,0.38,2.6
198102,1.45,77.68,3.57,46.74,6.38,-5.0,13.46,1.31,12.15,4.37,2.18,4.49,0.38,4.11,2.09,3.82,0.47,3.35
198103,25.78,77.71,4.51,47.63,9.31,-1.9,15.83,4.11,11.72,9.31,2.27,4.91,0.33,4.58,2.17,4.04,0.4,3.64
198104,53.67,77.6,5.4,43.1,13.63,0.34,20.35,7.88,12.48,13.69,2.46,5.29,0.31,4.98,2.29,4.28,0.35,3.93
198105,87.49,77.5,8.55,56.59,16.48,7.09,22.2,11.51,10.7,17.6,2.38,5.09,0.29,4.8,2.18,4.12,0.33,3.79
198106,135.32,77.25,10.53,60.83,18.56,9.45,23.89,13.74,10.15,19.64,2.6,5.3,0.37,4.93,2.44,4.38,0.51,3.87
198107,329.68,77.26,14.84,90.25,17.68,15.41,20.83,14.93,5.9,18.35,2.28,4.51,0.41,4.1,2.16,3.73,0.56,3.18
198108,210.43,77.28,14.76,92.46,17.21,15.34,20.2,14.67,5.53,17.63,2.14,4.45,0.46,3.99,2.11,3.74,0.64,3.09
198109,88.5,77.68,12.82,90.55,15.4,13.08,18.74,12.75,5.99,15.6,1.96,4.02,0.42,3.6,1.96,3.33,0.57,2.76
198110,5.09,77.79,8.22,71.66,12.17,6.08,17.02,8.67,8.35,10.93,1.78,3.87,0.25,3.61,1.65,2.99,0.3,2.68
198111,24.09,77.79,5.17,59.47,7.78,-0.99,13.44,3.97,9.47,5.68,1.77,3.7,0.28,3.42,1.7,2.94,0.35,2.59
198112,0.65,77.92,3.15,44.96,5.04,-6.71,11.3,1.17,10.12,1.96,1.72,3.9,0.33,3.57,1.62,3.14,0.4,2.74
198113,1003.33,77.6,7.96,63.85,11.91,3.99,17.16,7.85,9.31,11.33,2.1,4.43,0.35,4.09,2.0,3.62,0.44,3.18
198201,71.57,77.83,3.32,48.74,4.72,-6.05,10.74,0.6,10.14,1.96,1.74,3.78,0.36,3.43,1.69,3.17,0.41,2.76
198202,8.02,77.54,3.71,57.15,3.96,-4.78,10.46,-0.96,11.42,2.47,2.02,4.44,0.3,4.14,1.96,3.83,0.34,3.48
198203,17.54,77.62,4.69,53.55,8.28,-1.61,14.99,2.91,12.08,8.03,2.32,4.93,0.32,4.61,2.22,4.15,0.39,3.75
198204,17.13,77.54,5.56,44.24,13.66,1.13,20.23,7.68,12.55,14.59,2.58,5.47,0.33,5.13,2.53,4.67,0.45,4.22
198205,21.77,77.63,6.49,42.18,16.74,3.31,23.19,10.56,12.63,18.33,2.63,5.53,0.32,5.22,2.52,4.71,0.4,4.3
198206,57.92,77.26,10.55,60.06,18.79,10.04,24.06,13.85,10.21,20.82,2.7,5.44,0.29,5.15,2.45,4.42,0.4,4.02
198207,220.47,77.25,13.44,77.34,18.67,13.88,22.78,15.16,7.62,20.02,2.58,5.11,0.53,4.58,2.42,4.2,0.72,3.48
198208,149.95,77.32,14.41,88.66,17.5,14.95,20.85,14.7,6.15,18.1,2.14,4.46,0.32,4.15,2.01,3.61,0.44,3.17
198209,130.99,77.58,12.21,85.9,15.38,12.17,19.26,12.27,7.0,15.59,1.91,4.15,0.31,3.85,1.86,3.36,0.42,2.94
198210,1.96,77.93,7.97,70.59,11.96,5.92,16.88,8.21,8.67,11.56,1.88,4.04,0.29,3.75,1.8,3.15,0.34,2.81
198211,6.81,77.84,4.93,55.57,8.25,-1.05,14.11,4.53,9.57,6.34,1.76,4.09,0.3,3.8,1.66,3.19,0.35,2.84
198212,4.96,77.79,3.05,41.33,5.84,-6.8,12.24,2.05,10.19,3.0,1.67,4.14,0.31,3.83,1.63,3.34,0.38,2.96
198213,709.09,77.6,7.55,60.46,12.02,3.47,17.52,7.68,9.84,11.78,2.16,4.63,0.33,4.3,2.06,3.81,0.42,3.39
198301,0.72,77.75,2.55,41.32,3.4,-8.92,9.79,-0.66,10.45,1.39,1.74,4.37,0.3,4.07,1.66,3.5,0.39,3.11
198302,0.73,77.59,2.24,32.41,4.54,-10.23,11.33,-0.23,11.56,3.58,2.15,4.93,0.31,4.62,2.05,4.06,0.39,3.67
198303,11.84,77.57,3.05,31.61,9.68,-6.86,17.2,3.7,13.5,9.45,2.68,5.92,0.37,5.55,2.65,5.29,0.41,4.88
198304,11.12,77.54,4.48,38.32,12.71,-2.01,19.54,6.66,12.88,13.55,2.69,5.82,0.4,5.42,2.62,5.1,0.48,4.61
198305,47.06,77.55,7.19,47.77,16.49,4.64,22.57,10.7,11.87,18.24,2.66,5.55,0.31,5.24,2.49,4.57,0.37,4.2
198306,76.2,77.39,8.62,48.93,19.02,6.78,24.89,13.13,11.76,20.67,2.67,5.36,0.33,5.03,2.54,4.44,0.49,3.95
198307,103.83,77.37,13.61,76.26,19.07,14.11,23.49,15.33,8.15,20.76,2.62,5.16,0.53,4.63,2.41,4.18,0.69,3.48
198308,81.29,77.46,14.02,82.92,18.18,14.63,22.22,15.06,7.15,19.35,2.48,5.18,0.39,4.79,2.33,4.3,0.59,3.71
198309,65.05,77.6,12.71,82.98,16.65,13.06,20.76,13.58,7.18,17.44,2.12,4.58,0.34,4.25,2.04,3.79,0.45,3.34
198310,75.01,77.75,8.63,70.21,12.8,6.36,17.95,9.02,8.93,12.5,1.94,4.08,0.29,3.79,1.85,3.21,0.38,2.82
198311,0.0,77.97,4.27,47.66,8.48,-3.02,15.05,4.21,10.84,6.4,1.93,4.25,0.34,3.91,1.77,3.29,0.39,2.9
198312,4.98,77.81,2.7,38.56,5.3,-8.41,11.82,1.35,10.47,2.48,1.76,4.11,0.3,3.81,1.66,3.31,0.39,2.92
198313,477.83,77.61,7.04,53.4,12.23,1.75,18.08,7.7,10.38,12.2,2.29,4.94,0.35,4.59,2.17,4.09,0.45,3.63
198401,2.97,77.57,2.23,35.35,3.63,-10.54,10.37,-0.52,10.89,1.45,1.88,4.7,0.33,4.36,1.81,3.93,0.43,3.5
198402,14.53,77.62,2.36,32.6,5.56,-10.01,12.92,0.65,12.27,4.09,2.18,5.14,0.34,4.8,2.08,4.36,0.45,3.9
198403,3.31,77.62,2.95,26.01,11.81,-7.05,19.77,5.41,14.36,11.1,2.63,5.74,0.32,5.42,2.47,4.72,0.42,4.3
198404,8.26,77.53,4.07,29.51,15.02,-3.06,22.21,8.35,13.86,15.96,2.78,5.87,0.37,5.5,2.76,5.18,0.5,4.68
198405,21.99,77.36,6.55,39.13,18.27,1.95,25.02,11.93,13.09,19.64,2.8,5.83,0.31,5.52,2.51,4.62,0.39,4.23
198406,121.88,77.13,12.79,73.5,18.66,13.07,23.19,14.85,8.33,20.39,2.59,5.17,0.4,4.77,2.33,4.14,0.56,3.59
198407,209.03,77.25,13.91,87.68,17.13,14.45,20.67,14.23,6.44,18.17,2.45,4.8,0.55,4.25,2.34,3.98,0.77,3.2
198408,197.44,77.32,14.06,87.34,17.37,14.56,20.88,14.43,6.45,17.93,2.09,4.34,0.29,4.05,2.01,3.55,0.45,3.11
198409,169.84,77.56,12.22,89.17,14.82,12.22,18.42,12.06,6.36,15.02,2.12,4.28,0.45,3.83,2.08,3.59,0.65,2.94
198410,18.16,77.8,8.35,69.79,12.62,6.18,17.59,8.91,8.68,11.4,1.83,3.79,0.33,3.46,1.73,2.97,0.4,2.57
198411,0.07,77.92,4.13,49.24,7.57,-3.06,13.66,3.69,9.98,5.1,1.82,3.96,0.31,3.65,1.71,3.1,0.38,2.72
198412,3.26,77.64,3.17,42.2,6.03,-6.47,12.36,2.37,9.99,3.09,1.64,4.1,0.32,3.77,1.6,3.39,0.37,3.02
198413,770.74,77.53,7.25,55.19,12.39,1.88,18.1,8.05,10.05,11.96,2.23,4.81,0.36,4.45,2.12,3.96,0.48,3.48
198501,32.1,77.71,3.11,51.13,3.0,-6.89,9.49,-1.63,11.12,0.63,1.84,3.78,0.33,3.45,1.8,3.23,0.42,2.81
198502,0.19,77.27,2.24,30.91,5.8,-10.26,13.26,0.43,12.83,3.53,2.16,4.88,0.39,4.49,2.01,3.98,0.45,3.53
198503,0.24,77.56,2.74,24.07,12.08,-8.04,20.06,5.58,14.48,11.24,2.67,5.82,0.35,5.47,2.62,5.04,0.45,4.59
198504,1.32,77.44,4.11,29.2,15.59,-2.91,22.83,9.15,13.68,16.38,2.77,5.99,0.33,5.65,2.69,5.2,0.49,4.71
198505,26.03,77.42,5.79,36.51,17.33,1.13,23.97,10.92,13.06,18.76,2.74,5.63,0.36,5.27,2.56,4.62,0.48,4.14
198506,30.8,77.12,9.6,51.72,19.67,8.62,25.16,14.44,10.72,21.96,2.8,5.67,0.34,5.33,2.55,4.6,0.44,4.16
198507,225.3,77.33,13.45,84.24,17.28,13.96,20.99,14.29,6.69,18.56,2.54,4.95,0.57,4.38,2.37,4.06,0.8,3.25
198508,149.25,77.34,14.29,87.95,17.51,14.85,21.08,14.62,6.47,18.3,2.23,4.47,0.39,4.07,2.1,3.59,0.58,3.01
198509,150.5,77.57,12.76,90.3,15.33,13.0,18.69,12.69,6.01,15.72,1.96,4.02,0.43,3.59,1.92,3.29,0.61,2.68
198510,65.32,77.81,9.66,84.31,12.1,8.46,16.11,9.2,6.91,11.61,1.66,3.69,0.25,3.45,1.58,2.89,0.29,2.6
198511,0.0,77.79,5.78,67.12,7.88,0.75,13.28,4.37,8.91,6.01,1.75,3.95,0.26,3.69,1.65,3.07,0.3,2.77
