,PRECTOT,PS,QV2M,RH2M,T2M,T2MWET,T2M_MAX,T2M_MIN,T2M_RANGE,TS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE
198101,13.6,70.53,2.9,60.57,-1.47,-9.2,4.37,-5.53,9.9,-3.58,1.87,4.64,0.32,4.32,1.79,3.95,0.39,3.56
198102,1.07,70.55,2.8,45.55,1.97,-9.2,8.89,-2.72,11.61,0.27,2.43,5.76,0.63,5.13,2.44,5.26,0.72,4.53
198103,22.51,70.62,3.84,52.93,4.05,-5.41,10.6,-0.73,11.33,4.49,2.53,5.95,0.39,5.56,2.43,5.18,0.44,4.74
198104,45.41,70.6,4.94,52.22,7.87,-2.32,14.69,2.36,12.33,8.52,2.69,5.99,0.46,5.53,2.52,5.03,0.57,4.46
198105,103.44,70.57,7.88,68.73,10.74,4.29,16.3,5.91,10.39,12.27,2.55,5.57,0.37,5.2,2.3,4.55,0.43,4.12
198106,197.82,70.41,10.09,73.36,13.33,7.61,18.47,8.91,9.55,14.95,2.7,5.65,0.44,5.2,2.44,4.67,0.56,4.11
198107,206.56,70.41,12.67,89.97,13.82,11.54,17.65,10.53,7.13,15.05,2.64,5.37,0.53,4.85,2.5,4.57,0.68,3.89
198108,176.0,70.42,12.57,92.16,13.34,11.45,16.93,10.31,6.61,14.23,2.36,5.0,0.53,4.47,2.27,4.26,0.68,3.58
198109,55.73,70.75,10.62,88.85,11.4,8.73,15.56,8.12,7.44,12.0,2.1,4.75,0.38,4.36,1.98,3.95,0.49,3.46
198110,1.73,70.78,6.43,68.61,7.79,0.7,13.34,3.89,9.46,6.3,1.86,4.59,0.32,4.27,1.73,3.84,0.37,3.47
198111,11.25,70.7,3.93,56.01,3.18,-6.45,9.06,-0.68,9.75,0.93,1.78,4.47,0.32,4.15,1.72,3.92,0.35,3.57
198112,4.07,70.76,2.42,43.17,0.53,-11.41,7.09,-3.61,10.7,-3.02,1.77,4.67,0.36,4.31,1.76,4.14,0.41,3.72
198113,839.19,70.59,6.78,66.16,7.24,0.08,12.76,3.09,9.67,6.9,2.27,5.2,0.42,4.78,2.15,4.44,0.51,3.93
198201,59.93,70.67,2.63,48.69,0.1,-10.14,6.5,-4.39,10.89,-3.05,1.92,4.66,0.49,4.17,1.91,4.15,0.59,3.55
198202,13.89,70.37,2.95,59.49,-1.1,-9.05,5.46,-6.3,11.75,-2.98,2.21,5.32,0.55,4.77,2.28,4.93,0.66,4.27
198203,17.47,70.53,3.89,56.87,3.15,-5.43,9.79,-1.93,11.72,2.98,2.52,5.9,0.51,5.39,2.48,5.23,0.6,4.63
198204,22.77,70.56,4.93,53.28,7.65,-1.84,14.09,2.14,11.95,8.71,2.93,6.42,0.57,5.86,2.85,5.68,0.71,4.97
198205,21.83,70.71,5.89,50.99,10.83,0.49,17.35,5.15,12.21,12.55,2.84,6.38,0.43,5.95,2.66,5.47,0.53,4.94
198206,50.69,70.41,9.59,69.91,13.4,7.16,19.08,8.6,10.48,15.79,2.9,6.08,0.49,5.59,2.59,4.95,0.62,4.33
198207,130.34,70.41,11.76,81.59,14.19,10.45,18.6,10.63,7.96,16.11,2.82,5.65,0.56,5.09,2.57,4.68,0.7,3.98
198208,114.88,70.44,12.01,85.76,13.75,10.74,18.3,10.21,8.1,15.1,2.38,5.21,0.38,4.84,2.15,4.23,0.47,3.76
198209,69.93,70.66,9.97,81.57,11.49,7.25,16.3,7.87,8.43,12.09,2.23,5.17,0.38,4.79,2.06,4.25,0.48,3.77
198210,8.21,70.9,5.96,66.2,7.23,0.16,13.04,3.07,9.97,6.98,2.06,4.93,0.28,4.65,1.88,3.95,0.34,3.61
198211,3.74,70.73,4.2,58.5,3.83,-4.55,9.99,-0.03,10.02,2.47,1.92,4.94,0.31,4.63,1.83,4.16,0.35,3.82
198212,2.3,70.65,2.51,42.43,1.39,-10.27,8.11,-2.84,10.95,-1.01,2.06,5.27,0.53,4.74,2.13,4.8,0.65,4.15
198213,515.97,70.59,6.38,62.94,7.21,-0.37,13.09,2.73,10.36,7.2,2.4,5.49,0.46,5.04,2.28,4.7,0.56,4.15
198301,0.1,70.54,1.94,41.0,-1.66,-13.12,5.33,-6.48,11.81,-3.53,2.12,5.21,0.46,4.75,2.21,4.67,0.62,4.05
198302,0.07,70.4,1.85,35.87,-1.11,-13.71,6.01,-6.31,12.33,-1.98,2.49,6.21,0.46,5.75,2.45,5.56,0.61,4.95
198303,5.19,70.52,2.54,34.7,4.21,-10.19,11.45,-1.15,12.61,4.47,3.06,6.95,0.63,6.32,3.09,6.42,0.76,5.67
