,PRECTOT,PS,QV2M,RH2M,T2M,T2MWET,T2M_MAX,T2M_MIN,T2M_RANGE,TS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE
198101,59.47,93.27,5.23,53.56,12.68,3.13,18.73,8.74,10.0,10.87,1.85,3.17,0.74,2.43,2.42,3.94,0.87,3.07
198102,2.02,93.01,5.03,40.53,16.43,2.59,24.13,10.92,13.21,14.95,2.35,4.62,0.82,3.79,3.06,5.19,0.95,4.23
198103,26.71,92.9,5.83,35.49,20.67,4.53,28.1,14.56,13.54,20.52,2.52,4.55,0.84,3.7,3.33,5.28,1.07,4.21
198104,52.23,92.55,6.71,31.36,25.09,6.18,32.71,18.08,14.64,25.19,2.68,4.59,0.85,3.74,3.41,4.98,1.1,3.89
198105,77.69,92.29,10.42,40.18,28.25,13.08,34.9,21.97,12.93,29.4,2.51,4.18,1.02,3.15,3.22,4.7,1.51,3.18
198106,113.48,91.88,12.59,45.51,29.61,15.0,36.05,23.66,12.39,30.62,2.87,4.68,1.23,3.45,3.68,5.18,1.92,3.26
198107,565.55,91.96,19.41,85.82,25.72,23.0,28.69,23.08,5.6,25.92,2.36,4.04,0.87,3.17,3.25,4.8,1.53,3.27
198108,292.51,91.99,19.37,88.7,25.12,22.98,27.99,22.7,5.29,25.17,2.4,3.95,1.11,2.84,3.45,4.88,1.92,2.96
198109,156.44,92.54,17.12,85.94,23.7,21.03,26.92,21.03,5.88,23.49,2.13,3.54,0.78,2.76,3.01,4.33,1.38,2.95
198110,7.73,92.84,10.93,65.2,20.88,13.82,26.2,16.73,9.47,19.44,1.79,2.95,0.67,2.28,2.36,3.51,0.83,2.68
198111,35.62,93.06,7.79,58.37,17.15,8.46,23.04,13.11,9.93,15.35,1.78,2.79,0.74,2.05,2.33,3.52,0.91,2.61
198112,1.08,93.39,4.93,46.26,13.8,2.15,20.46,9.6,10.87,11.26,1.83,3.39,0.63,2.76,2.36,3.74,0.73,3.01
198113,1390.53,92.64,10.48,56.55,21.61,11.39,27.33,17.04,10.28,21.04,2.25,3.86,0.86,3.01,2.99,4.5,1.23,3.27
198201,61.69,93.27,4.8,44.66,14.1,1.81,20.92,9.61,11.31,12.09,2.03,3.58,0.8,2.78,2.7,4.12,0.99,3.14
198202,13.75,92.98,5.16,46.99,14.44,2.83,21.57,9.45,12.12,13.49,2.22,4.35,0.61,3.74,2.96,4.83,0.64,4.19
198203,27.58,92.84,6.35,42.84,19.34,5.71,26.59,13.56,13.03,19.27,2.54,4.64,0.89,3.75,3.32,5.32,0.99,4.33
198204,31.1,92.45,6.8,30.79,25.58,6.72,33.25,18.47,14.79,26.07,3.04,5.4,1.03,4.37,4.03,6.3,1.24,5.06
198205,23.67,92.42,7.62,28.43,28.97,8.39,36.32,21.83,14.48,30.26,2.97,5.5,1.08,4.41,3.86,6.09,1.27,4.82
198206,97.82,91.91,13.02,46.49,29.65,16.21,35.42,23.98,11.43,31.08,2.52,4.34,0.86,3.48,3.15,4.7,1.25,3.45
198207,324.66,91.9,16.9,66.45,28.08,20.65,32.52,24.12,8.4,28.86,2.6,4.45,1.04,3.41,3.49,5.21,1.74,3.47
198208,153.79,92.03,18.69,82.05,25.86,22.41,29.03,23.01,6.02,25.96,2.12,3.57,0.79,2.78,3.0,4.5,1.39,3.12
198209,182.3,92.43,16.06,78.93,24.03,19.9,28.08,20.69,7.39,23.86,2.0,3.35,0.67,2.68,2.76,4.17,1.01,3.16
198210,2.08,93.01,10.33,56.91,22.25,13.05,27.99,17.62,10.37,21.62,1.88,2.95,0.71,2.24,2.48,3.62,0.85,2.77
198211,11.01,93.12,6.65,48.69,17.63,6.36,24.32,12.95,11.37,16.32,1.99,3.41,0.8,2.61,2.64,3.89,0.86,3.04
198212,5.73,93.21,4.2,39.29,14.0,0.16,21.73,8.99,12.74,12.02,2.04,3.88,0.78,3.1,2.68,4.37,0.96,3.41
198213,935.18,92.63,9.74,51.07,22.03,10.39,28.17,17.06,11.11,21.78,2.33,4.12,0.84,3.28,3.09,4.76,1.1,3.66
198301,1.99,93.32,3.44,35.9,12.52,-2.55,19.89,7.71,12.19,10.73,2.17,3.87,0.73,3.14,2.81,4.19,0.89,3.3
198302,0.93,93.03,2.83,23.56,15.43,-5.0,23.5,9.67,13.82,14.42,2.5,4.62,0.83,3.79,3.3,5.15,0.82,4.33
198303,8.4,92.71,3.42,19.89,21.41,-2.97,30.0,14.42,15.58,21.29,3.26,6.29,1.25,5.05,4.37,7.27,1.49,5.77
