,PRECTOT,PS,QV2M,RH2M,T2M,T2MWET,T2M_MAX,T2M_MIN,T2M_RANGE,TS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE
198101,25.1,68.56,2.65,63.27,-3.68,-10.61,2.46,-8.19,10.65,-5.7,1.94,4.53,0.33,4.19,1.84,3.9,0.41,3.49
198102,0.93,68.62,2.68,49.46,-0.21,-10.09,6.98,-5.61,12.6,-1.77,2.35,5.37,0.52,4.85,2.3,4.77,0.67,4.1
198103,23.15,68.68,3.56,54.08,2.28,-6.66,8.7,-2.66,11.37,2.98,2.44,5.79,0.31,5.48,2.28,4.9,0.35,4.55
198104,52.54,68.7,4.57,52.04,6.43,-3.61,13.12,0.92,12.2,7.25,2.58,5.68,0.35,5.33,2.4,4.75,0.42,4.33
198105,97.61,68.68,7.25,66.67,9.56,2.74,15.19,4.7,10.49,11.33,2.5,5.47,0.28,5.19,2.2,4.36,0.36,4.01
198106,159.81,68.53,9.21,70.0,12.2,5.82,17.61,7.41,10.2,14.06,2.75,5.78,0.31,5.47,2.41,4.7,0.35,4.35
198107,222.91,68.54,12.26,90.83,12.77,10.57,16.54,9.55,7.0,14.11,2.63,5.31,0.38,4.94,2.38,4.38,0.44,3.94
198108,173.74,68.55,11.92,91.64,12.21,10.15,15.95,9.04,6.91,13.29,2.31,5.09,0.28,4.82,2.08,4.22,0.28,3.94
198109,59.73,68.86,10.17,89.73,10.18,7.6,14.28,6.99,7.29,11.0,2.14,4.9,0.31,4.59,1.95,4.05,0.38,3.67
198110,2.31,68.87,6.14,69.28,6.57,-0.19,12.37,2.69,9.68,5.81,1.92,4.87,0.19,4.68,1.73,3.95,0.22,3.73
198111,17.8,68.76,3.66,57.1,1.42,-7.49,7.71,-2.85,10.56,-0.37,1.89,4.74,0.24,4.5,1.79,4.12,0.27,3.85
198112,0.92,68.8,2.09,41.57,-1.32,-13.1,5.76,-6.14,11.9,-4.25,1.85,4.86,0.21,4.64,1.81,4.22,0.27,3.95
198113,836.55,68.68,6.37,66.44,5.73,-1.19,11.41,1.36,10.05,5.68,2.28,5.2,0.31,4.89,2.1,4.35,0.37,3.99
