,PRECTOT,PS,QV2M,RH2M,T2M,T2MWET,T2M_MAX,T2M_MIN,T2M_RANGE,TS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE
198101,69.03,61.62,1.93,68.29,-10.35,-14.94,-3.93,-15.6,11.67,-13.66,2.17,4.69,0.44,4.25,2.28,4.59,0.55,4.03
198102,7.97,61.8,2.11,65.48,-8.69,-14.36,-1.32,-15.1,13.78,-13.46,2.18,4.61,0.53,4.07,2.33,4.66,0.61,4.05
198103,41.27,61.87,3.16,68.58,-4.14,-9.11,1.82,-9.26,11.08,-4.01,2.54,5.48,0.48,5.0,2.62,5.18,0.61,4.57
198104,29.81,62.03,3.86,59.74,0.62,-6.49,7.32,-4.9,12.22,1.19,2.67,5.53,0.65,4.88,2.73,5.16,0.77,4.39
198105,86.13,62.06,5.62,68.02,4.14,-1.52,10.53,-1.13,11.66,5.7,2.41,5.02,0.54,4.47,2.33,4.38,0.69,3.69
198106,89.53,61.98,6.69,63.96,7.08,0.2,13.69,1.13,12.56,8.66,2.65,5.67,0.56,5.11,2.56,5.02,0.65,4.37
198107,299.83,61.96,10.01,84.3,9.35,6.54,14.3,5.26,9.05,11.03,2.62,5.52,0.44,5.08,2.58,4.96,0.53,4.43
198108,154.42,61.97,10.06,86.8,8.96,6.6,13.67,5.34,8.33,10.36,2.5,5.32,0.55,4.77,2.51,4.81,0.74,4.07
198109,89.43,62.2,7.72,81.37,6.07,2.68,11.51,1.75,9.75,7.12,2.23,5.16,0.35,4.81,2.23,4.63,0.47,4.17
198110,6.06,62.14,3.28,47.69,1.62,-8.84,8.17,-2.73,10.91,0.13,2.03,5.2,0.28,4.91,2.03,4.78,0.3,4.48
198111,28.51,61.93,2.5,53.77,-4.41,-12.34,1.98,-9.18,11.17,-6.38,2.09,4.98,0.38,4.6,2.22,4.9,0.46,4.44
198112,4.22,61.92,1.53,42.17,-7.08,-16.86,-0.15,-12.0,11.85,-10.21,1.96,5.02,0.32,4.7,2.06,4.89,0.33,4.55
198113,906.21,61.96,4.89,65.87,0.31,-5.65,6.51,-4.64,11.14,-0.22,2.34,5.19,0.46,4.73,2.37,4.83,0.56,4.27
