,PRECTOT,PS,QV2M,RH2M,T2M,T2MWET,T2M_MAX,T2M_MIN,T2M_RANGE,TS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE
198101,58.62,67.71,2.58,70.41,-5.7,-10.79,0.68,-10.93,11.61,-7.97,2.09,4.25,0.41,3.85,2.09,3.94,0.5,3.44
198102,8.38,67.83,2.75,64.75,-3.88,-10.21,3.95,-11.11,15.05,-6.85,2.44,4.7,0.69,4.01,2.49,4.5,0.82,3.68
198103,42.0,67.89,3.77,64.08,0.54,-5.93,6.77,-4.97,11.74,0.52,2.43,5.31,0.51,4.8,2.43,4.86,0.58,4.28
198104,26.65,67.98,4.07,48.72,5.7,-4.71,12.69,-0.6,13.29,5.76,2.72,5.69,0.66,5.03,2.78,5.25,0.87,4.38
198105,86.38,67.96,6.09,57.41,9.18,0.71,15.59,3.49,12.1,10.23,2.54,5.33,0.55,4.78,2.47,4.69,0.68,4.01
198106,77.05,67.8,7.01,53.14,11.92,1.59,18.63,5.35,13.28,13.19,2.83,5.92,0.75,5.17,2.77,5.24,0.96,4.27
198107,195.63,67.76,11.46,83.57,12.84,9.62,17.67,8.85,8.82,14.28,2.56,5.47,0.44,5.03,2.41,4.72,0.56,4.17
198108,121.26,67.76,11.65,86.72,12.51,9.86,16.95,8.86,8.09,13.66,2.43,5.17,0.53,4.64,2.36,4.49,0.68,3.82
198109,57.44,68.06,9.0,81.56,9.65,5.94,14.91,5.36,9.55,10.53,2.15,4.9,0.33,4.57,2.04,4.13,0.4,3.73
198110,2.51,68.09,4.46,55.59,4.98,-3.94,11.88,0.12,11.76,4.23,2.24,4.94,0.61,4.33,2.19,4.25,0.68,3.57
198111,26.9,67.95,3.1,55.2,-0.35,-8.7,6.51,-5.81,12.32,-1.78,2.14,4.47,0.38,4.09,2.15,4.15,0.47,3.69
198112,7.64,67.98,1.77,40.92,-3.47,-14.3,4.36,-9.18,13.55,-6.18,2.23,4.54,0.52,4.02,2.23,4.09,0.6,3.5
198113,710.46,67.9,5.67,63.54,4.54,-2.52,10.91,-0.82,11.73,4.19,2.4,5.06,0.53,4.53,2.37,4.53,0.65,3.88
198201,45.45,67.87,2.28,55.43,-3.81,-11.96,3.15,-9.23,12.38,-5.93,2.11,4.43,0.44,3.99,2.13,4.08,0.56,3.52
198202,23.82,67.6,2.47,66.91,-5.77,-11.49,1.55,-12.5,14.04,-8.2,2.33,4.82,0.54,4.28,2.38,4.53,0.67,3.86
198203,26.25,67.76,3.53,65.1,-0.46,-6.92,6.25,-6.42,12.67,-0.77,2.68,6.0,0.53,5.47,2.71,5.58,0.68,4.89
198204,9.87,67.87,4.74,57.16,5.52,-2.73,11.74,0.52,11.22,6.83,2.8,6.37,0.43,5.93,2.77,5.85,0.52,5.33
198205,19.06,68.01,6.0,60.14,8.17,0.31,14.2,2.68,11.51,10.04,2.91,6.4,0.38,6.01,2.81,5.76,0.48,5.28
198206,22.2,67.77,7.59,59.27,11.72,3.48,18.26,5.76,12.5,14.1,2.94,6.43,0.54,5.88,2.76,5.6,0.72,4.87
198207,44.05,67.78,9.8,67.8,13.67,7.13,19.51,8.59,10.92,16.03,2.99,6.18,0.55,5.63,2.77,5.27,0.7,4.57
198208,139.27,67.82,10.99,82.15,12.47,9.03,17.32,8.72,8.6,13.95,2.48,5.31,0.45,4.86,2.32,4.54,0.52,4.02
198209,36.3,67.98,8.0,72.72,9.2,3.85,15.28,4.47,10.81,9.96,2.3,5.22,0.32,4.91,2.19,4.39,0.39,4.01
198210,2.09,68.18,5.18,63.87,5.05,-1.88,11.66,0.5,11.16,5.29,2.18,5.16,0.34,4.82,2.07,4.34,0.4,3.93
198211,1.66,68.01,2.8,44.2,1.42,-9.65,8.76,-3.48,12.24,-0.09,2.14,5.3,0.48,4.82,2.13,4.7,0.57,4.13
198212,9.92,67.91,2.01,41.92,-1.86,-13.06,5.23,-6.57,11.8,-4.09,2.17,5.21,0.72,4.48,2.31,4.92,0.9,4.02
198213,379.93,67.88,5.47,61.38,4.67,-2.77,11.13,-0.51,11.63,4.83,2.5,5.57,0.48,5.09,2.45,4.96,0.59,4.37
198301,5.26,67.75,1.84,45.25,-4.15,-14.12,3.14,-9.3,12.44,-5.81,2.37,5.54,0.6,4.94,2.5,5.16,0.78,4.38
198302,4.87,67.62,1.94,47.06,-4.5,-13.57,2.69,-10.15,12.84,-5.0,2.41,5.73,0.32,5.41,2.38,5.19,0.4,4.79
198303,23.23,67.78,2.67,45.93,0.38,-10.08,7.45,-5.69,13.14,0.37,2.95,6.72,0.53,6.19,3.05,6.44,0.68,5.76
198304,56.68,67.83,4.03,53.84,4.06,-4.91,10.75,-1.48,12.23,5.23,2.87,6.59,0.46,6.13,2.84,6.15,0.55,5.6
198305,5.61,67.95,5.86,56.76,8.73,0.14,15.31,2.96,12.35,10.72,2.81,6.33,0.37,5.96,2.69,5.67,0.48,5.18
198306,69.88,67.89,6.39,51.74,11.37,0.91,18.19,4.89,13.3,13.49,2.86,6.39,0.36,6.03,2.73,5.69,0.46,5.23
198307,44.34,67.89,9.65,68.96,13.1,6.87,19.07,7.78,11.3,15.19,2.75,5.87,0.51,5.35,2.54,4.95,0.62,4.33
198308,79.02,67.93,11.31,80.93,13.17,9.45,18.31,9.26,9.05,14.93,2.56,5.46,0.44,5.02,2.39,4.52,0.55,3.97
198309,183.75,68.01,9.93,84.59,10.52,7.27,15.32,6.72,8.6,11.39,2.15,4.67,0.5,4.18,2.12,3.98,0.62,3.36
198310,50.56,68.03,5.59,69.38,4.78,-1.32,11.04,0.03,11.01,4.45,2.09,4.54,0.33,4.21,2.03,3.85,0.4,3.45
198311,0.0,68.12,2.89,49.05,0.66,-9.31,7.85,-4.47,12.32,-1.37,2.1,4.46,0.37,4.1,2.06,3.82,0.42,3.4
198312,10.92,67.88,2.04,46.92,-3.32,-13.09,3.83,-8.3,12.13,-5.89,2.08,4.56,0.49,4.07,2.15,4.2,0.6,3.6
198313,534.13,67.89,5.37,58.44,4.62,-3.42,11.13,-0.59,11.72,4.86,2.5,5.57,0.44,5.13,2.46,4.97,0.55,4.42
198401,4.51,67.59,1.77,48.58,-5.75,-14.45,1.07,-10.61,11.68,-7.81,2.17,5.22,0.5,4.72,2.23,4.89,0.62,4.27
198402,44.68,67.65,2.12,54.77,-5.04,-13.07,2.26,-10.99,13.25,-7.06,2.8,5.9,0.62,5.28,2.88,5.66,0.76,4.9
198403,7.8,67.92,3.0,43.58,2.58,-8.66,10.78,-4.74,15.53,1.62,2.79,5.95,0.54,5.41,2.79,5.46,0.66,4.8
198404,11.49,67.91,4.07,47.32,5.98,-4.69,12.61,0.25,12.36,7.21,2.74,6.16,0.46,5.7,2.72,5.67,0.59,5.08
198405,9.12,67.89,4.44,36.1,11.12,-4.08,19.51,2.93,16.58,12.47,3.26,6.96,0.78,6.18,3.21,6.24,0.99,5.25
198406,80.73,67.66,9.82,69.37,13.37,7.12,19.62,8.14,11.48,15.9,3.03,6.28,0.65,5.62,2.76,5.23,0.88,4.35
198407,59.77,67.71,10.46,76.92,12.69,8.18,18.2,8.15,10.05,14.97,2.88,6.07,0.55,5.52,2.65,5.16,0.67,4.49
198408,80.21,67.82,11.02,78.8,13.18,9.01,18.55,9.16,9.39,15.03,2.61,5.58,0.39,5.19,2.36,4.59,0.5,4.09
198409,35.05,67.95,8.31,76.3,9.14,4.36,14.94,4.63,10.31,10.25,2.36,5.45,0.36,5.09,2.23,4.62,0.44,4.18
198410,7.16,68.11,4.06,48.24,5.55,-5.51,13.3,-0.24,13.54,5.26,2.47,5.54,0.42,5.12,2.4,4.8,0.51,4.3
198411,0.29,68.05,2.28,39.2,0.6,-11.61,8.28,-4.57,12.85,-0.9,2.18,5.19,0.39,4.8,2.14,4.53,0.49,4.04
198412,11.73,67.77,1.9,39.85,-1.95,-13.82,5.28,-6.58,11.86,-3.92,2.34,5.95,0.65,5.3,2.52,5.73,0.89,4.84
198413,352.55,67.84,5.28,54.89,5.15,-3.92,12.07,-0.34,12.41,5.29,2.64,5.85,0.53,5.33,2.57,5.22,0.67,4.55
198501,63.17,67.72,2.01,63.26,-7.85,-13.78,-0.27,-14.72,14.45,-11.42,2.14,3.89,0.43,3.46,2.13,3.76,0.48,3.28
198502,0.98,67.46,1.55,38.35,-4.26,-16.12,5.19,-12.21,17.4,-8.02,2.82,5.48,0.92,4.56,2.93,5.28,1.1,4.18
198503,1.72,67.89,2.41,32.67,3.63,-11.13,11.62,-3.04,14.67,3.29,3.05,7.16,0.68,6.48,3.16,6.81,0.86,5.95
