,PRECTOT,PS,QV2M,RH2M,T2M,T2MWET,T2M_MAX,T2M_MIN,T2M_RANGE,TS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE
198101,72.67,80.25,4.02,60.16,4.92,-2.98,10.44,1.37,9.07,2.39,1.81,3.78,0.54,3.24,1.94,3.5,0.69,2.82
198102,4.36,80.18,3.99,47.73,8.16,-3.09,15.42,3.02,12.4,5.67,2.36,4.73,0.86,3.87,2.63,4.66,1.13,3.53
198103,32.78,80.19,4.99,47.57,11.3,0.1,18.0,5.94,12.06,10.82,2.44,5.05,0.62,4.43,2.63,4.7,0.77,3.94
198104,44.45,80.05,5.62,40.02,15.85,1.69,23.07,9.72,13.35,15.62,2.73,5.51,0.63,4.88,2.9,5.11,0.81,4.3
198105,74.66,79.93,8.37,49.25,18.89,7.52,25.22,13.16,12.06,19.73,2.59,5.4,0.47,4.93,2.71,4.91,0.63,4.28
198106,109.45,79.65,10.08,52.5,20.87,9.22,27.03,15.25,11.77,21.83,2.79,5.6,0.59,5.02,2.96,5.22,0.85,4.37
198107,536.75,79.66,15.3,87.29,19.2,16.62,22.63,16.22,6.42,19.88,2.4,4.51,0.75,3.76,2.71,4.27,1.15,3.12
198108,279.64,79.67,15.54,91.47,18.68,16.88,21.91,16.02,5.89,19.13,2.36,4.56,0.9,3.66,2.78,4.44,1.39,3.05
198109,157.63,80.09,13.36,88.01,16.97,14.47,20.59,14.18,6.41,17.02,2.03,4.12,0.48,3.64,2.31,3.93,0.73,3.19
198110,13.07,80.24,7.94,64.39,13.77,6.16,18.9,10.31,8.59,11.72,1.85,3.91,0.49,3.42,1.95,3.51,0.68,2.83
198111,32.85,80.28,5.62,59.3,9.58,0.88,15.2,5.91,9.29,7.07,1.82,3.56,0.53,3.03,1.96,3.16,0.62,2.54
198112,1.35,80.43,3.53,46.3,6.72,-4.75,13.01,3.06,9.95,3.23,1.86,4.01,0.56,3.45,2.01,3.75,0.72,3.02
198113,1359.65,80.05,8.23,61.29,13.77,5.28,19.29,9.55,9.75,12.87,2.25,4.56,0.62,3.94,2.46,4.26,0.85,3.41
198201,62.25,80.34,3.72,49.58,6.61,-4.02,12.74,2.74,10.01,3.82,1.92,3.91,0.6,3.31,2.13,3.71,0.74,2.98
198202,22.45,80.05,3.95,53.94,6.14,-3.34,12.82,1.45,11.36,4.29,2.2,4.68,0.66,4.02,2.47,4.55,0.88,3.67
198203,33.99,80.1,5.17,53.32,10.27,0.34,17.08,4.81,12.26,9.59,2.45,4.97,0.63,4.34,2.65,4.73,0.78,3.95
198204,21.22,79.99,6.0,43.12,15.73,2.79,22.63,9.77,12.86,15.98,2.9,5.69,0.88,4.81,3.23,5.57,1.15,4.42
198205,17.79,80.06,6.98,41.3,18.75,4.85,25.64,12.47,13.17,19.84,2.87,5.75,0.72,5.03,3.11,5.51,0.89,4.61
198206,114.6,79.66,10.73,56.28,20.66,10.91,26.37,15.31,11.07,22.19,2.61,5.29,0.5,4.79,2.68,4.73,0.69,4.04
198207,291.14,79.64,13.82,74.49,20.34,14.95,24.68,16.66,8.01,21.4,2.44,4.97,0.46,4.51,2.62,4.68,0.7,3.99
198208,160.75,79.73,14.79,86.22,18.85,16.08,22.41,15.99,6.42,19.29,2.16,4.27,0.5,3.78,2.39,4.0,0.74,3.26
198209,163.39,80.0,12.33,80.76,16.93,12.95,21.21,13.62,7.59,16.66,2.1,4.19,0.57,3.62,2.36,3.97,0.79,3.19
198210,2.31,80.4,8.38,68.0,13.77,7.35,19.03,10.02,9.01,12.86,1.96,3.99,0.55,3.45,2.08,3.47,0.68,2.79
198211,10.36,80.32,5.14,53.05,10.04,0.2,16.09,6.22,9.87,7.62,1.85,4.1,0.44,3.66,1.97,3.7,0.54,3.16
198212,9.61,80.28,3.27,40.63,7.53,-5.38,14.4,3.65,10.76,4.29,2.04,4.55,0.73,3.82,2.3,4.47,0.95,3.52
198213,909.86,80.05,7.88,58.43,13.84,4.85,19.63,9.44,10.19,13.2,2.29,4.7,0.6,4.09,2.5,4.42,0.79,3.63
198301,3.61,80.28,2.93,42.67,5.31,-6.68,11.94,1.4,10.54,2.94,1.95,4.58,0.58,4.0,2.09,4.14,0.73,3.42
198302,3.03,80.11,2.69,35.34,6.43,-7.72,13.52,1.64,11.88,4.9,2.33,5.05,0.68,4.37,2.52,4.69,0.75,3.94
198303,9.12,80.05,3.33,30.92,11.8,-5.31,19.79,5.47,14.33,11.22,3.12,6.56,0.97,5.59,3.57,6.62,1.2,5.42
198304,17.67,80.0,4.74,36.05,15.12,-0.7,22.43,9.07,13.36,15.68,3.11,6.47,0.95,5.52,3.46,6.35,1.25,5.1
198305,40.62,79.98,7.12,42.17,18.87,5.14,25.59,12.44,13.15,20.23,2.84,5.78,0.58,5.21,2.97,5.33,0.67,4.66
198306,88.77,79.79,8.46,44.16,21.1,7.01,27.59,14.74,12.85,22.38,2.91,5.78,0.84,4.95,3.14,5.45,1.1,4.35
198307,144.8,79.77,14.05,72.67,20.9,15.31,25.72,17.02,8.7,22.56,2.58,5.29,0.57,4.72,2.66,4.76,0.85,3.91
198308,134.23,79.86,14.74,83.0,19.45,16.13,23.53,16.32,7.21,20.36,2.38,4.88,0.53,4.36,2.64,4.63,0.86,3.78
198309,193.69,80.02,13.67,85.7,17.76,14.89,21.54,14.98,6.57,18.11,2.13,4.24,0.6,3.65,2.47,4.07,0.93,3.13
198310,119.96,80.2,9.72,74.83,14.23,9.01,18.9,10.76,8.14,13.54,1.88,3.77,0.46,3.31,2.03,3.37,0.65,2.72
198311,0.0,80.46,5.08,52.69,10.05,-0.09,16.21,6.1,10.11,7.37,1.88,3.86,0.59,3.27,1.95,3.3,0.67,2.63
198312,11.85,80.31,3.25,42.59,6.93,-5.65,13.53,3.28,10.24,3.58,1.88,4.01,0.59,3.41,2.05,3.71,0.73,2.98
198313,767.35,80.07,7.52,53.7,14.04,3.52,20.06,9.48,10.58,13.62,2.42,5.02,0.66,4.36,2.63,4.7,0.86,3.84
198401,5.93,80.09,2.76,39.92,5.32,-7.58,12.16,1.39,10.76,2.67,2.13,4.71,0.65,4.06,2.35,4.49,0.83,3.66
198402,28.97,80.12,2.93,37.18,7.22,-7.04,14.84,2.12,12.72,5.17,2.4,5.1,0.82,4.28,2.63,4.84,1.01,3.82
198403,2.87,80.07,3.82,30.69,13.75,-3.46,21.91,7.3,14.6,12.51,2.83,5.91,0.9,5.0,3.06,5.61,1.02,4.59
198404,4.84,79.97,4.42,28.79,17.18,-1.41,24.96,10.26,14.69,17.8,3.25,6.41,1.13,5.28,3.67,6.33,1.46,4.88
198405,17.02,79.76,6.33,33.28,20.82,2.06,28.36,13.63,14.73,22.05,2.99,6.04,0.7,5.34,3.08,5.43,0.82,4.61
