Timeperiod/Glacier name,Fronatal variation(m),Uncertainty(m),Annual rate(m a -1)
1974–1981 YG,-26.9,±5,-3.8
1981–2000 YG,-129,±31,-6.8
2000–2012 YG,-169.1,±30,-14.1
2012–2014 YG,-13,±1,-6.5
2014–2016 YG,-7.7,±1,-3.9
1974–2016 YG,-345.8,±5,-8.2
1974–1994 RSG,-215.8,NaN,-10.8
1994–1998 RSG,-72.8,NaN,-18.2
1998–1999 RSG,-11.5,NaN,-11.5
1989–2001 RSG,-149,±30,-12.4
2001–2006 RSG,-71,±30,-14.2
2006–2011 RSG,-159,±30,-31.8
2011–2013 RSG,-52,±15,-26
1989–2013 RSG,-431,±34,-18
