Parameters ,Yala Glacier ,Rikha Samba Glacier
Latitude/ Longitude,"28° 14' N, 85° 34' E","28° 50' N, 83° 30' E"
Elevation range,5168–5661 m a.s.l.,5416–6515 m a.s.l.
Glacier area/length,"1.61 km2/1.4 km (2012, GeoEye)","5.7 km2/5.4 km (2010, Rapid Eye)"
Orientation,South west,South east
ELA0,~5380 m a.s.l.,~5760 m a.s.l.
AAR0,49%,66%
