Warm Spell Duration Index - (Days), Year, Model, Statistics, ISO3
3.52837, 2060-2079, bcc_csm1_1_m, Jan Anomaly, NPL
2.00125, 2060-2079, bcc_csm1_1_m, Feb Anomaly, NPL
3.50231, 2060-2079, bcc_csm1_1_m, Mar Anomaly, NPL
6.61542, 2060-2079, bcc_csm1_1_m, Apr Anomaly, NPL
4.38173, 2060-2079, bcc_csm1_1_m, May Anomaly, NPL
1.79006, 2060-2079, bcc_csm1_1_m, Jun Anomaly, NPL
1.14281, 2060-2079, bcc_csm1_1_m, Jul Anomaly, NPL
1.31383, 2060-2079, bcc_csm1_1_m, Aug Anomaly, NPL
1.2216, 2060-2079, bcc_csm1_1_m, Sep Anomaly, NPL
3.05794, 2060-2079, bcc_csm1_1_m, Oct Anomaly, NPL
1.55695, 2060-2079, bcc_csm1_1_m, Nov Anomaly, NPL
1.91734, 2060-2079, bcc_csm1_1_m, Dec Anomaly, NPL
2.19277, 2060-2079, ccsm4, Jan Anomaly, NPL
1.24405, 2060-2079, ccsm4, Feb Anomaly, NPL
5.16035, 2060-2079, ccsm4, Mar Anomaly, NPL
5.35158, 2060-2079, ccsm4, Apr Anomaly, NPL
7.66513, 2060-2079, ccsm4, May Anomaly, NPL
3.86089, 2060-2079, ccsm4, Jun Anomaly, NPL
0.75504, 2060-2079, ccsm4, Jul Anomaly, NPL
1.3312, 2060-2079, ccsm4, Aug Anomaly, NPL
0.66405, 2060-2079, ccsm4, Sep Anomaly, NPL
1.79724, 2060-2079, ccsm4, Oct Anomaly, NPL
1.49716, 2060-2079, ccsm4, Nov Anomaly, NPL
1.60817, 2060-2079, ccsm4, Dec Anomaly, NPL
1.9724, 2060-2079, cesm1_cam5, Jan Anomaly, NPL
1.90977, 2060-2079, cesm1_cam5, Feb Anomaly, NPL
1.12941, 2060-2079, cesm1_cam5, Mar Anomaly, NPL
3.85869, 2060-2079, cesm1_cam5, Apr Anomaly, NPL
3.98932, 2060-2079, cesm1_cam5, May Anomaly, NPL
3.15288, 2060-2079, cesm1_cam5, Jun Anomaly, NPL
0.61009, 2060-2079, cesm1_cam5, Jul Anomaly, NPL
1.23434, 2060-2079, cesm1_cam5, Aug Anomaly, NPL
2.25584, 2060-2079, cesm1_cam5, Sep Anomaly, NPL
5.15759, 2060-2079, cesm1_cam5, Oct Anomaly, NPL
4.95308, 2060-2079, cesm1_cam5, Nov Anomaly, NPL
1.53809, 2060-2079, cesm1_cam5, Dec Anomaly, NPL
4.67948, 2060-2079, csiro_mk3_6_0, Jan Anomaly, NPL
3.19389, 2060-2079, csiro_mk3_6_0, Feb Anomaly, NPL
6.30501, 2060-2079, csiro_mk3_6_0, Mar Anomaly, NPL
6.22548, 2060-2079, csiro_mk3_6_0, Apr Anomaly, NPL
9.11058, 2060-2079, csiro_mk3_6_0, May Anomaly, NPL
8.74231, 2060-2079, csiro_mk3_6_0, Jun Anomaly, NPL
7.35501, 2060-2079, csiro_mk3_6_0, Jul Anomaly, NPL
5.90917, 2060-2079, csiro_mk3_6_0, Aug Anomaly, NPL
2.85009, 2060-2079, csiro_mk3_6_0, Sep Anomaly, NPL
3.16192, 2060-2079, csiro_mk3_6_0, Oct Anomaly, NPL
5.1826, 2060-2079, csiro_mk3_6_0, Nov Anomaly, NPL
7.76822, 2060-2079, csiro_mk3_6_0, Dec Anomaly, NPL
6.74809, 2060-2079, gfdl_cm3, Jan Anomaly, NPL
3.26766, 2060-2079, gfdl_cm3, Feb Anomaly, NPL
2.72158, 2060-2079, gfdl_cm3, Mar Anomaly, NPL
2.1729, 2060-2079, gfdl_cm3, Apr Anomaly, NPL
5.72431, 2060-2079, gfdl_cm3, May Anomaly, NPL
7.82262, 2060-2079, gfdl_cm3, Jun Anomaly, NPL
11.2983, 2060-2079, gfdl_cm3, Jul Anomaly, NPL
18.8931, 2060-2079, gfdl_cm3, Aug Anomaly, NPL
13.7623, 2060-2079, gfdl_cm3, Sep Anomaly, NPL
10.5464, 2060-2079, gfdl_cm3, Oct Anomaly, NPL
8.47088, 2060-2079, gfdl_cm3, Nov Anomaly, NPL
9.73117, 2060-2079, gfdl_cm3, Dec Anomaly, NPL
1.70895, 2060-2079, gfdl_esm2g, Jan Anomaly, NPL
0.55371, 2060-2079, gfdl_esm2g, Feb Anomaly, NPL
1.14246, 2060-2079, gfdl_esm2g, Mar Anomaly, NPL
1.26978, 2060-2079, gfdl_esm2g, Apr Anomaly, NPL
1.45042, 2060-2079, gfdl_esm2g, May Anomaly, NPL
2.04826, 2060-2079, gfdl_esm2g, Jun Anomaly, NPL
1.22628, 2060-2079, gfdl_esm2g, Jul Anomaly, NPL
2.09589, 2060-2079, gfdl_esm2g, Aug Anomaly, NPL
2.10813, 2060-2079, gfdl_esm2g, Sep Anomaly, NPL
4.63818, 2060-2079, gfdl_esm2g, Oct Anomaly, NPL
2.96227, 2060-2079, gfdl_esm2g, Nov Anomaly, NPL
3.23835, 2060-2079, gfdl_esm2g, Dec Anomaly, NPL
0.80817, 2060-2079, gfdl_esm2m, Jan Anomaly, NPL
0.08433, 2060-2079, gfdl_esm2m, Feb Anomaly, NPL
1.60479, 2060-2079, gfdl_esm2m, Mar Anomaly, NPL
0.99875, 2060-2079, gfdl_esm2m, Apr Anomaly, NPL
3.85689, 2060-2079, gfdl_esm2m, May Anomaly, NPL
3.63569, 2060-2079, gfdl_esm2m, Jun Anomaly, NPL
2.30206, 2060-2079, gfdl_esm2m, Jul Anomaly, NPL
4.70632, 2060-2079, gfdl_esm2m, Aug Anomaly, NPL
4.45564, 2060-2079, gfdl_esm2m, Sep Anomaly, NPL
4.14766, 2060-2079, gfdl_esm2m, Oct Anomaly, NPL
2.36697, 2060-2079, gfdl_esm2m, Nov Anomaly, NPL
0.1825, 2060-2079, gfdl_esm2m, Dec Anomaly, NPL
1.36774, 2060-2079, hadgem2_ao, Jan Anomaly, NPL
1.05856, 2060-2079, hadgem2_ao, Feb Anomaly, NPL
2.58324, 2060-2079, hadgem2_ao, Mar Anomaly, NPL
2.2238, 2060-2079, hadgem2_ao, Apr Anomaly, NPL
2.37036, 2060-2079, hadgem2_ao, May Anomaly, NPL
2.15868, 2060-2079, hadgem2_ao, Jun Anomaly, NPL
0.08622, 2060-2079, hadgem2_ao, Jul Anomaly, NPL
0.58407, 2060-2079, hadgem2_ao, Aug Anomaly, NPL
2.52035, 2060-2079, hadgem2_ao, Sep Anomaly, NPL
8.45824, 2060-2079, hadgem2_ao, Oct Anomaly, NPL
7.10916, 2060-2079, hadgem2_ao, Nov Anomaly, NPL
4.51769, 2060-2079, hadgem2_ao, Dec Anomaly, NPL
3.56162, 2060-2079, hadgem2_es, Jan Anomaly, NPL
2.60263, 2060-2079, hadgem2_es, Feb Anomaly, NPL
1.36816, 2060-2079, hadgem2_es, Mar Anomaly, NPL
