Warm Spell Duration Index - (Days), Year, Model, Statistics, ISO3
8.61553, 2080-2099, access1_0, Jan Anomaly, NPL
6.83079, 2080-2099, access1_0, Feb Anomaly, NPL
8.36269, 2080-2099, access1_0, Mar Anomaly, NPL
6.82665, 2080-2099, access1_0, Apr Anomaly, NPL
2.79885, 2080-2099, access1_0, May Anomaly, NPL
3.5898, 2080-2099, access1_0, Jun Anomaly, NPL
2.43478, 2080-2099, access1_0, Jul Anomaly, NPL
3.68875, 2080-2099, access1_0, Aug Anomaly, NPL
9.99841, 2080-2099, access1_0, Sep Anomaly, NPL
14.4955, 2080-2099, access1_0, Oct Anomaly, NPL
14.144, 2080-2099, access1_0, Nov Anomaly, NPL
11.3128, 2080-2099, access1_0, Dec Anomaly, NPL
5.34301, 2080-2099, access1_3, Jan Anomaly, NPL
4.9094, 2080-2099, access1_3, Feb Anomaly, NPL
6.59315, 2080-2099, access1_3, Mar Anomaly, NPL
6.85173, 2080-2099, access1_3, Apr Anomaly, NPL
5.47084, 2080-2099, access1_3, May Anomaly, NPL
4.38459, 2080-2099, access1_3, Jun Anomaly, NPL
4.4864, 2080-2099, access1_3, Jul Anomaly, NPL
2.89129, 2080-2099, access1_3, Aug Anomaly, NPL
8.2445, 2080-2099, access1_3, Sep Anomaly, NPL
10.4558, 2080-2099, access1_3, Oct Anomaly, NPL
7.39528, 2080-2099, access1_3, Nov Anomaly, NPL
6.48805, 2080-2099, access1_3, Dec Anomaly, NPL
2.87695, 2080-2099, bcc_csm1_1_m, Jan Anomaly, NPL
1.08085, 2080-2099, bcc_csm1_1_m, Feb Anomaly, NPL
3.00927, 2080-2099, bcc_csm1_1_m, Mar Anomaly, NPL
4.49932, 2080-2099, bcc_csm1_1_m, Apr Anomaly, NPL
4.18561, 2080-2099, bcc_csm1_1_m, May Anomaly, NPL
3.36561, 2080-2099, bcc_csm1_1_m, Jun Anomaly, NPL
0.8539, 2080-2099, bcc_csm1_1_m, Jul Anomaly, NPL
1.24563, 2080-2099, bcc_csm1_1_m, Aug Anomaly, NPL
1.86495, 2080-2099, bcc_csm1_1_m, Sep Anomaly, NPL
2.84781, 2080-2099, bcc_csm1_1_m, Oct Anomaly, NPL
3.95749, 2080-2099, bcc_csm1_1_m, Nov Anomaly, NPL
3.37597, 2080-2099, bcc_csm1_1_m, Dec Anomaly, NPL
7.31782, 2080-2099, bnu_esm, Jan Anomaly, NPL
2.92708, 2080-2099, bnu_esm, Feb Anomaly, NPL
6.51974, 2080-2099, bnu_esm, Mar Anomaly, NPL
2.89269, 2080-2099, bnu_esm, Apr Anomaly, NPL
4.07417, 2080-2099, bnu_esm, May Anomaly, NPL
3.38491, 2080-2099, bnu_esm, Jun Anomaly, NPL
0.64842, 2080-2099, bnu_esm, Jul Anomaly, NPL
-0.0185, 2080-2099, bnu_esm, Aug Anomaly, NPL
0.63333, 2080-2099, bnu_esm, Sep Anomaly, NPL
1.11079, 2080-2099, bnu_esm, Oct Anomaly, NPL
3.99147, 2080-2099, bnu_esm, Nov Anomaly, NPL
7.05518, 2080-2099, bnu_esm, Dec Anomaly, NPL
4.3958, 2080-2099, canesm2, Jan Anomaly, NPL
2.15733, 2080-2099, canesm2, Feb Anomaly, NPL
3.83959, 2080-2099, canesm2, Mar Anomaly, NPL
4.26885, 2080-2099, canesm2, Apr Anomaly, NPL
6.54763, 2080-2099, canesm2, May Anomaly, NPL
3.32555, 2080-2099, canesm2, Jun Anomaly, NPL
2.40387, 2080-2099, canesm2, Jul Anomaly, NPL
0.97259, 2080-2099, canesm2, Aug Anomaly, NPL
1.91428, 2080-2099, canesm2, Sep Anomaly, NPL
2.29724, 2080-2099, canesm2, Oct Anomaly, NPL
2.86772, 2080-2099, canesm2, Nov Anomaly, NPL
4.13934, 2080-2099, canesm2, Dec Anomaly, NPL
3.97643, 2080-2099, ccsm4, Jan Anomaly, NPL
4.29247, 2080-2099, ccsm4, Feb Anomaly, NPL
5.18819, 2080-2099, ccsm4, Mar Anomaly, NPL
6.01928, 2080-2099, ccsm4, Apr Anomaly, NPL
3.81633, 2080-2099, ccsm4, May Anomaly, NPL
3.03917, 2080-2099, ccsm4, Jun Anomaly, NPL
