Warm Spell Duration Index - (Days), Year, Model, Statistics, ISO3
2.28627, 2060-2079, bcc_csm1_1_m, Jan Anomaly, NPL
0.77925, 2060-2079, bcc_csm1_1_m, Feb Anomaly, NPL
3.53001, 2060-2079, bcc_csm1_1_m, Mar Anomaly, NPL
3.0195, 2060-2079, bcc_csm1_1_m, Apr Anomaly, NPL
1.14496, 2060-2079, bcc_csm1_1_m, May Anomaly, NPL
1.19932, 2060-2079, bcc_csm1_1_m, Jun Anomaly, NPL
0.16542, 2060-2079, bcc_csm1_1_m, Jul Anomaly, NPL
0.89029, 2060-2079, bcc_csm1_1_m, Aug Anomaly, NPL
0.14429, 2060-2079, bcc_csm1_1_m, Sep Anomaly, NPL
1.23685, 2060-2079, bcc_csm1_1_m, Oct Anomaly, NPL
1.83888, 2060-2079, bcc_csm1_1_m, Nov Anomaly, NPL
1.23762, 2060-2079, bcc_csm1_1_m, Dec Anomaly, NPL
1.97704, 2060-2079, bnu_esm, Jan Anomaly, NPL
0.92711, 2060-2079, bnu_esm, Feb Anomaly, NPL
4.22317, 2060-2079, bnu_esm, Mar Anomaly, NPL
2.63058, 2060-2079, bnu_esm, Apr Anomaly, NPL
1.80616, 2060-2079, bnu_esm, May Anomaly, NPL
3.47304, 2060-2079, bnu_esm, Jun Anomaly, NPL
1.07033, 2060-2079, bnu_esm, Jul Anomaly, NPL
-0.0097, 2060-2079, bnu_esm, Aug Anomaly, NPL
0.71295, 2060-2079, bnu_esm, Sep Anomaly, NPL
0.72949, 2060-2079, bnu_esm, Oct Anomaly, NPL
1.57329, 2060-2079, bnu_esm, Nov Anomaly, NPL
2.5375, 2060-2079, bnu_esm, Dec Anomaly, NPL
2.30199, 2060-2079, canesm2, Jan Anomaly, NPL
2.22626, 2060-2079, canesm2, Feb Anomaly, NPL
3.11244, 2060-2079, canesm2, Mar Anomaly, NPL
2.86889, 2060-2079, canesm2, Apr Anomaly, NPL
2.40921, 2060-2079, canesm2, May Anomaly, NPL
3.67856, 2060-2079, canesm2, Jun Anomaly, NPL
3.72478, 2060-2079, canesm2, Jul Anomaly, NPL
1.44063, 2060-2079, canesm2, Aug Anomaly, NPL
3.18579, 2060-2079, canesm2, Sep Anomaly, NPL
1.03481, 2060-2079, canesm2, Oct Anomaly, NPL
2.52337, 2060-2079, canesm2, Nov Anomaly, NPL
1.87316, 2060-2079, canesm2, Dec Anomaly, NPL
1.05955, 2060-2079, ccsm4, Jan Anomaly, NPL
0.4199, 2060-2079, ccsm4, Feb Anomaly, NPL
1.59966, 2060-2079, ccsm4, Mar Anomaly, NPL
2.2517, 2060-2079, ccsm4, Apr Anomaly, NPL
2.60504, 2060-2079, ccsm4, May Anomaly, NPL
2.59963, 2060-2079, ccsm4, Jun Anomaly, NPL
1.10606, 2060-2079, ccsm4, Jul Anomaly, NPL
0.40456, 2060-2079, ccsm4, Aug Anomaly, NPL
0.13005, 2060-2079, ccsm4, Sep Anomaly, NPL
0.41449, 2060-2079, ccsm4, Oct Anomaly, NPL
0.99233, 2060-2079, ccsm4, Nov Anomaly, NPL
0.22589, 2060-2079, ccsm4, Dec Anomaly, NPL
1.41743, 2060-2079, cesm1_cam5, Jan Anomaly, NPL
1.84421, 2060-2079, cesm1_cam5, Feb Anomaly, NPL
-0.0542, 2060-2079, cesm1_cam5, Mar Anomaly, NPL
1.0245, 2060-2079, cesm1_cam5, Apr Anomaly, NPL
2.19656, 2060-2079, cesm1_cam5, May Anomaly, NPL
1.23721, 2060-2079, cesm1_cam5, Jun Anomaly, NPL
0.45174, 2060-2079, cesm1_cam5, Jul Anomaly, NPL
0.35543, 2060-2079, cesm1_cam5, Aug Anomaly, NPL
2.19061, 2060-2079, cesm1_cam5, Sep Anomaly, NPL
2.12379, 2060-2079, cesm1_cam5, Oct Anomaly, NPL
2.70519, 2060-2079, cesm1_cam5, Nov Anomaly, NPL
0.78755, 2060-2079, cesm1_cam5, Dec Anomaly, NPL
2.46327, 2060-2079, cnrm_cm5, Jan Anomaly, NPL
1.7077, 2060-2079, cnrm_cm5, Feb Anomaly, NPL
1.31421, 2060-2079, cnrm_cm5, Mar Anomaly, NPL
3.70496, 2060-2079, cnrm_cm5, Apr Anomaly, NPL
2.16376, 2060-2079, cnrm_cm5, May Anomaly, NPL
1.9302, 2060-2079, cnrm_cm5, Jun Anomaly, NPL
0.28851, 2060-2079, cnrm_cm5, Jul Anomaly, NPL
0.64506, 2060-2079, cnrm_cm5, Aug Anomaly, NPL
2.45469, 2060-2079, cnrm_cm5, Sep Anomaly, NPL
2.99477, 2060-2079, cnrm_cm5, Oct Anomaly, NPL
2.24623, 2060-2079, cnrm_cm5, Nov Anomaly, NPL
2.941, 2060-2079, cnrm_cm5, Dec Anomaly, NPL
1.06084, 2060-2079, csiro_mk3_6_0, Jan Anomaly, NPL
4.93266, 2060-2079, csiro_mk3_6_0, Feb Anomaly, NPL
2.28494, 2060-2079, csiro_mk3_6_0, Mar Anomaly, NPL
2.97875, 2060-2079, csiro_mk3_6_0, Apr Anomaly, NPL
4.80177, 2060-2079, csiro_mk3_6_0, May Anomaly, NPL
6.1301, 2060-2079, csiro_mk3_6_0, Jun Anomaly, NPL
10.4206, 2060-2079, csiro_mk3_6_0, Jul Anomaly, NPL
5.71384, 2060-2079, csiro_mk3_6_0, Aug Anomaly, NPL
1.21728, 2060-2079, csiro_mk3_6_0, Sep Anomaly, NPL
