Rainfall Seasonality - (Standard Deviation), Year, Model, Statistics, ISO3
0.17024, 2080-2099, access1_0, Annual Anomaly, NPL
0.26364, 2080-2099, access1_3, Annual Anomaly, NPL
0.03587, 2080-2099, bcc_csm1_1_m, Annual Anomaly, NPL
0.11422, 2080-2099, bcc_csm1_1, Annual Anomaly, NPL
0.10653, 2080-2099, bnu_esm, Annual Anomaly, NPL
0.08869, 2080-2099, canesm2, Annual Anomaly, NPL
0.13297, 2080-2099, ccsm4, Annual Anomaly, NPL
0.07102, 2080-2099, cesm1_bgc, Annual Anomaly, NPL
0.08109, 2080-2099, cesm1_cam5, Annual Anomaly, NPL
-0.0933, 2080-2099, cmcc_cesm, Annual Anomaly, NPL
0.07444, 2080-2099, cmcc_cm, Annual Anomaly, NPL
0.18759, 2080-2099, cmcc_cms, Annual Anomaly, NPL
0.02816, 2080-2099, cnrm_cm5, Annual Anomaly, NPL
0.15751, 2080-2099, csiro_mk3_6_0, Annual Anomaly, NPL
0.32998, 2080-2099, gfdl_cm3, Annual Anomaly, NPL
0.01918, 2080-2099, gfdl_esm2g, Annual Anomaly, NPL
0.03636, 2080-2099, gfdl_esm2m, Annual Anomaly, NPL
0.11319, 2080-2099, hadgem2_ao, Annual Anomaly, NPL
0.14045, 2080-2099, hadgem2_cc, Annual Anomaly, NPL
0.08928, 2080-2099, hadgem2_es, Annual Anomaly, NPL
0.08067, 2080-2099, inmcm4, Annual Anomaly, NPL
0.24921, 2080-2099, ipsl_cm5a_lr, Annual Anomaly, NPL
0.02551, 2080-2099, ipsl_cm5a_mr, Annual Anomaly, NPL
0.00481, 2080-2099, ipsl_cm5b_lr, Annual Anomaly, NPL
-0.0627, 2080-2099, miroc5, Annual Anomaly, NPL
0.20378, 2080-2099, miroc_esm_chem, Annual Anomaly, NPL
0.14886, 2080-2099, miroc_esm, Annual Anomaly, NPL
0.08963, 2080-2099, mpi_esm_lr, Annual Anomaly, NPL
0.02758, 2080-2099, mpi_esm_mr, Annual Anomaly, NPL
0.06574, 2080-2099, mri_cgcm3, Annual Anomaly, NPL
0.02684, 2080-2099, mri_esm1, Annual Anomaly, NPL
0.02482, 2080-2099, noresm1_m, Annual Anomaly, NPL
-0.1981, 2080-2099, Ensemble (10th Percentile), Annual Anomaly, NPL
0.10895, 2080-2099, Ensemble (50th Percentile), Annual Anomaly, NPL
0.34336, 2080-2099, Ensemble (90th Percentile), Annual Anomaly, NPL
