Number of Hot Days (Tmax > 35°C) - (Days), Year, Model, Statistics, ISO3
0.08139, 2080-2099, access1_0, Feb Anomaly, NPL
3.5508, 2080-2099, access1_0, Mar Anomaly, NPL
5.17463, 2080-2099, access1_0, Apr Anomaly, NPL
2.39425, 2080-2099, access1_0, May Anomaly, NPL
2.93932, 2080-2099, access1_0, Jun Anomaly, NPL
4.00188, 2080-2099, access1_0, Jul Anomaly, NPL
4.35987, 2080-2099, access1_0, Aug Anomaly, NPL
4.8002, 2080-2099, access1_0, Sep Anomaly, NPL
2.20668, 2080-2099, access1_0, Oct Anomaly, NPL
0.09482, 2080-2099, access1_0, Nov Anomaly, NPL
0.00204, 2080-2099, access1_3, Feb Anomaly, NPL
1.56187, 2080-2099, access1_3, Mar Anomaly, NPL
5.56699, 2080-2099, access1_3, Apr Anomaly, NPL
5.10438, 2080-2099, access1_3, May Anomaly, NPL
1.67594, 2080-2099, access1_3, Jun Anomaly, NPL
2.47147, 2080-2099, access1_3, Jul Anomaly, NPL
3.90847, 2080-2099, access1_3, Aug Anomaly, NPL
4.40241, 2080-2099, access1_3, Sep Anomaly, NPL
2.24821, 2080-2099, access1_3, Oct Anomaly, NPL
0.12679, 2080-2099, access1_3, Nov Anomaly, NPL
0.04437, 2080-2099, bcc_csm1_1_m, Feb Anomaly, NPL
1.60435, 2080-2099, bcc_csm1_1_m, Mar Anomaly, NPL
6.71347, 2080-2099, bcc_csm1_1_m, Apr Anomaly, NPL
6.0108, 2080-2099, bcc_csm1_1_m, May Anomaly, NPL
5.80626, 2080-2099, bcc_csm1_1_m, Jun Anomaly, NPL
4.23815, 2080-2099, bcc_csm1_1_m, Jul Anomaly, NPL
3.84301, 2080-2099, bcc_csm1_1_m, Aug Anomaly, NPL
2.01368, 2080-2099, bcc_csm1_1_m, Sep Anomaly, NPL
2.33545, 2080-2099, bcc_csm1_1_m, Oct Anomaly, NPL
0.30749, 2080-2099, bcc_csm1_1_m, Nov Anomaly, NPL
0.009, 2080-2099, bcc_csm1_1_m, Dec Anomaly, NPL
0.01968, 2080-2099, bcc_csm1_1, Feb Anomaly, NPL
1.0657, 2080-2099, bcc_csm1_1, Mar Anomaly, NPL
5.13965, 2080-2099, bcc_csm1_1, Apr Anomaly, NPL
7.06707, 2080-2099, bcc_csm1_1, May Anomaly, NPL
4.07345, 2080-2099, bcc_csm1_1, Jun Anomaly, NPL
1.78174, 2080-2099, bcc_csm1_1, Jul Anomaly, NPL
2.41809, 2080-2099, bcc_csm1_1, Aug Anomaly, NPL
5.62093, 2080-2099, bcc_csm1_1, Sep Anomaly, NPL
3.99121, 2080-2099, bcc_csm1_1, Oct Anomaly, NPL
0.28287, 2080-2099, bcc_csm1_1, Nov Anomaly, NPL
0.0052, 2080-2099, bnu_esm, Jan Anomaly, NPL
0.28291, 2080-2099, bnu_esm, Feb Anomaly, NPL
2.35209, 2080-2099, bnu_esm, Mar Anomaly, NPL
6.80193, 2080-2099, bnu_esm, Apr Anomaly, NPL
6.92131, 2080-2099, bnu_esm, May Anomaly, NPL
5.49978, 2080-2099, bnu_esm, Jun Anomaly, NPL
2.91987, 2080-2099, bnu_esm, Jul Anomaly, NPL
2.47389, 2080-2099, bnu_esm, Aug Anomaly, NPL
3.7626, 2080-2099, bnu_esm, Sep Anomaly, NPL
2.3373, 2080-2099, bnu_esm, Oct Anomaly, NPL
0.26969, 2080-2099, bnu_esm, Nov Anomaly, NPL
0.01061, 2080-2099, bnu_esm, Dec Anomaly, NPL
1.9E-4, 2080-2099, canesm2, Jan Anomaly, NPL
0.0597, 2080-2099, canesm2, Feb Anomaly, NPL
1.43689, 2080-2099, canesm2, Mar Anomaly, NPL
5.07411, 2080-2099, canesm2, Apr Anomaly, NPL
8.9102, 2080-2099, canesm2, May Anomaly, NPL
8.22162, 2080-2099, canesm2, Jun Anomaly, NPL
4.5531, 2080-2099, canesm2, Jul Anomaly, NPL
5.23509, 2080-2099, canesm2, Aug Anomaly, NPL
4.99394, 2080-2099, canesm2, Sep Anomaly, NPL
3.84579, 2080-2099, canesm2, Oct Anomaly, NPL
0.68976, 2080-2099, canesm2, Nov Anomaly, NPL
0.01987, 2080-2099, canesm2, Dec Anomaly, NPL
0.04364, 2080-2099, ccsm4, Feb Anomaly, NPL
1.76484, 2080-2099, ccsm4, Mar Anomaly, NPL
5.23841, 2080-2099, ccsm4, Apr Anomaly, NPL
5.85695, 2080-2099, ccsm4, May Anomaly, NPL
5.42003, 2080-2099, ccsm4, Jun Anomaly, NPL
2.09243, 2080-2099, ccsm4, Jul Anomaly, NPL
2.53179, 2080-2099, ccsm4, Aug Anomaly, NPL
1.85413, 2080-2099, ccsm4, Sep Anomaly, NPL
1.19128, 2080-2099, ccsm4, Oct Anomaly, NPL
0.04669, 2080-2099, ccsm4, Nov Anomaly, NPL
0.02562, 2080-2099, cesm1_bgc, Feb Anomaly, NPL
1.41641, 2080-2099, cesm1_bgc, Mar Anomaly, NPL
4.22086, 2080-2099, cesm1_bgc, Apr Anomaly, NPL
4.57725, 2080-2099, cesm1_bgc, May Anomaly, NPL
4.41564, 2080-2099, cesm1_bgc, Jun Anomaly, NPL
3.26627, 2080-2099, cesm1_bgc, Jul Anomaly, NPL
1.89979, 2080-2099, cesm1_bgc, Aug Anomaly, NPL
1.99491, 2080-2099, cesm1_bgc, Sep Anomaly, NPL
0.84785, 2080-2099, cesm1_bgc, Oct Anomaly, NPL
0.04755, 2080-2099, cesm1_bgc, Nov Anomaly, NPL
0.00184, 2080-2099, cesm1_cam5, Jan Anomaly, NPL
