Number of Hot Days (Tmax > 35°C) - (Days), Year, Model, Statistics, ISO3
0.01998, 2060-2079, bcc_csm1_1_m, Feb Anomaly, NPL
0.6734, 2060-2079, bcc_csm1_1_m, Mar Anomaly, NPL
3.14555, 2060-2079, bcc_csm1_1_m, Apr Anomaly, NPL
4.43845, 2060-2079, bcc_csm1_1_m, May Anomaly, NPL
0.99664, 2060-2079, bcc_csm1_1_m, Jun Anomaly, NPL
1.41901, 2060-2079, bcc_csm1_1_m, Jul Anomaly, NPL
1.44246, 2060-2079, bcc_csm1_1_m, Aug Anomaly, NPL
0.82971, 2060-2079, bcc_csm1_1_m, Sep Anomaly, NPL
0.65712, 2060-2079, bcc_csm1_1_m, Oct Anomaly, NPL
0.03216, 2060-2079, bcc_csm1_1_m, Nov Anomaly, NPL
0.18037, 2060-2079, bcc_csm1_1, Mar Anomaly, NPL
1.71711, 2060-2079, bcc_csm1_1, Apr Anomaly, NPL
3.54517, 2060-2079, bcc_csm1_1, May Anomaly, NPL
1.95747, 2060-2079, bcc_csm1_1, Jun Anomaly, NPL
1.428, 2060-2079, bcc_csm1_1, Jul Anomaly, NPL
-0.2535, 2060-2079, bcc_csm1_1, Aug Anomaly, NPL
1.56112, 2060-2079, bcc_csm1_1, Sep Anomaly, NPL
1.32125, 2060-2079, bcc_csm1_1, Oct Anomaly, NPL
0.05681, 2060-2079, bcc_csm1_1, Nov Anomaly, NPL
0.00939, 2060-2079, ccsm4, Jan Anomaly, NPL
0.00733, 2060-2079, ccsm4, Feb Anomaly, NPL
0.83538, 2060-2079, ccsm4, Mar Anomaly, NPL
2.66373, 2060-2079, ccsm4, Apr Anomaly, NPL
4.23109, 2060-2079, ccsm4, May Anomaly, NPL
2.30002, 2060-2079, ccsm4, Jun Anomaly, NPL
0.38632, 2060-2079, ccsm4, Jul Anomaly, NPL
0.52394, 2060-2079, ccsm4, Aug Anomaly, NPL
0.37592, 2060-2079, ccsm4, Sep Anomaly, NPL
0.1015, 2060-2079, ccsm4, Oct Anomaly, NPL
0.00911, 2060-2079, ccsm4, Nov Anomaly, NPL
0.00223, 2060-2079, ccsm4, Dec Anomaly, NPL
0.05388, 2060-2079, cesm1_cam5, Feb Anomaly, NPL
1.2678, 2060-2079, cesm1_cam5, Mar Anomaly, NPL
2.93761, 2060-2079, cesm1_cam5, Apr Anomaly, NPL
2.46074, 2060-2079, cesm1_cam5, May Anomaly, NPL
2.45921, 2060-2079, cesm1_cam5, Jun Anomaly, NPL
1.12638, 2060-2079, cesm1_cam5, Jul Anomaly, NPL
0.8628, 2060-2079, cesm1_cam5, Aug Anomaly, NPL
0.48458, 2060-2079, cesm1_cam5, Sep Anomaly, NPL
0.19257, 2060-2079, cesm1_cam5, Oct Anomaly, NPL
0.01529, 2060-2079, cesm1_cam5, Nov Anomaly, NPL
0.21791, 2060-2079, csiro_mk3_6_0, Mar Anomaly, NPL
