Number of Hot Days (Tmax > 35°C) - (Days), Year, Model, Statistics, ISO3
0.02662, 2080-2099, access1_0, Feb Anomaly, NPL
1.44278, 2080-2099, access1_0, Mar Anomaly, NPL
3.45029, 2080-2099, access1_0, Apr Anomaly, NPL
1.27688, 2080-2099, access1_0, May Anomaly, NPL
0.9771, 2080-2099, access1_0, Jun Anomaly, NPL
1.58122, 2080-2099, access1_0, Jul Anomaly, NPL
1.82908, 2080-2099, access1_0, Aug Anomaly, NPL
2.2247, 2080-2099, access1_0, Sep Anomaly, NPL
0.65021, 2080-2099, access1_0, Oct Anomaly, NPL
0.75362, 2080-2099, access1_3, Mar Anomaly, NPL
4.57949, 2080-2099, access1_3, Apr Anomaly, NPL
4.24591, 2080-2099, access1_3, May Anomaly, NPL
2.23252, 2080-2099, access1_3, Jun Anomaly, NPL
1.51727, 2080-2099, access1_3, Jul Anomaly, NPL
1.52941, 2080-2099, access1_3, Aug Anomaly, NPL
2.12285, 2080-2099, access1_3, Sep Anomaly, NPL
1.08426, 2080-2099, access1_3, Oct Anomaly, NPL
0.00546, 2080-2099, access1_3, Nov Anomaly, NPL
3.3E-4, 2080-2099, bcc_csm1_1_m, Feb Anomaly, NPL
0.43265, 2080-2099, bcc_csm1_1_m, Mar Anomaly, NPL
2.39621, 2080-2099, bcc_csm1_1_m, Apr Anomaly, NPL
3.05362, 2080-2099, bcc_csm1_1_m, May Anomaly, NPL
2.55515, 2080-2099, bcc_csm1_1_m, Jun Anomaly, NPL
1.21864, 2080-2099, bcc_csm1_1_m, Jul Anomaly, NPL
1.83194, 2080-2099, bcc_csm1_1_m, Aug Anomaly, NPL
1.39864, 2080-2099, bcc_csm1_1_m, Sep Anomaly, NPL
0.72658, 2080-2099, bcc_csm1_1_m, Oct Anomaly, NPL
0.11621, 2080-2099, bcc_csm1_1_m, Nov Anomaly, NPL
0.13601, 2080-2099, bcc_csm1_1, Mar Anomaly, NPL
2.19722, 2080-2099, bcc_csm1_1, Apr Anomaly, NPL
4.24542, 2080-2099, bcc_csm1_1, May Anomaly, NPL
2.3997, 2080-2099, bcc_csm1_1, Jun Anomaly, NPL
