Number of Hot Days (Tmax > 35°C) - (Days), Year, Model, Statistics, ISO3
0.29819, 2020-2039, bcc_csm1_1_m, Mar Anomaly, NPL
1.70473, 2020-2039, bcc_csm1_1_m, Apr Anomaly, NPL
2.03407, 2020-2039, bcc_csm1_1_m, May Anomaly, NPL
0.85904, 2020-2039, bcc_csm1_1_m, Jun Anomaly, NPL
0.60756, 2020-2039, bcc_csm1_1_m, Jul Anomaly, NPL
0.68427, 2020-2039, bcc_csm1_1_m, Aug Anomaly, NPL
-0.7266, 2020-2039, bcc_csm1_1_m, Sep Anomaly, NPL
0.19474, 2020-2039, bcc_csm1_1_m, Oct Anomaly, NPL
0.00902, 2020-2039, bcc_csm1_1_m, Nov Anomaly, NPL
0.05959, 2020-2039, bcc_csm1_1, Mar Anomaly, NPL
1.24481, 2020-2039, bcc_csm1_1, Apr Anomaly, NPL
1.7666, 2020-2039, bcc_csm1_1, May Anomaly, NPL
0.28923, 2020-2039, bcc_csm1_1, Jun Anomaly, NPL
-0.0416, 2020-2039, bcc_csm1_1, Jul Anomaly, NPL
0.40731, 2020-2039, bcc_csm1_1, Aug Anomaly, NPL
0.64735, 2020-2039, bcc_csm1_1, Sep Anomaly, NPL
0.54078, 2020-2039, bcc_csm1_1, Oct Anomaly, NPL
0.0049, 2020-2039, bcc_csm1_1, Nov Anomaly, NPL
7.5E-4, 2020-2039, bnu_esm, Feb Anomaly, NPL
0.27558, 2020-2039, bnu_esm, Mar Anomaly, NPL
1.23722, 2020-2039, bnu_esm, Apr Anomaly, NPL
1.68573, 2020-2039, bnu_esm, May Anomaly, NPL
1.69785, 2020-2039, bnu_esm, Jun Anomaly, NPL
1.09933, 2020-2039, bnu_esm, Jul Anomaly, NPL
0.14673, 2020-2039, bnu_esm, Aug Anomaly, NPL
0.39512, 2020-2039, bnu_esm, Sep Anomaly, NPL
0.02954, 2020-2039, bnu_esm, Oct Anomaly, NPL
0.00537, 2020-2039, bnu_esm, Nov Anomaly, NPL
-3.0E-4, 2020-2039, canesm2, Feb Anomaly, NPL
0.09814, 2020-2039, canesm2, Mar Anomaly, NPL
1.13093, 2020-2039, canesm2, Apr Anomaly, NPL
2.40919, 2020-2039, canesm2, May Anomaly, NPL
0.72847, 2020-2039, canesm2, Jun Anomaly, NPL
-0.8648, 2020-2039, canesm2, Jul Anomaly, NPL
-0.0413, 2020-2039, canesm2, Aug Anomaly, NPL
0.34036, 2020-2039, canesm2, Sep Anomaly, NPL
0.04801, 2020-2039, canesm2, Oct Anomaly, NPL
2.0E-5, 2020-2039, canesm2, Nov Anomaly, NPL
0.00999, 2020-2039, ccsm4, Feb Anomaly, NPL
0.21378, 2020-2039, ccsm4, Mar Anomaly, NPL
1.37434, 2020-2039, ccsm4, Apr Anomaly, NPL
3.09191, 2020-2039, ccsm4, May Anomaly, NPL
1.71005, 2020-2039, ccsm4, Jun Anomaly, NPL
0.23001, 2020-2039, ccsm4, Jul Anomaly, NPL
0.28183, 2020-2039, ccsm4, Aug Anomaly, NPL
0.05851, 2020-2039, ccsm4, Sep Anomaly, NPL
0.05439, 2020-2039, ccsm4, Oct Anomaly, NPL
-7.0E-4, 2020-2039, ccsm4, Nov Anomaly, NPL
0.02948, 2020-2039, cesm1_cam5, Feb Anomaly, NPL
0.3436, 2020-2039, cesm1_cam5, Mar Anomaly, NPL
1.07739, 2020-2039, cesm1_cam5, Apr Anomaly, NPL
1.05501, 2020-2039, cesm1_cam5, May Anomaly, NPL
1.41266, 2020-2039, cesm1_cam5, Jun Anomaly, NPL
-0.0951, 2020-2039, cesm1_cam5, Jul Anomaly, NPL
0.14373, 2020-2039, cesm1_cam5, Aug Anomaly, NPL
0.08707, 2020-2039, cesm1_cam5, Sep Anomaly, NPL
0.04196, 2020-2039, cesm1_cam5, Oct Anomaly, NPL
0.00127, 2020-2039, cesm1_cam5, Nov Anomaly, NPL
0.00235, 2020-2039, cnrm_cm5, Feb Anomaly, NPL
0.24881, 2020-2039, cnrm_cm5, Mar Anomaly, NPL
1.54084, 2020-2039, cnrm_cm5, Apr Anomaly, NPL
1.35868, 2020-2039, cnrm_cm5, May Anomaly, NPL
0.3498, 2020-2039, cnrm_cm5, Jun Anomaly, NPL
-0.2377, 2020-2039, cnrm_cm5, Jul Anomaly, NPL
-0.1646, 2020-2039, cnrm_cm5, Aug Anomaly, NPL
-0.1406, 2020-2039, cnrm_cm5, Sep Anomaly, NPL
-0.0125, 2020-2039, cnrm_cm5, Oct Anomaly, NPL
0.08465, 2020-2039, csiro_mk3_6_0, Mar Anomaly, NPL
1.3008, 2020-2039, csiro_mk3_6_0, Apr Anomaly, NPL
2.27265, 2020-2039, csiro_mk3_6_0, May Anomaly, NPL
2.43955, 2020-2039, csiro_mk3_6_0, Jun Anomaly, NPL
1.65767, 2020-2039, csiro_mk3_6_0, Jul Anomaly, NPL
1.24461, 2020-2039, csiro_mk3_6_0, Aug Anomaly, NPL
0.71035, 2020-2039, csiro_mk3_6_0, Sep Anomaly, NPL
0.10729, 2020-2039, csiro_mk3_6_0, Oct Anomaly, NPL
-0.0042, 2020-2039, gfdl_cm3, Jan Anomaly, NPL
0.00656, 2020-2039, gfdl_cm3, Feb Anomaly, NPL
0.20113, 2020-2039, gfdl_cm3, Mar Anomaly, NPL
1.56184, 2020-2039, gfdl_cm3, Apr Anomaly, NPL
2.72768, 2020-2039, gfdl_cm3, May Anomaly, NPL
0.85257, 2020-2039, gfdl_cm3, Jun Anomaly, NPL
0.59338, 2020-2039, gfdl_cm3, Jul Anomaly, NPL
0.56392, 2020-2039, gfdl_cm3, Aug Anomaly, NPL
0.19945, 2020-2039, gfdl_cm3, Sep Anomaly, NPL
0.02329, 2020-2039, gfdl_cm3, Oct Anomaly, NPL
0.01965, 2020-2039, gfdl_cm3, Nov Anomaly, NPL
0.06333, 2020-2039, gfdl_esm2g, Feb Anomaly, NPL
0.23637, 2020-2039, gfdl_esm2g, Mar Anomaly, NPL
1.03749, 2020-2039, gfdl_esm2g, Apr Anomaly, NPL
1.15305, 2020-2039, gfdl_esm2g, May Anomaly, NPL
2.09108, 2020-2039, gfdl_esm2g, Jun Anomaly, NPL
0.60952, 2020-2039, gfdl_esm2g, Jul Anomaly, NPL
0.28212, 2020-2039, gfdl_esm2g, Aug Anomaly, NPL
0.0692, 2020-2039, gfdl_esm2g, Sep Anomaly, NPL
0.00375, 2020-2039, gfdl_esm2g, Oct Anomaly, NPL
-0.0085, 2020-2039, gfdl_esm2m, Feb Anomaly, NPL
0.29229, 2020-2039, gfdl_esm2m, Mar Anomaly, NPL
0.27718, 2020-2039, gfdl_esm2m, Apr Anomaly, NPL
1.84634, 2020-2039, gfdl_esm2m, May Anomaly, NPL
0.35233, 2020-2039, gfdl_esm2m, Jun Anomaly, NPL
2.15227, 2020-2039, gfdl_esm2m, Jul Anomaly, NPL
0.92193, 2020-2039, gfdl_esm2m, Aug Anomaly, NPL
0.34072, 2020-2039, gfdl_esm2m, Sep Anomaly, NPL
0.00611, 2020-2039, gfdl_esm2m, Oct Anomaly, NPL
0.02967, 2020-2039, hadgem2_ao, Mar Anomaly, NPL
0.11778, 2020-2039, hadgem2_ao, Apr Anomaly, NPL
-1.1823, 2020-2039, hadgem2_ao, May Anomaly, NPL
-1.4065, 2020-2039, hadgem2_ao, Jun Anomaly, NPL
-0.2001, 2020-2039, hadgem2_ao, Jul Anomaly, NPL
0.17081, 2020-2039, hadgem2_ao, Aug Anomaly, NPL
0.09325, 2020-2039, hadgem2_ao, Sep Anomaly, NPL
-0.0177, 2020-2039, hadgem2_ao, Oct Anomaly, NPL
0.01936, 2020-2039, hadgem2_es, Mar Anomaly, NPL
0.28195, 2020-2039, hadgem2_es, Apr Anomaly, NPL
0.19643, 2020-2039, hadgem2_es, May Anomaly, NPL
0.53781, 2020-2039, hadgem2_es, Jun Anomaly, NPL
1.57314, 2020-2039, hadgem2_es, Jul Anomaly, NPL
1.17249, 2020-2039, hadgem2_es, Aug Anomaly, NPL
1.32729, 2020-2039, hadgem2_es, Sep Anomaly, NPL
0.35989, 2020-2039, hadgem2_es, Oct Anomaly, NPL
0.04785, 2020-2039, ipsl_cm5a_lr, Mar Anomaly, NPL
0.69084, 2020-2039, ipsl_cm5a_lr, Apr Anomaly, NPL
0.87011, 2020-2039, ipsl_cm5a_lr, May Anomaly, NPL
1.69717, 2020-2039, ipsl_cm5a_lr, Jun Anomaly, NPL
1.34609, 2020-2039, ipsl_cm5a_lr, Jul Anomaly, NPL
0.3228, 2020-2039, ipsl_cm5a_lr, Aug Anomaly, NPL
0.49692, 2020-2039, ipsl_cm5a_lr, Sep Anomaly, NPL
-0.0661, 2020-2039, ipsl_cm5a_lr, Oct Anomaly, NPL
0.08647, 2020-2039, ipsl_cm5a_mr, Mar Anomaly, NPL
0.48545, 2020-2039, ipsl_cm5a_mr, Apr Anomaly, NPL
0.77275, 2020-2039, ipsl_cm5a_mr, May Anomaly, NPL
0.73859, 2020-2039, ipsl_cm5a_mr, Jun Anomaly, NPL
0.56184, 2020-2039, ipsl_cm5a_mr, Jul Anomaly, NPL
0.21066, 2020-2039, ipsl_cm5a_mr, Aug Anomaly, NPL
0.12818, 2020-2039, ipsl_cm5a_mr, Sep Anomaly, NPL
0.06865, 2020-2039, ipsl_cm5a_mr, Oct Anomaly, NPL
8.5E-4, 2020-2039, miroc5, Feb Anomaly, NPL
0.10455, 2020-2039, miroc5, Mar Anomaly, NPL
1.41802, 2020-2039, miroc5, Apr Anomaly, NPL
1.97448, 2020-2039, miroc5, May Anomaly, NPL
0.65511, 2020-2039, miroc5, Jun Anomaly, NPL
-0.3072, 2020-2039, miroc5, Jul Anomaly, NPL
0.19293, 2020-2039, miroc5, Aug Anomaly, NPL
0.02143, 2020-2039, miroc5, Sep Anomaly, NPL
0.00114, 2020-2039, miroc5, Oct Anomaly, NPL
0.00149, 2020-2039, miroc_esm_chem, Feb Anomaly, NPL
0.22962, 2020-2039, miroc_esm_chem, Mar Anomaly, NPL
1.92765, 2020-2039, miroc_esm_chem, Apr Anomaly, NPL
3.91342, 2020-2039, miroc_esm_chem, May Anomaly, NPL
1.4667, 2020-2039, miroc_esm_chem, Jun Anomaly, NPL
0.18065, 2020-2039, miroc_esm_chem, Jul Anomaly, NPL
0.39836, 2020-2039, miroc_esm_chem, Aug Anomaly, NPL
0.62054, 2020-2039, miroc_esm_chem, Sep Anomaly, NPL
0.28932, 2020-2039, miroc_esm_chem, Oct Anomaly, NPL
0.01348, 2020-2039, miroc_esm_chem, Nov Anomaly, NPL
5.8E-4, 2020-2039, miroc_esm, Feb Anomaly, NPL
0.03082, 2020-2039, miroc_esm, Mar Anomaly, NPL
0.76945, 2020-2039, miroc_esm, Apr Anomaly, NPL
2.12463, 2020-2039, miroc_esm, May Anomaly, NPL
0.29032, 2020-2039, miroc_esm, Jun Anomaly, NPL
-0.1574, 2020-2039, miroc_esm, Jul Anomaly, NPL
-0.2816, 2020-2039, miroc_esm, Aug Anomaly, NPL
0.51984, 2020-2039, miroc_esm, Sep Anomaly, NPL
0.19923, 2020-2039, miroc_esm, Oct Anomaly, NPL
0.00253, 2020-2039, miroc_esm, Nov Anomaly, NPL
0.20157, 2020-2039, mpi_esm_lr, Mar Anomaly, NPL
1.69178, 2020-2039, mpi_esm_lr, Apr Anomaly, NPL
2.20151, 2020-2039, mpi_esm_lr, May Anomaly, NPL
0.92466, 2020-2039, mpi_esm_lr, Jun Anomaly, NPL
1.32441, 2020-2039, mpi_esm_lr, Jul Anomaly, NPL
0.46374, 2020-2039, mpi_esm_lr, Aug Anomaly, NPL
0.47752, 2020-2039, mpi_esm_lr, Sep Anomaly, NPL
0.06324, 2020-2039, mpi_esm_lr, Oct Anomaly, NPL
0.00145, 2020-2039, mpi_esm_lr, Nov Anomaly, NPL
0.18122, 2020-2039, mpi_esm_mr, Mar Anomaly, NPL
0.34618, 2020-2039, mpi_esm_mr, Apr Anomaly, NPL
2.69307, 2020-2039, mpi_esm_mr, May Anomaly, NPL
1.51492, 2020-2039, mpi_esm_mr, Jun Anomaly, NPL
1.21018, 2020-2039, mpi_esm_mr, Jul Anomaly, NPL
0.45812, 2020-2039, mpi_esm_mr, Aug Anomaly, NPL
0.29454, 2020-2039, mpi_esm_mr, Sep Anomaly, NPL
0.02373, 2020-2039, mpi_esm_mr, Oct Anomaly, NPL
9.7E-4, 2020-2039, mri_cgcm3, Feb Anomaly, NPL
0.0738, 2020-2039, mri_cgcm3, Mar Anomaly, NPL
0.624, 2020-2039, mri_cgcm3, Apr Anomaly, NPL
1.08114, 2020-2039, mri_cgcm3, May Anomaly, NPL
0.68875, 2020-2039, mri_cgcm3, Jun Anomaly, NPL
1.24994, 2020-2039, mri_cgcm3, Jul Anomaly, NPL
0.94449, 2020-2039, mri_cgcm3, Aug Anomaly, NPL
0.0757, 2020-2039, mri_cgcm3, Sep Anomaly, NPL
-0.0895, 2020-2039, mri_cgcm3, Oct Anomaly, NPL
0.00653, 2020-2039, noresm1_m, Feb Anomaly, NPL
-0.0084, 2020-2039, noresm1_m, Mar Anomaly, NPL
0.89108, 2020-2039, noresm1_m, Apr Anomaly, NPL
1.58119, 2020-2039, noresm1_m, May Anomaly, NPL
-0.2732, 2020-2039, noresm1_m, Jun Anomaly, NPL
-0.3145, 2020-2039, noresm1_m, Jul Anomaly, NPL
0.04286, 2020-2039, noresm1_m, Aug Anomaly, NPL
0.0453, 2020-2039, noresm1_m, Sep Anomaly, NPL
-0.0153, 2020-2039, noresm1_m, Oct Anomaly, NPL
0.00266, 2020-2039, noresm1_m, Nov Anomaly, NPL
0.0, 2020-2039, Ensemble (10th Percentile), Jan Anomaly, NPL
0.0, 2020-2039, Ensemble (10th Percentile), Feb Anomaly, NPL
-0.0643, 2020-2039, Ensemble (10th Percentile), Mar Anomaly, NPL
-0.8944, 2020-2039, Ensemble (10th Percentile), Apr Anomaly, NPL
-3.1994, 2020-2039, Ensemble (10th Percentile), May Anomaly, NPL
-2.8906, 2020-2039, Ensemble (10th Percentile), Jun Anomaly, NPL
-1.6384, 2020-2039, Ensemble (10th Percentile), Jul Anomaly, NPL
-0.6045, 2020-2039, Ensemble (10th Percentile), Aug Anomaly, NPL
-0.3263, 2020-2039, Ensemble (10th Percentile), Sep Anomaly, NPL
-0.0664, 2020-2039, Ensemble (10th Percentile), Oct Anomaly, NPL
0.0, 2020-2039, Ensemble (10th Percentile), Nov Anomaly, NPL
0.0, 2020-2039, Ensemble (10th Percentile), Dec Anomaly, NPL
0.0, 2020-2039, Ensemble (50th Percentile), Jan Anomaly, NPL
1.9E-4, 2020-2039, Ensemble (50th Percentile), Feb Anomaly, NPL
0.17362, 2020-2039, Ensemble (50th Percentile), Mar Anomaly, NPL
0.95836, 2020-2039, Ensemble (50th Percentile), Apr Anomaly, NPL
2.3691, 2020-2039, Ensemble (50th Percentile), May Anomaly, NPL
0.96009, 2020-2039, Ensemble (50th Percentile), Jun Anomaly, NPL
0.52645, 2020-2039, Ensemble (50th Percentile), Jul Anomaly, NPL
0.20913, 2020-2039, Ensemble (50th Percentile), Aug Anomaly, NPL
0.17107, 2020-2039, Ensemble (50th Percentile), Sep Anomaly, NPL
0.02471, 2020-2039, Ensemble (50th Percentile), Oct Anomaly, NPL
0.0, 2020-2039, Ensemble (50th Percentile), Nov Anomaly, NPL
0.0, 2020-2039, Ensemble (50th Percentile), Dec Anomaly, NPL
0.0, 2020-2039, Ensemble (90th Percentile), Jan Anomaly, NPL
0.02604, 2020-2039, Ensemble (90th Percentile), Feb Anomaly, NPL
1.03945, 2020-2039, Ensemble (90th Percentile), Mar Anomaly, NPL
3.65939, 2020-2039, Ensemble (90th Percentile), Apr Anomaly, NPL
4.92383, 2020-2039, Ensemble (90th Percentile), May Anomaly, NPL
6.71248, 2020-2039, Ensemble (90th Percentile), Jun Anomaly, NPL
6.55903, 2020-2039, Ensemble (90th Percentile), Jul Anomaly, NPL
4.28711, 2020-2039, Ensemble (90th Percentile), Aug Anomaly, NPL
2.57072, 2020-2039, Ensemble (90th Percentile), Sep Anomaly, NPL
0.83644, 2020-2039, Ensemble (90th Percentile), Oct Anomaly, NPL
0.01953, 2020-2039, Ensemble (90th Percentile), Nov Anomaly, NPL
0.0, 2020-2039, Ensemble (90th Percentile), Dec Anomaly, NPL
5.66497, 2020-2039, bcc_csm1_1_m, Annual Anomaly, NPL
4.91897, 2020-2039, bcc_csm1_1, Annual Anomaly, NPL
6.57326, 2020-2039, bnu_esm, Annual Anomaly, NPL
3.84854, 2020-2039, canesm2, Annual Anomaly, NPL
7.02413, 2020-2039, ccsm4, Annual Anomaly, NPL
4.09701, 2020-2039, cesm1_cam5, Annual Anomaly, NPL
2.94463, 2020-2039, cnrm_cm5, Annual Anomaly, NPL
9.81759, 2020-2039, csiro_mk3_6_0, Annual Anomaly, NPL
6.74528, 2020-2039, gfdl_cm3, Annual Anomaly, NPL
5.54594, 2020-2039, gfdl_esm2g, Annual Anomaly, NPL
6.1807, 2020-2039, gfdl_esm2m, Annual Anomaly, NPL
-2.2811, 2020-2039, hadgem2_ao, Annual Anomaly, NPL
5.20799, 2020-2039, hadgem2_es, Annual Anomaly, NPL
5.40566, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, NPL
3.05263, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, NPL
4.06126, 2020-2039, miroc5, Annual Anomaly, NPL
9.04298, 2020-2039, miroc_esm_chem, Annual Anomaly, NPL
3.499, 2020-2039, miroc_esm, Annual Anomaly, NPL
7.35279, 2020-2039, mpi_esm_lr, Annual Anomaly, NPL
6.72112, 2020-2039, mpi_esm_mr, Annual Anomaly, NPL
4.6496, 2020-2039, mri_cgcm3, Annual Anomaly, NPL
1.95807, 2020-2039, noresm1_m, Annual Anomaly, NPL
-5.4717, 2020-2039, Ensemble (10th Percentile), Annual Anomaly, NPL
5.21457, 2020-2039, Ensemble (50th Percentile), Annual Anomaly, NPL
20.5706, 2020-2039, Ensemble (90th Percentile), Annual Anomaly, NPL
