Number of Hot Days (Tmax > 35°C) - (Days), Year, Model, Statistics, ISO3
0.00115, 2060-2079, bcc_csm1_1_m, Feb Anomaly, NPL
0.35809, 2060-2079, bcc_csm1_1_m, Mar Anomaly, NPL
1.74186, 2060-2079, bcc_csm1_1_m, Apr Anomaly, NPL
2.26051, 2060-2079, bcc_csm1_1_m, May Anomaly, NPL
1.832, 2060-2079, bcc_csm1_1_m, Jun Anomaly, NPL
0.65904, 2060-2079, bcc_csm1_1_m, Jul Anomaly, NPL
1.04792, 2060-2079, bcc_csm1_1_m, Aug Anomaly, NPL
0.02778, 2060-2079, bcc_csm1_1_m, Sep Anomaly, NPL
0.51139, 2060-2079, bcc_csm1_1_m, Oct Anomaly, NPL
0.03324, 2060-2079, bcc_csm1_1_m, Nov Anomaly, NPL
0.11382, 2060-2079, bcc_csm1_1, Mar Anomaly, NPL
1.03192, 2060-2079, bcc_csm1_1, Apr Anomaly, NPL
1.56562, 2060-2079, bcc_csm1_1, May Anomaly, NPL
1.2212, 2060-2079, bcc_csm1_1, Jun Anomaly, NPL
1.884, 2060-2079, bcc_csm1_1, Jul Anomaly, NPL
-0.479, 2060-2079, bcc_csm1_1, Aug Anomaly, NPL
0.99214, 2060-2079, bcc_csm1_1, Sep Anomaly, NPL
0.67324, 2060-2079, bcc_csm1_1, Oct Anomaly, NPL
0.00728, 2060-2079, bcc_csm1_1, Nov Anomaly, NPL
-6.0E-4, 2060-2079, bnu_esm, Feb Anomaly, NPL
0.31871, 2060-2079, bnu_esm, Mar Anomaly, NPL
1.42301, 2060-2079, bnu_esm, Apr Anomaly, NPL
1.90188, 2060-2079, bnu_esm, May Anomaly, NPL
2.63997, 2060-2079, bnu_esm, Jun Anomaly, NPL
1.01444, 2060-2079, bnu_esm, Jul Anomaly, NPL
0.07113, 2060-2079, bnu_esm, Aug Anomaly, NPL
0.32075, 2060-2079, bnu_esm, Sep Anomaly, NPL
-0.0597, 2060-2079, bnu_esm, Oct Anomaly, NPL
0.00952, 2060-2079, bnu_esm, Nov Anomaly, NPL
0.00129, 2060-2079, canesm2, Feb Anomaly, NPL
