Number of Hot Days (Tmax > 35°C) - (Days), Year, Model, Statistics, ISO3
0.01258, 2040-2059, bcc_csm1_1_m, Feb Anomaly, NPL
0.13057, 2040-2059, bcc_csm1_1_m, Mar Anomaly, NPL
1.66828, 2040-2059, bcc_csm1_1_m, Apr Anomaly, NPL
1.99368, 2040-2059, bcc_csm1_1_m, May Anomaly, NPL
1.24748, 2040-2059, bcc_csm1_1_m, Jun Anomaly, NPL
0.67117, 2040-2059, bcc_csm1_1_m, Jul Anomaly, NPL
1.19049, 2040-2059, bcc_csm1_1_m, Aug Anomaly, NPL
0.90434, 2040-2059, bcc_csm1_1_m, Sep Anomaly, NPL
0.60724, 2040-2059, bcc_csm1_1_m, Oct Anomaly, NPL
0.04348, 2040-2059, bcc_csm1_1_m, Nov Anomaly, NPL
0.16404, 2040-2059, bcc_csm1_1, Mar Anomaly, NPL
1.30129, 2040-2059, bcc_csm1_1, Apr Anomaly, NPL
2.19388, 2040-2059, bcc_csm1_1, May Anomaly, NPL
1.21522, 2040-2059, bcc_csm1_1, Jun Anomaly, NPL
0.37815, 2040-2059, bcc_csm1_1, Jul Anomaly, NPL
0.00178, 2040-2059, bcc_csm1_1, Aug Anomaly, NPL
-0.0598, 2040-2059, bcc_csm1_1, Sep Anomaly, NPL
0.25598, 2040-2059, bcc_csm1_1, Oct Anomaly, NPL
0.00689, 2040-2059, bcc_csm1_1, Nov Anomaly, NPL
5.7E-4, 2040-2059, bnu_esm, Feb Anomaly, NPL
0.27226, 2040-2059, bnu_esm, Mar Anomaly, NPL
1.38233, 2040-2059, bnu_esm, Apr Anomaly, NPL
1.89124, 2040-2059, bnu_esm, May Anomaly, NPL
3.41226, 2040-2059, bnu_esm, Jun Anomaly, NPL
1.31921, 2040-2059, bnu_esm, Jul Anomaly, NPL
0.33546, 2040-2059, bnu_esm, Aug Anomaly, NPL
0.27245, 2040-2059, bnu_esm, Sep Anomaly, NPL
0.13578, 2040-2059, bnu_esm, Oct Anomaly, NPL
0.01929, 2040-2059, bnu_esm, Nov Anomaly, NPL
-3.0E-4, 2040-2059, canesm2, Feb Anomaly, NPL
0.08576, 2040-2059, canesm2, Mar Anomaly, NPL
1.38711, 2040-2059, canesm2, Apr Anomaly, NPL
2.93997, 2040-2059, canesm2, May Anomaly, NPL
2.61932, 2040-2059, canesm2, Jun Anomaly, NPL
0.51425, 2040-2059, canesm2, Jul Anomaly, NPL
0.97993, 2040-2059, canesm2, Aug Anomaly, NPL
0.53269, 2040-2059, canesm2, Sep Anomaly, NPL
0.15537, 2040-2059, canesm2, Oct Anomaly, NPL
0.00682, 2040-2059, canesm2, Nov Anomaly, NPL
0.00294, 2040-2059, ccsm4, Feb Anomaly, NPL
0.31597, 2040-2059, ccsm4, Mar Anomaly, NPL
1.89738, 2040-2059, ccsm4, Apr Anomaly, NPL
1.98469, 2040-2059, ccsm4, May Anomaly, NPL
1.54955, 2040-2059, ccsm4, Jun Anomaly, NPL
0.56337, 2040-2059, ccsm4, Jul Anomaly, NPL
0.25702, 2040-2059, ccsm4, Aug Anomaly, NPL
0.02161, 2040-2059, ccsm4, Sep Anomaly, NPL
0.07336, 2040-2059, ccsm4, Oct Anomaly, NPL
0.00201, 2040-2059, ccsm4, Nov Anomaly, NPL
0.02014, 2040-2059, cesm1_cam5, Feb Anomaly, NPL
0.31059, 2040-2059, cesm1_cam5, Mar Anomaly, NPL
1.87827, 2040-2059, cesm1_cam5, Apr Anomaly, NPL
1.73718, 2040-2059, cesm1_cam5, May Anomaly, NPL
0.40689, 2040-2059, cesm1_cam5, Jun Anomaly, NPL
0.40454, 2040-2059, cesm1_cam5, Jul Anomaly, NPL
0.30513, 2040-2059, cesm1_cam5, Aug Anomaly, NPL
0.21125, 2040-2059, cesm1_cam5, Sep Anomaly, NPL
0.05033, 2040-2059, cesm1_cam5, Oct Anomaly, NPL
0.0031, 2040-2059, cesm1_cam5, Nov Anomaly, NPL
0.01434, 2040-2059, cnrm_cm5, Feb Anomaly, NPL
0.72402, 2040-2059, cnrm_cm5, Mar Anomaly, NPL
2.24185, 2040-2059, cnrm_cm5, Apr Anomaly, NPL
1.41087, 2040-2059, cnrm_cm5, May Anomaly, NPL
0.37328, 2040-2059, cnrm_cm5, Jun Anomaly, NPL
0.14463, 2040-2059, cnrm_cm5, Jul Anomaly, NPL
0.03577, 2040-2059, cnrm_cm5, Aug Anomaly, NPL
-0.1061, 2040-2059, cnrm_cm5, Sep Anomaly, NPL
0.02441, 2040-2059, cnrm_cm5, Oct Anomaly, NPL
0.03494, 2040-2059, csiro_mk3_6_0, Mar Anomaly, NPL
1.77679, 2040-2059, csiro_mk3_6_0, Apr Anomaly, NPL
3.05957, 2040-2059, csiro_mk3_6_0, May Anomaly, NPL
2.21052, 2040-2059, csiro_mk3_6_0, Jun Anomaly, NPL
1.30998, 2040-2059, csiro_mk3_6_0, Jul Anomaly, NPL
0.57954, 2040-2059, csiro_mk3_6_0, Aug Anomaly, NPL
0.45734, 2040-2059, csiro_mk3_6_0, Sep Anomaly, NPL
0.31205, 2040-2059, csiro_mk3_6_0, Oct Anomaly, NPL
-0.0043, 2040-2059, gfdl_cm3, Jan Anomaly, NPL
0.01794, 2040-2059, gfdl_cm3, Feb Anomaly, NPL
0.45193, 2040-2059, gfdl_cm3, Mar Anomaly, NPL
1.53449, 2040-2059, gfdl_cm3, Apr Anomaly, NPL
3.84894, 2040-2059, gfdl_cm3, May Anomaly, NPL
1.16157, 2040-2059, gfdl_cm3, Jun Anomaly, NPL
0.96876, 2040-2059, gfdl_cm3, Jul Anomaly, NPL
1.21862, 2040-2059, gfdl_cm3, Aug Anomaly, NPL
