Number of Hot Days (Tmax > 35°C) - (Days), Year, Model, Statistics, ISO3
3.6E-4, 2060-2079, access1_0, Feb Anomaly, NPL
0.89575, 2060-2079, access1_0, Mar Anomaly, NPL
2.82933, 2060-2079, access1_0, Apr Anomaly, NPL
1.09499, 2060-2079, access1_0, May Anomaly, NPL
0.37411, 2060-2079, access1_0, Jun Anomaly, NPL
0.93349, 2060-2079, access1_0, Jul Anomaly, NPL
1.3816, 2060-2079, access1_0, Aug Anomaly, NPL
1.37658, 2060-2079, access1_0, Sep Anomaly, NPL
0.33644, 2060-2079, access1_0, Oct Anomaly, NPL
0.00166, 2060-2079, access1_3, Feb Anomaly, NPL
0.50362, 2060-2079, access1_3, Mar Anomaly, NPL
3.61358, 2060-2079, access1_3, Apr Anomaly, NPL
2.25291, 2060-2079, access1_3, May Anomaly, NPL
0.82435, 2060-2079, access1_3, Jun Anomaly, NPL
0.90413, 2060-2079, access1_3, Jul Anomaly, NPL
1.43189, 2060-2079, access1_3, Aug Anomaly, NPL
1.9003, 2060-2079, access1_3, Sep Anomaly, NPL
0.82645, 2060-2079, access1_3, Oct Anomaly, NPL
0.01261, 2060-2079, access1_3, Nov Anomaly, NPL
0.00782, 2060-2079, bcc_csm1_1_m, Feb Anomaly, NPL
0.58444, 2060-2079, bcc_csm1_1_m, Mar Anomaly, NPL
2.66393, 2060-2079, bcc_csm1_1_m, Apr Anomaly, NPL
2.98361, 2060-2079, bcc_csm1_1_m, May Anomaly, NPL
2.2103, 2060-2079, bcc_csm1_1_m, Jun Anomaly, NPL
0.966, 2060-2079, bcc_csm1_1_m, Jul Anomaly, NPL
1.64265, 2060-2079, bcc_csm1_1_m, Aug Anomaly, NPL
1.13714, 2060-2079, bcc_csm1_1_m, Sep Anomaly, NPL
0.66616, 2060-2079, bcc_csm1_1_m, Oct Anomaly, NPL
0.06313, 2060-2079, bcc_csm1_1_m, Nov Anomaly, NPL
0.15489, 2060-2079, bcc_csm1_1, Mar Anomaly, NPL
2.07162, 2060-2079, bcc_csm1_1, Apr Anomaly, NPL
4.21312, 2060-2079, bcc_csm1_1, May Anomaly, NPL
1.79292, 2060-2079, bcc_csm1_1, Jun Anomaly, NPL
1.79187, 2060-2079, bcc_csm1_1, Jul Anomaly, NPL
0.70065, 2060-2079, bcc_csm1_1, Aug Anomaly, NPL
1.85647, 2060-2079, bcc_csm1_1, Sep Anomaly, NPL
1.18184, 2060-2079, bcc_csm1_1, Oct Anomaly, NPL
0.03619, 2060-2079, bcc_csm1_1, Nov Anomaly, NPL
0.00338, 2060-2079, bnu_esm, Jan Anomaly, NPL
0.00755, 2060-2079, bnu_esm, Feb Anomaly, NPL
0.662, 2060-2079, bnu_esm, Mar Anomaly, NPL
2.21328, 2060-2079, bnu_esm, Apr Anomaly, NPL
4.67445, 2060-2079, bnu_esm, May Anomaly, NPL
4.95899, 2060-2079, bnu_esm, Jun Anomaly, NPL
2.98981, 2060-2079, bnu_esm, Jul Anomaly, NPL
1.18173, 2060-2079, bnu_esm, Aug Anomaly, NPL
0.99746, 2060-2079, bnu_esm, Sep Anomaly, NPL
0.33956, 2060-2079, bnu_esm, Oct Anomaly, NPL
0.08294, 2060-2079, bnu_esm, Nov Anomaly, NPL
-9.0E-4, 2060-2079, canesm2, Feb Anomaly, NPL
0.10539, 2060-2079, canesm2, Mar Anomaly, NPL
2.00785, 2060-2079, canesm2, Apr Anomaly, NPL
3.65926, 2060-2079, canesm2, May Anomaly, NPL
4.04036, 2060-2079, canesm2, Jun Anomaly, NPL
0.78737, 2060-2079, canesm2, Jul Anomaly, NPL
1.81129, 2060-2079, canesm2, Aug Anomaly, NPL
1.24421, 2060-2079, canesm2, Sep Anomaly, NPL
0.40331, 2060-2079, canesm2, Oct Anomaly, NPL
0.05461, 2060-2079, canesm2, Nov Anomaly, NPL
0.00238, 2060-2079, ccsm4, Feb Anomaly, NPL
0.58293, 2060-2079, ccsm4, Mar Anomaly, NPL
1.90565, 2060-2079, ccsm4, Apr Anomaly, NPL
3.71168, 2060-2079, ccsm4, May Anomaly, NPL
3.10403, 2060-2079, ccsm4, Jun Anomaly, NPL
0.96145, 2060-2079, ccsm4, Jul Anomaly, NPL
0.63144, 2060-2079, ccsm4, Aug Anomaly, NPL
0.64674, 2060-2079, ccsm4, Sep Anomaly, NPL
0.18479, 2060-2079, ccsm4, Oct Anomaly, NPL
0.01277, 2060-2079, ccsm4, Nov Anomaly, NPL
0.01104, 2060-2079, cesm1_bgc, Feb Anomaly, NPL
0.4554, 2060-2079, cesm1_bgc, Mar Anomaly, NPL
1.70788, 2060-2079, cesm1_bgc, Apr Anomaly, NPL
2.40646, 2060-2079, cesm1_bgc, May Anomaly, NPL
1.61271, 2060-2079, cesm1_bgc, Jun Anomaly, NPL
0.81907, 2060-2079, cesm1_bgc, Jul Anomaly, NPL
0.59222, 2060-2079, cesm1_bgc, Aug Anomaly, NPL
0.28454, 2060-2079, cesm1_bgc, Sep Anomaly, NPL
0.033, 2060-2079, cesm1_bgc, Oct Anomaly, NPL
0.0122, 2060-2079, cesm1_bgc, Nov Anomaly, NPL
1.7E-4, 2060-2079, cesm1_cam5, Jan Anomaly, NPL
0.05473, 2060-2079, cesm1_cam5, Feb Anomaly, NPL
0.70282, 2060-2079, cesm1_cam5, Mar Anomaly, NPL
2.10715, 2060-2079, cesm1_cam5, Apr Anomaly, NPL
1.28881, 2060-2079, cesm1_cam5, May Anomaly, NPL
1.50385, 2060-2079, cesm1_cam5, Jun Anomaly, NPL
1.0286, 2060-2079, cesm1_cam5, Jul Anomaly, NPL
0.68809, 2060-2079, cesm1_cam5, Aug Anomaly, NPL
0.70692, 2060-2079, cesm1_cam5, Sep Anomaly, NPL
0.13452, 2060-2079, cesm1_cam5, Oct Anomaly, NPL
5.6E-4, 2060-2079, cesm1_cam5, Nov Anomaly, NPL
0.04038, 2060-2079, cnrm_cm5, Feb Anomaly, NPL
0.74212, 2060-2079, cnrm_cm5, Mar Anomaly, NPL
3.30551, 2060-2079, cnrm_cm5, Apr Anomaly, NPL
1.42901, 2060-2079, cnrm_cm5, May Anomaly, NPL
1.012, 2060-2079, cnrm_cm5, Jun Anomaly, NPL
0.64811, 2060-2079, cnrm_cm5, Jul Anomaly, NPL
0.202, 2060-2079, cnrm_cm5, Aug Anomaly, NPL
0.15272, 2060-2079, cnrm_cm5, Sep Anomaly, NPL
0.07032, 2060-2079, cnrm_cm5, Oct Anomaly, NPL
5.4E-4, 2060-2079, csiro_mk3_6_0, Feb Anomaly, NPL
0.17264, 2060-2079, csiro_mk3_6_0, Mar Anomaly, NPL
2.85458, 2060-2079, csiro_mk3_6_0, Apr Anomaly, NPL
5.0644, 2060-2079, csiro_mk3_6_0, May Anomaly, NPL
2.29967, 2060-2079, csiro_mk3_6_0, Jun Anomaly, NPL
2.17676, 2060-2079, csiro_mk3_6_0, Jul Anomaly, NPL
0.37326, 2060-2079, csiro_mk3_6_0, Aug Anomaly, NPL
0.78677, 2060-2079, csiro_mk3_6_0, Sep Anomaly, NPL
0.2782, 2060-2079, csiro_mk3_6_0, Oct Anomaly, NPL
7.6E-4, 2060-2079, csiro_mk3_6_0, Nov Anomaly, NPL
6.9E-4, 2060-2079, gfdl_cm3, Jan Anomaly, NPL
0.21636, 2060-2079, gfdl_cm3, Feb Anomaly, NPL
1.58371, 2060-2079, gfdl_cm3, Mar Anomaly, NPL
3.75123, 2060-2079, gfdl_cm3, Apr Anomaly, NPL
5.49238, 2060-2079, gfdl_cm3, May Anomaly, NPL
3.38502, 2060-2079, gfdl_cm3, Jun Anomaly, NPL
2.65016, 2060-2079, gfdl_cm3, Jul Anomaly, NPL
2.39203, 2060-2079, gfdl_cm3, Aug Anomaly, NPL
1.37743, 2060-2079, gfdl_cm3, Sep Anomaly, NPL
0.6223, 2060-2079, gfdl_cm3, Oct Anomaly, NPL
0.08648, 2060-2079, gfdl_cm3, Nov Anomaly, NPL
8.5E-4, 2060-2079, gfdl_esm2g, Jan Anomaly, NPL
0.05285, 2060-2079, gfdl_esm2g, Feb Anomaly, NPL
1.04768, 2060-2079, gfdl_esm2g, Mar Anomaly, NPL
2.74528, 2060-2079, gfdl_esm2g, Apr Anomaly, NPL
3.03324, 2060-2079, gfdl_esm2g, May Anomaly, NPL
2.09606, 2060-2079, gfdl_esm2g, Jun Anomaly, NPL
1.60943, 2060-2079, gfdl_esm2g, Jul Anomaly, NPL
0.88908, 2060-2079, gfdl_esm2g, Aug Anomaly, NPL
0.45145, 2060-2079, gfdl_esm2g, Sep Anomaly, NPL
0.05601, 2060-2079, gfdl_esm2g, Oct Anomaly, NPL
0.04612, 2060-2079, gfdl_esm2m, Feb Anomaly, NPL
0.64936, 2060-2079, gfdl_esm2m, Mar Anomaly, NPL
2.45333, 2060-2079, gfdl_esm2m, Apr Anomaly, NPL
3.81862, 2060-2079, gfdl_esm2m, May Anomaly, NPL
2.40802, 2060-2079, gfdl_esm2m, Jun Anomaly, NPL
2.66159, 2060-2079, gfdl_esm2m, Jul Anomaly, NPL
1.76469, 2060-2079, gfdl_esm2m, Aug Anomaly, NPL
0.48018, 2060-2079, gfdl_esm2m, Sep Anomaly, NPL
0.09437, 2060-2079, gfdl_esm2m, Oct Anomaly, NPL
0.76995, 2060-2079, hadgem2_ao, Mar Anomaly, NPL
3.26736, 2060-2079, hadgem2_ao, Apr Anomaly, NPL
3.26611, 2060-2079, hadgem2_ao, May Anomaly, NPL
2.20782, 2060-2079, hadgem2_ao, Jun Anomaly, NPL
1.13831, 2060-2079, hadgem2_ao, Jul Anomaly, NPL
1.83959, 2060-2079, hadgem2_ao, Aug Anomaly, NPL
2.29827, 2060-2079, hadgem2_ao, Sep Anomaly, NPL
0.68625, 2060-2079, hadgem2_ao, Oct Anomaly, NPL
0.00198, 2060-2079, hadgem2_ao, Nov Anomaly, NPL
5.3E-4, 2060-2079, hadgem2_cc, Feb Anomaly, NPL
0.206, 2060-2079, hadgem2_cc, Mar Anomaly, NPL
1.87733, 2060-2079, hadgem2_cc, Apr Anomaly, NPL
3.03339, 2060-2079, hadgem2_cc, May Anomaly, NPL
2.7644, 2060-2079, hadgem2_cc, Jun Anomaly, NPL
1.27046, 2060-2079, hadgem2_cc, Jul Anomaly, NPL
1.61283, 2060-2079, hadgem2_cc, Aug Anomaly, NPL
2.20969, 2060-2079, hadgem2_cc, Sep Anomaly, NPL
0.64549, 2060-2079, hadgem2_cc, Oct Anomaly, NPL
1.7E-4, 2060-2079, hadgem2_cc, Nov Anomaly, NPL
0.07074, 2060-2079, inmcm4, Feb Anomaly, NPL
0.62412, 2060-2079, inmcm4, Mar Anomaly, NPL
1.9613, 2060-2079, inmcm4, Apr Anomaly, NPL
0.87745, 2060-2079, inmcm4, May Anomaly, NPL
-0.1563, 2060-2079, inmcm4, Jun Anomaly, NPL
0.32345, 2060-2079, inmcm4, Jul Anomaly, NPL
8.4E-4, 2060-2079, inmcm4, Aug Anomaly, NPL
0.00158, 2060-2079, inmcm4, Sep Anomaly, NPL
0.00534, 2060-2079, inmcm4, Oct Anomaly, NPL
0.00126, 2060-2079, ipsl_cm5a_lr, Feb Anomaly, NPL
0.37928, 2060-2079, ipsl_cm5a_lr, Mar Anomaly, NPL
2.19661, 2060-2079, ipsl_cm5a_lr, Apr Anomaly, NPL
4.48055, 2060-2079, ipsl_cm5a_lr, May Anomaly, NPL
3.95815, 2060-2079, ipsl_cm5a_lr, Jun Anomaly, NPL
2.14832, 2060-2079, ipsl_cm5a_lr, Jul Anomaly, NPL
2.24697, 2060-2079, ipsl_cm5a_lr, Aug Anomaly, NPL
1.09515, 2060-2079, ipsl_cm5a_lr, Sep Anomaly, NPL
0.46688, 2060-2079, ipsl_cm5a_lr, Oct Anomaly, NPL
4.2E-4, 2060-2079, ipsl_cm5a_lr, Nov Anomaly, NPL
0.30607, 2060-2079, ipsl_cm5a_mr, Mar Anomaly, NPL
2.18881, 2060-2079, ipsl_cm5a_mr, Apr Anomaly, NPL
3.19386, 2060-2079, ipsl_cm5a_mr, May Anomaly, NPL
3.73974, 2060-2079, ipsl_cm5a_mr, Jun Anomaly, NPL
4.02628, 2060-2079, ipsl_cm5a_mr, Jul Anomaly, NPL
1.93801, 2060-2079, ipsl_cm5a_mr, Aug Anomaly, NPL
1.59449, 2060-2079, ipsl_cm5a_mr, Sep Anomaly, NPL
0.65686, 2060-2079, ipsl_cm5a_mr, Oct Anomaly, NPL
1.4E-4, 2060-2079, ipsl_cm5a_mr, Nov Anomaly, NPL
0.05598, 2060-2079, ipsl_cm5b_lr, Mar Anomaly, NPL
