Cold Spell Duration Index - (Days), Year, Model, Statistics, ISO3
-0.1206, 2040-2059, access1_0, Jan Anomaly, NPL
-0.0076, 2040-2059, access1_0, Feb Anomaly, NPL
-0.1438, 2040-2059, access1_0, Mar Anomaly, NPL
-0.1814, 2040-2059, access1_0, Apr Anomaly, NPL
-0.6719, 2040-2059, access1_0, May Anomaly, NPL
-0.1611, 2040-2059, access1_0, Jun Anomaly, NPL
-0.2235, 2040-2059, access1_0, Jul Anomaly, NPL
-0.3623, 2040-2059, access1_0, Aug Anomaly, NPL
-0.5642, 2040-2059, access1_0, Sep Anomaly, NPL
-0.6707, 2040-2059, access1_0, Oct Anomaly, NPL
-0.1113, 2040-2059, access1_0, Nov Anomaly, NPL
-0.1369, 2040-2059, access1_0, Dec Anomaly, NPL
-0.729, 2040-2059, access1_3, Jan Anomaly, NPL
-0.1011, 2040-2059, access1_3, Feb Anomaly, NPL
-0.4039, 2040-2059, access1_3, Mar Anomaly, NPL
-0.1992, 2040-2059, access1_3, Apr Anomaly, NPL
-0.4079, 2040-2059, access1_3, May Anomaly, NPL
-0.3475, 2040-2059, access1_3, Jun Anomaly, NPL
-0.1523, 2040-2059, access1_3, Jul Anomaly, NPL
-0.2325, 2040-2059, access1_3, Aug Anomaly, NPL
-0.2907, 2040-2059, access1_3, Sep Anomaly, NPL
-0.4177, 2040-2059, access1_3, Oct Anomaly, NPL
-0.1602, 2040-2059, access1_3, Nov Anomaly, NPL
-0.3584, 2040-2059, access1_3, Dec Anomaly, NPL
-0.0884, 2040-2059, bcc_csm1_1_m, Jan Anomaly, NPL
-0.0228, 2040-2059, bcc_csm1_1_m, Feb Anomaly, NPL
-0.0258, 2040-2059, bcc_csm1_1_m, Mar Anomaly, NPL
-0.2062, 2040-2059, bcc_csm1_1_m, Apr Anomaly, NPL
-0.1125, 2040-2059, bcc_csm1_1_m, May Anomaly, NPL
-0.1792, 2040-2059, bcc_csm1_1_m, Jun Anomaly, NPL
-0.1927, 2040-2059, bcc_csm1_1_m, Jul Anomaly, NPL
-0.1619, 2040-2059, bcc_csm1_1_m, Aug Anomaly, NPL
-0.3079, 2040-2059, bcc_csm1_1_m, Sep Anomaly, NPL
-0.4221, 2040-2059, bcc_csm1_1_m, Oct Anomaly, NPL
-0.1313, 2040-2059, bcc_csm1_1_m, Nov Anomaly, NPL
-0.3619, 2040-2059, bcc_csm1_1_m, Dec Anomaly, NPL
-0.3758, 2040-2059, bnu_esm, Jan Anomaly, NPL
-0.1859, 2040-2059, bnu_esm, Feb Anomaly, NPL
-0.5326, 2040-2059, bnu_esm, Mar Anomaly, NPL
-0.2142, 2040-2059, bnu_esm, Apr Anomaly, NPL
-0.072, 2040-2059, bnu_esm, May Anomaly, NPL
-0.4157, 2040-2059, bnu_esm, Jun Anomaly, NPL
-0.2949, 2040-2059, bnu_esm, Jul Anomaly, NPL
-0.28, 2040-2059, bnu_esm, Aug Anomaly, NPL
-0.754, 2040-2059, bnu_esm, Sep Anomaly, NPL
-0.5998, 2040-2059, bnu_esm, Oct Anomaly, NPL
-0.2387, 2040-2059, bnu_esm, Nov Anomaly, NPL
-0.1431, 2040-2059, bnu_esm, Dec Anomaly, NPL
-0.186, 2040-2059, canesm2, Jan Anomaly, NPL
-0.0566, 2040-2059, canesm2, Feb Anomaly, NPL
-0.1021, 2040-2059, canesm2, Mar Anomaly, NPL
-0.1292, 2040-2059, canesm2, Apr Anomaly, NPL
-0.1144, 2040-2059, canesm2, May Anomaly, NPL
-0.0838, 2040-2059, canesm2, Jun Anomaly, NPL
-0.1173, 2040-2059, canesm2, Jul Anomaly, NPL
-0.0721, 2040-2059, canesm2, Aug Anomaly, NPL
-0.2581, 2040-2059, canesm2, Sep Anomaly, NPL
-0.0455, 2040-2059, canesm2, Oct Anomaly, NPL
-0.2083, 2040-2059, canesm2, Nov Anomaly, NPL
-0.1669, 2040-2059, canesm2, Dec Anomaly, NPL
-0.0537, 2040-2059, ccsm4, Jan Anomaly, NPL
-0.3125, 2040-2059, ccsm4, Feb Anomaly, NPL
-0.0684, 2040-2059, ccsm4, Mar Anomaly, NPL
-0.0629, 2040-2059, ccsm4, Apr Anomaly, NPL
-0.0415, 2040-2059, ccsm4, May Anomaly, NPL
-0.2416, 2040-2059, ccsm4, Jun Anomaly, NPL
-0.2124, 2040-2059, ccsm4, Jul Anomaly, NPL
-0.0858, 2040-2059, ccsm4, Aug Anomaly, NPL
-0.2054, 2040-2059, ccsm4, Sep Anomaly, NPL
-0.4784, 2040-2059, ccsm4, Oct Anomaly, NPL
-0.1042, 2040-2059, ccsm4, Nov Anomaly, NPL
-0.2402, 2040-2059, ccsm4, Dec Anomaly, NPL
-0.2895, 2040-2059, cesm1_cam5, Jan Anomaly, NPL
-0.503, 2040-2059, cesm1_cam5, Feb Anomaly, NPL
-0.0649, 2040-2059, cesm1_cam5, Mar Anomaly, NPL
-0.1302, 2040-2059, cesm1_cam5, Apr Anomaly, NPL
-0.1484, 2040-2059, cesm1_cam5, May Anomaly, NPL
-0.0896, 2040-2059, cesm1_cam5, Jun Anomaly, NPL
-0.0442, 2040-2059, cesm1_cam5, Jul Anomaly, NPL
-0.0176, 2040-2059, cesm1_cam5, Aug Anomaly, NPL
-0.1567, 2040-2059, cesm1_cam5, Sep Anomaly, NPL
-0.4011, 2040-2059, cesm1_cam5, Oct Anomaly, NPL
-0.3148, 2040-2059, cesm1_cam5, Nov Anomaly, NPL
-0.467, 2040-2059, cesm1_cam5, Dec Anomaly, NPL
-0.2026, 2040-2059, cnrm_cm5, Jan Anomaly, NPL
-0.2473, 2040-2059, cnrm_cm5, Feb Anomaly, NPL
-0.0718, 2040-2059, cnrm_cm5, Mar Anomaly, NPL
-0.0204, 2040-2059, cnrm_cm5, Apr Anomaly, NPL
-0.1466, 2040-2059, cnrm_cm5, May Anomaly, NPL
0.05825, 2040-2059, cnrm_cm5, Jun Anomaly, NPL
-0.1439, 2040-2059, cnrm_cm5, Jul Anomaly, NPL
-0.1485, 2040-2059, cnrm_cm5, Aug Anomaly, NPL
-0.4055, 2040-2059, cnrm_cm5, Sep Anomaly, NPL
-0.673, 2040-2059, cnrm_cm5, Oct Anomaly, NPL
-0.2379, 2040-2059, cnrm_cm5, Nov Anomaly, NPL
