Monthly Temperature - (Celsius), Year, Model, Statistics, Country, ISO3
5.8864536, 2080-2099, bcc_csm1_1, Jan Anomaly, Nepal, NPL
4.2757792, 2080-2099, bcc_csm1_1, Feb Anomaly, Nepal, NPL
4.2508082, 2080-2099, bcc_csm1_1, Mar Anomaly, Nepal, NPL
5.13532, 2080-2099, bcc_csm1_1, Apr Anomaly, Nepal, NPL
4.6652827, 2080-2099, bcc_csm1_1, May Anomaly, Nepal, NPL
3.882868, 2080-2099, bcc_csm1_1, Jun Anomaly, Nepal, NPL
2.1779895, 2080-2099, bcc_csm1_1, Jul Anomaly, Nepal, NPL
2.7161865, 2080-2099, bcc_csm1_1, Aug Anomaly, Nepal, NPL
3.964862, 2080-2099, bcc_csm1_1, Sep Anomaly, Nepal, NPL
4.6197615, 2080-2099, bcc_csm1_1, Oct Anomaly, Nepal, NPL
4.378329, 2080-2099, bcc_csm1_1, Nov Anomaly, Nepal, NPL
4.8147783, 2080-2099, bcc_csm1_1, Dec Anomaly, Nepal, NPL
4.2348785, 2080-2099, bcc_csm1_1_m, Jan Anomaly, Nepal, NPL
3.5676305, 2080-2099, bcc_csm1_1_m, Feb Anomaly, Nepal, NPL
4.3888807, 2080-2099, bcc_csm1_1_m, Mar Anomaly, Nepal, NPL
5.327784, 2080-2099, bcc_csm1_1_m, Apr Anomaly, Nepal, NPL
3.9692883, 2080-2099, bcc_csm1_1_m, May Anomaly, Nepal, NPL
4.7338405, 2080-2099, bcc_csm1_1_m, Jun Anomaly, Nepal, NPL
3.7215295, 2080-2099, bcc_csm1_1_m, Jul Anomaly, Nepal, NPL
3.6065447, 2080-2099, bcc_csm1_1_m, Aug Anomaly, Nepal, NPL
2.6591153, 2080-2099, bcc_csm1_1_m, Sep Anomaly, Nepal, NPL
3.9777777, 2080-2099, bcc_csm1_1_m, Oct Anomaly, Nepal, NPL
4.105917, 2080-2099, bcc_csm1_1_m, Nov Anomaly, Nepal, NPL
4.890134, 2080-2099, bcc_csm1_1_m, Dec Anomaly, Nepal, NPL
4.220868, 2080-2099, ccsm4, Jan Anomaly, Nepal, NPL
4.3250694, 2080-2099, ccsm4, Feb Anomaly, Nepal, NPL
4.7961287, 2080-2099, ccsm4, Mar Anomaly, Nepal, NPL
4.463569, 2080-2099, ccsm4, Apr Anomaly, Nepal, NPL
4.532466, 2080-2099, ccsm4, May Anomaly, Nepal, NPL
4.2793727, 2080-2099, ccsm4, Jun Anomaly, Nepal, NPL
3.0544379, 2080-2099, ccsm4, Jul Anomaly, Nepal, NPL
3.4371667, 2080-2099, ccsm4, Aug Anomaly, Nepal, NPL
3.4278448, 2080-2099, ccsm4, Sep Anomaly, Nepal, NPL
4.0969534, 2080-2099, ccsm4, Oct Anomaly, Nepal, NPL
3.8976536, 2080-2099, ccsm4, Nov Anomaly, Nepal, NPL
3.8469136, 2080-2099, ccsm4, Dec Anomaly, Nepal, NPL
5.5356116, 2080-2099, cesm1_cam5, Jan Anomaly, Nepal, NPL
5.7301927, 2080-2099, cesm1_cam5, Feb Anomaly, Nepal, NPL
4.611226, 2080-2099, cesm1_cam5, Mar Anomaly, Nepal, NPL
4.1833053, 2080-2099, cesm1_cam5, Apr Anomaly, Nepal, NPL
3.7575088, 2080-2099, cesm1_cam5, May Anomaly, Nepal, NPL
4.9711013, 2080-2099, cesm1_cam5, Jun Anomaly, Nepal, NPL
3.9015837, 2080-2099, cesm1_cam5, Jul Anomaly, Nepal, NPL
3.6313076, 2080-2099, cesm1_cam5, Aug Anomaly, Nepal, NPL
4.213906, 2080-2099, cesm1_cam5, Sep Anomaly, Nepal, NPL
4.540694, 2080-2099, cesm1_cam5, Oct Anomaly, Nepal, NPL
5.293847, 2080-2099, cesm1_cam5, Nov Anomaly, Nepal, NPL
4.9586124, 2080-2099, cesm1_cam5, Dec Anomaly, Nepal, NPL
5.669988, 2080-2099, csiro_mk3_6_0, Jan Anomaly, Nepal, NPL
6.5617604, 2080-2099, csiro_mk3_6_0, Feb Anomaly, Nepal, NPL
5.5523853, 2080-2099, csiro_mk3_6_0, Mar Anomaly, Nepal, NPL
5.219055, 2080-2099, csiro_mk3_6_0, Apr Anomaly, Nepal, NPL
5.250187, 2080-2099, csiro_mk3_6_0, May Anomaly, Nepal, NPL
6.1021085, 2080-2099, csiro_mk3_6_0, Jun Anomaly, Nepal, NPL
4.7279053, 2080-2099, csiro_mk3_6_0, Jul Anomaly, Nepal, NPL
3.2940445, 2080-2099, csiro_mk3_6_0, Aug Anomaly, Nepal, NPL
3.9221303, 2080-2099, csiro_mk3_6_0, Sep Anomaly, Nepal, NPL
4.00746, 2080-2099, csiro_mk3_6_0, Oct Anomaly, Nepal, NPL
4.7580347, 2080-2099, csiro_mk3_6_0, Nov Anomaly, Nepal, NPL
5.6728587, 2080-2099, csiro_mk3_6_0, Dec Anomaly, Nepal, NPL
4.106561, 2080-2099, fio_esm, Jan Anomaly, Nepal, NPL
4.3524985, 2080-2099, fio_esm, Feb Anomaly, Nepal, NPL
4.0083947, 2080-2099, fio_esm, Mar Anomaly, Nepal, NPL
3.7346804, 2080-2099, fio_esm, Apr Anomaly, Nepal, NPL
3.717779, 2080-2099, fio_esm, May Anomaly, Nepal, NPL
4.0135717, 2080-2099, fio_esm, Jun Anomaly, Nepal, NPL
4.741814, 2080-2099, fio_esm, Jul Anomaly, Nepal, NPL
4.4089856, 2080-2099, fio_esm, Aug Anomaly, Nepal, NPL
3.8238027, 2080-2099, fio_esm, Sep Anomaly, Nepal, NPL
3.4495265, 2080-2099, fio_esm, Oct Anomaly, Nepal, NPL
3.1377714, 2080-2099, fio_esm, Nov Anomaly, Nepal, NPL
3.3380628, 2080-2099, fio_esm, Dec Anomaly, Nepal, NPL
6.8981915, 2080-2099, gfdl_cm3, Jan Anomaly, Nepal, NPL
5.7528577, 2080-2099, gfdl_cm3, Feb Anomaly, Nepal, NPL
5.635248, 2080-2099, gfdl_cm3, Mar Anomaly, Nepal, NPL
6.197054, 2080-2099, gfdl_cm3, Apr Anomaly, Nepal, NPL
7.1187806, 2080-2099, gfdl_cm3, May Anomaly, Nepal, NPL
5.6371546, 2080-2099, gfdl_cm3, Jun Anomaly, Nepal, NPL
4.825834, 2080-2099, gfdl_cm3, Jul Anomaly, Nepal, NPL
5.4153237, 2080-2099, gfdl_cm3, Aug Anomaly, Nepal, NPL
5.8548784, 2080-2099, gfdl_cm3, Sep Anomaly, Nepal, NPL
6.3992496, 2080-2099, gfdl_cm3, Oct Anomaly, Nepal, NPL
5.654385, 2080-2099, gfdl_cm3, Nov Anomaly, Nepal, NPL
6.366422, 2080-2099, gfdl_cm3, Dec Anomaly, Nepal, NPL
3.834696, 2080-2099, gfdl_esm2m, Jan Anomaly, Nepal, NPL
3.5384328, 2080-2099, gfdl_esm2m, Feb Anomaly, Nepal, NPL
4.0430174, 2080-2099, gfdl_esm2m, Mar Anomaly, Nepal, NPL
3.6497138, 2080-2099, gfdl_esm2m, Apr Anomaly, Nepal, NPL
4.3151054, 2080-2099, gfdl_esm2m, May Anomaly, Nepal, NPL
3.5176256, 2080-2099, gfdl_esm2m, Jun Anomaly, Nepal, NPL
3.3396547, 2080-2099, gfdl_esm2m, Jul Anomaly, Nepal, NPL
3.5371954, 2080-2099, gfdl_esm2m, Aug Anomaly, Nepal, NPL
3.6230352, 2080-2099, gfdl_esm2m, Sep Anomaly, Nepal, NPL
3.9932082, 2080-2099, gfdl_esm2m, Oct Anomaly, Nepal, NPL
4.305674, 2080-2099, gfdl_esm2m, Nov Anomaly, Nepal, NPL
3.5028682, 2080-2099, gfdl_esm2m, Dec Anomaly, Nepal, NPL
4.606607, 2080-2099, giss_e2_h, Jan Anomaly, Nepal, NPL
5.0005307, 2080-2099, giss_e2_h, Feb Anomaly, Nepal, NPL
4.3797708, 2080-2099, giss_e2_h, Mar Anomaly, Nepal, NPL
4.4034925, 2080-2099, giss_e2_h, Apr Anomaly, Nepal, NPL
4.4093785, 2080-2099, giss_e2_h, May Anomaly, Nepal, NPL
4.0224094, 2080-2099, giss_e2_h, Jun Anomaly, Nepal, NPL
3.336971, 2080-2099, giss_e2_h, Jul Anomaly, Nepal, NPL
2.841076, 2080-2099, giss_e2_h, Aug Anomaly, Nepal, NPL
4.004608, 2080-2099, giss_e2_h, Sep Anomaly, Nepal, NPL
3.8868365, 2080-2099, giss_e2_h, Oct Anomaly, Nepal, NPL
3.663111, 2080-2099, giss_e2_h, Nov Anomaly, Nepal, NPL
4.3466907, 2080-2099, giss_e2_h, Dec Anomaly, Nepal, NPL
4.316271, 2080-2099, giss_e2_r, Jan Anomaly, Nepal, NPL
4.637892, 2080-2099, giss_e2_r, Feb Anomaly, Nepal, NPL
4.6251974, 2080-2099, giss_e2_r, Mar Anomaly, Nepal, NPL
3.740298, 2080-2099, giss_e2_r, Apr Anomaly, Nepal, NPL
3.4685771, 2080-2099, giss_e2_r, May Anomaly, Nepal, NPL
3.0136304, 2080-2099, giss_e2_r, Jun Anomaly, Nepal, NPL
2.5491986, 2080-2099, giss_e2_r, Jul Anomaly, Nepal, NPL
2.056169, 2080-2099, giss_e2_r, Aug Anomaly, Nepal, NPL
2.5214174, 2080-2099, giss_e2_r, Sep Anomaly, Nepal, NPL
3.0611885, 2080-2099, giss_e2_r, Oct Anomaly, Nepal, NPL
3.6867635, 2080-2099, giss_e2_r, Nov Anomaly, Nepal, NPL
3.7903612, 2080-2099, giss_e2_r, Dec Anomaly, Nepal, NPL
5.654411, 2080-2099, ipsl_cm5a_mr, Jan Anomaly, Nepal, NPL
