Monthly Temperature - (Celsius), Year, Model, Statistics, Country, ISO3
0.15792486, 2080-2099, fio_esm, Oct Anomaly, Nepal, NPL
-0.28967303, 2080-2099, fio_esm, Nov Anomaly, Nepal, NPL
-0.3615668, 2080-2099, fio_esm, Dec Anomaly, Nepal, NPL
3.0424101, 2080-2099, gfdl_cm3, Jan Anomaly, Nepal, NPL
2.5630448, 2080-2099, gfdl_cm3, Feb Anomaly, Nepal, NPL
2.09343, 2080-2099, gfdl_cm3, Mar Anomaly, Nepal, NPL
2.5124896, 2080-2099, gfdl_cm3, Apr Anomaly, Nepal, NPL
3.2266839, 2080-2099, gfdl_cm3, May Anomaly, Nepal, NPL
2.4515574, 2080-2099, gfdl_cm3, Jun Anomaly, Nepal, NPL
2.103621, 2080-2099, gfdl_cm3, Jul Anomaly, Nepal, NPL
2.571272, 2080-2099, gfdl_cm3, Aug Anomaly, Nepal, NPL
2.5422456, 2080-2099, gfdl_cm3, Sep Anomaly, Nepal, NPL
2.3508995, 2080-2099, gfdl_cm3, Oct Anomaly, Nepal, NPL
2.350555, 2080-2099, gfdl_cm3, Nov Anomaly, Nepal, NPL
2.591495, 2080-2099, gfdl_cm3, Dec Anomaly, Nepal, NPL
1.0530593, 2080-2099, gfdl_esm2m, Jan Anomaly, Nepal, NPL
0.15857281, 2080-2099, gfdl_esm2m, Feb Anomaly, Nepal, NPL
0.9396561, 2080-2099, gfdl_esm2m, Mar Anomaly, Nepal, NPL
1.2325656, 2080-2099, gfdl_esm2m, Apr Anomaly, Nepal, NPL
1.3574537, 2080-2099, gfdl_esm2m, May Anomaly, Nepal, NPL
0.650291, 2080-2099, gfdl_esm2m, Jun Anomaly, Nepal, NPL
1.3830115, 2080-2099, gfdl_esm2m, Jul Anomaly, Nepal, NPL
1.2806342, 2080-2099, gfdl_esm2m, Aug Anomaly, Nepal, NPL
0.8018324, 2080-2099, gfdl_esm2m, Sep Anomaly, Nepal, NPL
1.2630432, 2080-2099, gfdl_esm2m, Oct Anomaly, Nepal, NPL
0.6098523, 2080-2099, gfdl_esm2m, Nov Anomaly, Nepal, NPL
0.064305544, 2080-2099, gfdl_esm2m, Dec Anomaly, Nepal, NPL
0.69125086, 2080-2099, giss_e2_h, Jan Anomaly, Nepal, NPL
0.6563582, 2080-2099, giss_e2_h, Feb Anomaly, Nepal, NPL
0.7000292, 2080-2099, giss_e2_h, Mar Anomaly, Nepal, NPL
0.6880125, 2080-2099, giss_e2_h, Apr Anomaly, Nepal, NPL
0.8508126, 2080-2099, giss_e2_h, May Anomaly, Nepal, NPL
0.7183665, 2080-2099, giss_e2_h, Jun Anomaly, Nepal, NPL
1.0863513, 2080-2099, giss_e2_h, Jul Anomaly, Nepal, NPL
1.1411432, 2080-2099, giss_e2_h, Aug Anomaly, Nepal, NPL
0.98660237, 2080-2099, giss_e2_h, Sep Anomaly, Nepal, NPL
0.99541557, 2080-2099, giss_e2_h, Oct Anomaly, Nepal, NPL
0.48447064, 2080-2099, giss_e2_h, Nov Anomaly, Nepal, NPL
0.42381218, 2080-2099, giss_e2_h, Dec Anomaly, Nepal, NPL
0.25574544, 2080-2099, giss_e2_r, Jan Anomaly, Nepal, NPL
0.639513, 2080-2099, giss_e2_r, Feb Anomaly, Nepal, NPL
0.5643936, 2080-2099, giss_e2_r, Mar Anomaly, Nepal, NPL
0.23673902, 2080-2099, giss_e2_r, Apr Anomaly, Nepal, NPL
0.12164307, 2080-2099, giss_e2_r, May Anomaly, Nepal, NPL
0.6357369, 2080-2099, giss_e2_r, Jun Anomaly, Nepal, NPL
0.9204482, 2080-2099, giss_e2_r, Jul Anomaly, Nepal, NPL
0.42658302, 2080-2099, giss_e2_r, Aug Anomaly, Nepal, NPL
0.6063773, 2080-2099, giss_e2_r, Sep Anomaly, Nepal, NPL
0.69778794, 2080-2099, giss_e2_r, Oct Anomaly, Nepal, NPL
0.58956856, 2080-2099, giss_e2_r, Nov Anomaly, Nepal, NPL
0.09342698, 2080-2099, giss_e2_r, Dec Anomaly, Nepal, NPL
1.5383177, 2080-2099, ipsl_cm5a_mr, Jan Anomaly, Nepal, NPL
1.5578444, 2080-2099, ipsl_cm5a_mr, Feb Anomaly, Nepal, NPL
1.1602324, 2080-2099, ipsl_cm5a_mr, Mar Anomaly, Nepal, NPL
1.5198559, 2080-2099, ipsl_cm5a_mr, Apr Anomaly, Nepal, NPL
1.0539316, 2080-2099, ipsl_cm5a_mr, May Anomaly, Nepal, NPL
0.9867756, 2080-2099, ipsl_cm5a_mr, Jun Anomaly, Nepal, NPL
0.89938384, 2080-2099, ipsl_cm5a_mr, Jul Anomaly, Nepal, NPL
0.94185394, 2080-2099, ipsl_cm5a_mr, Aug Anomaly, Nepal, NPL
1.021357, 2080-2099, ipsl_cm5a_mr, Sep Anomaly, Nepal, NPL
1.0111033, 2080-2099, ipsl_cm5a_mr, Oct Anomaly, Nepal, NPL
1.3923881, 2080-2099, ipsl_cm5a_mr, Nov Anomaly, Nepal, NPL
1.3153065, 2080-2099, ipsl_cm5a_mr, Dec Anomaly, Nepal, NPL
2.269916, 2080-2099, miroc_esm, Jan Anomaly, Nepal, NPL
1.8966373, 2080-2099, miroc_esm, Feb Anomaly, Nepal, NPL
1.5459805, 2080-2099, miroc_esm, Mar Anomaly, Nepal, NPL
1.9338768, 2080-2099, miroc_esm, Apr Anomaly, Nepal, NPL
2.277634, 2080-2099, miroc_esm, May Anomaly, Nepal, NPL
1.5843835, 2080-2099, miroc_esm, Jun Anomaly, Nepal, NPL
0.32792228, 2080-2099, miroc_esm, Jul Anomaly, Nepal, NPL
0.94300663, 2080-2099, miroc_esm, Aug Anomaly, Nepal, NPL
1.3415415, 2080-2099, miroc_esm, Sep Anomaly, Nepal, NPL
1.4891661, 2080-2099, miroc_esm, Oct Anomaly, Nepal, NPL
1.5965291, 2080-2099, miroc_esm, Nov Anomaly, Nepal, NPL
2.173844, 2080-2099, miroc_esm, Dec Anomaly, Nepal, NPL
3.0809705, 2080-2099, miroc_esm_chem, Jan Anomaly, Nepal, NPL
2.2654364, 2080-2099, miroc_esm_chem, Feb Anomaly, Nepal, NPL
1.8319942, 2080-2099, miroc_esm_chem, Mar Anomaly, Nepal, NPL
2.3805785, 2080-2099, miroc_esm_chem, Apr Anomaly, Nepal, NPL
2.4648118, 2080-2099, miroc_esm_chem, May Anomaly, Nepal, NPL
1.5541799, 2080-2099, miroc_esm_chem, Jun Anomaly, Nepal, NPL
0.6529291, 2080-2099, miroc_esm_chem, Jul Anomaly, Nepal, NPL
1.2837068, 2080-2099, miroc_esm_chem, Aug Anomaly, Nepal, NPL
1.413389, 2080-2099, miroc_esm_chem, Sep Anomaly, Nepal, NPL
1.1541123, 2080-2099, miroc_esm_chem, Oct Anomaly, Nepal, NPL
1.4683208, 2080-2099, miroc_esm_chem, Nov Anomaly, Nepal, NPL
2.3254995, 2080-2099, miroc_esm_chem, Dec Anomaly, Nepal, NPL
1.1686918, 2080-2099, miroc5, Jan Anomaly, Nepal, NPL
0.88477534, 2080-2099, miroc5, Feb Anomaly, Nepal, NPL
0.8250809, 2080-2099, miroc5, Mar Anomaly, Nepal, NPL
1.2683854, 2080-2099, miroc5, Apr Anomaly, Nepal, NPL
1.5269253, 2080-2099, miroc5, May Anomaly, Nepal, NPL
1.1589346, 2080-2099, miroc5, Jun Anomaly, Nepal, NPL
0.75767624, 2080-2099, miroc5, Jul Anomaly, Nepal, NPL
1.3255254, 2080-2099, miroc5, Aug Anomaly, Nepal, NPL
0.8886768, 2080-2099, miroc5, Sep Anomaly, Nepal, NPL
1.1399144, 2080-2099, miroc5, Oct Anomaly, Nepal, NPL
1.1008767, 2080-2099, miroc5, Nov Anomaly, Nepal, NPL
1.0032234, 2080-2099, miroc5, Dec Anomaly, Nepal, NPL
0.9938644, 2080-2099, mri_cgcm3, Jan Anomaly, Nepal, NPL
0.91309774, 2080-2099, mri_cgcm3, Feb Anomaly, Nepal, NPL
1.5475948, 2080-2099, mri_cgcm3, Mar Anomaly, Nepal, NPL
1.3614633, 2080-2099, mri_cgcm3, Apr Anomaly, Nepal, NPL
0.9912597, 2080-2099, mri_cgcm3, May Anomaly, Nepal, NPL
1.0111145, 2080-2099, mri_cgcm3, Jun Anomaly, Nepal, NPL
1.4227009, 2080-2099, mri_cgcm3, Jul Anomaly, Nepal, NPL
1.3737658, 2080-2099, mri_cgcm3, Aug Anomaly, Nepal, NPL
1.379748, 2080-2099, mri_cgcm3, Sep Anomaly, Nepal, NPL
0.6892819, 2080-2099, mri_cgcm3, Oct Anomaly, Nepal, NPL
0.8098194, 2080-2099, mri_cgcm3, Nov Anomaly, Nepal, NPL
1.2052077, 2080-2099, mri_cgcm3, Dec Anomaly, Nepal, NPL
1.6779475, 2080-2099, noresm1_m, Jan Anomaly, Nepal, NPL
1.1022135, 2080-2099, noresm1_m, Feb Anomaly, Nepal, NPL
1.0448648, 2080-2099, noresm1_m, Mar Anomaly, Nepal, NPL
1.1359351, 2080-2099, noresm1_m, Apr Anomaly, Nepal, NPL
1.6570724, 2080-2099, noresm1_m, May Anomaly, Nepal, NPL
0.90902454, 2080-2099, noresm1_m, Jun Anomaly, Nepal, NPL
0.72809833, 2080-2099, noresm1_m, Jul Anomaly, Nepal, NPL
0.8363282, 2080-2099, noresm1_m, Aug Anomaly, Nepal, NPL
0.9720262, 2080-2099, noresm1_m, Sep Anomaly, Nepal, NPL
1.1112112, 2080-2099, noresm1_m, Oct Anomaly, Nepal, NPL
1.3840032, 2080-2099, noresm1_m, Nov Anomaly, Nepal, NPL
1.3115871, 2080-2099, noresm1_m, Dec Anomaly, Nepal, NPL
0.15111783, 2080-2099, Ensemble (10th Percentile), Jan Anomaly, Nepal, NPL
0.12500486, 2080-2099, Ensemble (10th Percentile), Feb Anomaly, Nepal, NPL
0.37141067, 2080-2099, Ensemble (10th Percentile), Mar Anomaly, Nepal, NPL
0.10109739, 2080-2099, Ensemble (10th Percentile), Apr Anomaly, Nepal, NPL
-0.014733702, 2080-2099, Ensemble (10th Percentile), May Anomaly, Nepal, NPL
0.3542143, 2080-2099, Ensemble (10th Percentile), Jun Anomaly, Nepal, NPL
0.44395822, 2080-2099, Ensemble (10th Percentile), Jul Anomaly, Nepal, NPL
0.17128767, 2080-2099, Ensemble (10th Percentile), Aug Anomaly, Nepal, NPL
0.412047, 2080-2099, Ensemble (10th Percentile), Sep Anomaly, Nepal, NPL
0.4713273, 2080-2099, Ensemble (10th Percentile), Oct Anomaly, Nepal, NPL
0.23605663, 2080-2099, Ensemble (10th Percentile), Nov Anomaly, Nepal, NPL
-0.11013681, 2080-2099, Ensemble (10th Percentile), Dec Anomaly, Nepal, NPL
1.3808666, 2080-2099, Ensemble (50th Percentile), Jan Anomaly, Nepal, NPL
0.98094964, 2080-2099, Ensemble (50th Percentile), Feb Anomaly, Nepal, NPL
1.1332015, 2080-2099, Ensemble (50th Percentile), Mar Anomaly, Nepal, NPL
1.3439562, 2080-2099, Ensemble (50th Percentile), Apr Anomaly, Nepal, NPL
1.3979585, 2080-2099, Ensemble (50th Percentile), May Anomaly, Nepal, NPL
1.1333212, 2080-2099, Ensemble (50th Percentile), Jun Anomaly, Nepal, NPL
1.0186442, 2080-2099, Ensemble (50th Percentile), Jul Anomaly, Nepal, NPL
1.0375074, 2080-2099, Ensemble (50th Percentile), Aug Anomaly, Nepal, NPL
1.0045035, 2080-2099, Ensemble (50th Percentile), Sep Anomaly, Nepal, NPL
1.1325573, 2080-2099, Ensemble (50th Percentile), Oct Anomaly, Nepal, NPL
1.1903592, 2080-2099, Ensemble (50th Percentile), Nov Anomaly, Nepal, NPL
1.1728784, 2080-2099, Ensemble (50th Percentile), Dec Anomaly, Nepal, NPL
3.0496845, 2080-2099, Ensemble (90th Percentile), Jan Anomaly, Nepal, NPL
2.6490793, 2080-2099, Ensemble (90th Percentile), Feb Anomaly, Nepal, NPL
2.0014594, 2080-2099, Ensemble (90th Percentile), Mar Anomaly, Nepal, NPL
2.4028616, 2080-2099, Ensemble (90th Percentile), Apr Anomaly, Nepal, NPL
2.7666104, 2080-2099, Ensemble (90th Percentile), May Anomaly, Nepal, NPL
2.4730024, 2080-2099, Ensemble (90th Percentile), Jun Anomaly, Nepal, NPL
2.2746077, 2080-2099, Ensemble (90th Percentile), Jul Anomaly, Nepal, NPL
2.0857604, 2080-2099, Ensemble (90th Percentile), Aug Anomaly, Nepal, NPL
1.9912355, 2080-2099, Ensemble (90th Percentile), Sep Anomaly, Nepal, NPL
2.0286412, 2080-2099, Ensemble (90th Percentile), Oct Anomaly, Nepal, NPL
2.128082, 2080-2099, Ensemble (90th Percentile), Nov Anomaly, Nepal, NPL
2.4647796, 2080-2099, Ensemble (90th Percentile), Dec Anomaly, Nepal, NPL
