Monthly Temperature - (Celsius), Year, Model, Statistics, Country, ISO3
26.046474, 2060-2079, gfdl_cm3, May Average, Nepal, NPL
26.48291, 2060-2079, gfdl_cm3, Jun Average, Nepal, NPL
24.298794, 2060-2079, gfdl_cm3, Jul Average, Nepal, NPL
23.736362, 2060-2079, gfdl_cm3, Aug Average, Nepal, NPL
22.43592, 2060-2079, gfdl_cm3, Sep Average, Nepal, NPL
18.530825, 2060-2079, gfdl_cm3, Oct Average, Nepal, NPL
13.299071, 2060-2079, gfdl_cm3, Nov Average, Nepal, NPL
8.674722, 2060-2079, gfdl_cm3, Dec Average, Nepal, NPL
6.9874816, 2060-2079, gfdl_esm2m, Jan Average, Nepal, NPL
9.310613, 2060-2079, gfdl_esm2m, Feb Average, Nepal, NPL
14.167268, 2060-2079, gfdl_esm2m, Mar Average, Nepal, NPL
19.564348, 2060-2079, gfdl_esm2m, Apr Average, Nepal, NPL
25.386168, 2060-2079, gfdl_esm2m, May Average, Nepal, NPL
25.888027, 2060-2079, gfdl_esm2m, Jun Average, Nepal, NPL
23.60355, 2060-2079, gfdl_esm2m, Jul Average, Nepal, NPL
21.972921, 2060-2079, gfdl_esm2m, Aug Average, Nepal, NPL
19.60931, 2060-2079, gfdl_esm2m, Sep Average, Nepal, NPL
15.613059, 2060-2079, gfdl_esm2m, Oct Average, Nepal, NPL
10.1889, 2060-2079, gfdl_esm2m, Nov Average, Nepal, NPL
5.981038, 2060-2079, gfdl_esm2m, Dec Average, Nepal, NPL
19.689117, 2060-2079, giss_e2_h, Jan Average, Nepal, NPL
21.611683, 2060-2079, giss_e2_h, Feb Average, Nepal, NPL
25.571878, 2060-2079, giss_e2_h, Mar Average, Nepal, NPL
29.837427, 2060-2079, giss_e2_h, Apr Average, Nepal, NPL
32.830917, 2060-2079, giss_e2_h, May Average, Nepal, NPL
34.77404, 2060-2079, giss_e2_h, Jun Average, Nepal, NPL
34.89466, 2060-2079, giss_e2_h, Jul Average, Nepal, NPL
33.552837, 2060-2079, giss_e2_h, Aug Average, Nepal, NPL
32.440216, 2060-2079, giss_e2_h, Sep Average, Nepal, NPL
28.622623, 2060-2079, giss_e2_h, Oct Average, Nepal, NPL
23.97092, 2060-2079, giss_e2_h, Nov Average, Nepal, NPL
20.049103, 2060-2079, giss_e2_h, Dec Average, Nepal, NPL
20.287916, 2060-2079, giss_e2_r, Jan Average, Nepal, NPL
22.52962, 2060-2079, giss_e2_r, Feb Average, Nepal, NPL
26.292952, 2060-2079, giss_e2_r, Mar Average, Nepal, NPL
30.501429, 2060-2079, giss_e2_r, Apr Average, Nepal, NPL
33.64929, 2060-2079, giss_e2_r, May Average, Nepal, NPL
35.495106, 2060-2079, giss_e2_r, Jun Average, Nepal, NPL
36.006832, 2060-2079, giss_e2_r, Jul Average, Nepal, NPL
