Daily Probability of Heat Wave - (Probability), Year, Model, Statistics, ISO3
0.30912, 2080-2099, access1_0, Annual Anomaly, NPL
0.26156, 2080-2099, access1_3, Annual Anomaly, NPL
0.14324, 2080-2099, bcc_csm1_1_m, Annual Anomaly, NPL
0.11296, 2080-2099, bcc_csm1_1, Annual Anomaly, NPL
0.16474, 2080-2099, bnu_esm, Annual Anomaly, NPL
0.24066, 2080-2099, canesm2, Annual Anomaly, NPL
0.21896, 2080-2099, ccsm4, Annual Anomaly, NPL
0.19435, 2080-2099, cesm1_bgc, Annual Anomaly, NPL
0.28847, 2080-2099, cesm1_cam5, Annual Anomaly, NPL
0.29879, 2080-2099, cmcc_cesm, Annual Anomaly, NPL
0.2509, 2080-2099, cmcc_cm, Annual Anomaly, NPL
0.2873, 2080-2099, cmcc_cms, Annual Anomaly, NPL
0.21279, 2080-2099, cnrm_cm5, Annual Anomaly, NPL
0.20893, 2080-2099, csiro_mk3_6_0, Annual Anomaly, NPL
0.40711, 2080-2099, gfdl_cm3, Annual Anomaly, NPL
0.17818, 2080-2099, gfdl_esm2g, Annual Anomaly, NPL
0.15396, 2080-2099, gfdl_esm2m, Annual Anomaly, NPL
0.2458, 2080-2099, hadgem2_ao, Annual Anomaly, NPL
0.3707, 2080-2099, hadgem2_cc, Annual Anomaly, NPL
0.37088, 2080-2099, hadgem2_es, Annual Anomaly, NPL
0.22187, 2080-2099, inmcm4, Annual Anomaly, NPL
0.3068, 2080-2099, ipsl_cm5a_lr, Annual Anomaly, NPL
0.35951, 2080-2099, ipsl_cm5a_mr, Annual Anomaly, NPL
0.15663, 2080-2099, ipsl_cm5b_lr, Annual Anomaly, NPL
0.1806, 2080-2099, miroc5, Annual Anomaly, NPL
0.42792, 2080-2099, miroc_esm_chem, Annual Anomaly, NPL
0.3648, 2080-2099, miroc_esm, Annual Anomaly, NPL
0.26387, 2080-2099, mpi_esm_lr, Annual Anomaly, NPL
0.238, 2080-2099, mpi_esm_mr, Annual Anomaly, NPL
0.14883, 2080-2099, mri_cgcm3, Annual Anomaly, NPL
0.14227, 2080-2099, mri_esm1, Annual Anomaly, NPL
0.18669, 2080-2099, noresm1_m, Annual Anomaly, NPL
0.13078, 2080-2099, Ensemble (10th Percentile), Annual Anomaly, NPL
0.23326, 2080-2099, Ensemble (50th Percentile), Annual Anomaly, NPL
0.38591, 2080-2099, Ensemble (90th Percentile), Annual Anomaly, NPL
