Daily Probability of Heat Wave - (Probability), Year, Model, Statistics, ISO3
0.03961, 2020-2039, access1_0, Annual Anomaly, NPL
0.03165, 2020-2039, access1_3, Annual Anomaly, NPL
0.02641, 2020-2039, bcc_csm1_1_m, Annual Anomaly, NPL
0.01879, 2020-2039, bcc_csm1_1, Annual Anomaly, NPL
0.04102, 2020-2039, bnu_esm, Annual Anomaly, NPL
0.03268, 2020-2039, canesm2, Annual Anomaly, NPL
0.04183, 2020-2039, ccsm4, Annual Anomaly, NPL
0.03979, 2020-2039, cesm1_bgc, Annual Anomaly, NPL
0.03139, 2020-2039, cesm1_cam5, Annual Anomaly, NPL
0.04482, 2020-2039, cmcc_cesm, Annual Anomaly, NPL
0.03969, 2020-2039, cmcc_cm, Annual Anomaly, NPL
0.06072, 2020-2039, cmcc_cms, Annual Anomaly, NPL
0.02428, 2020-2039, cnrm_cm5, Annual Anomaly, NPL
0.04997, 2020-2039, csiro_mk3_6_0, Annual Anomaly, NPL
0.10121, 2020-2039, gfdl_cm3, Annual Anomaly, NPL
0.03182, 2020-2039, gfdl_esm2g, Annual Anomaly, NPL
0.02925, 2020-2039, gfdl_esm2m, Annual Anomaly, NPL
0.01766, 2020-2039, hadgem2_ao, Annual Anomaly, NPL
0.08306, 2020-2039, hadgem2_cc, Annual Anomaly, NPL
0.09145, 2020-2039, hadgem2_es, Annual Anomaly, NPL
0.02841, 2020-2039, inmcm4, Annual Anomaly, NPL
0.05213, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, NPL
0.06916, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, NPL
0.03753, 2020-2039, ipsl_cm5b_lr, Annual Anomaly, NPL
0.04867, 2020-2039, miroc5, Annual Anomaly, NPL
0.06286, 2020-2039, miroc_esm_chem, Annual Anomaly, NPL
0.03225, 2020-2039, miroc_esm, Annual Anomaly, NPL
0.03575, 2020-2039, mpi_esm_lr, Annual Anomaly, NPL
0.04367, 2020-2039, mpi_esm_mr, Annual Anomaly, NPL
0.03047, 2020-2039, mri_cgcm3, Annual Anomaly, NPL
0.033, 2020-2039, mri_esm1, Annual Anomaly, NPL
0.02953, 2020-2039, noresm1_m, Annual Anomaly, NPL
0.01459, 2020-2039, Ensemble (10th Percentile), Annual Anomaly, NPL
0.03705, 2020-2039, Ensemble (50th Percentile), Annual Anomaly, NPL
0.07527, 2020-2039, Ensemble (90th Percentile), Annual Anomaly, NPL
