Daily Probability of Heat Wave - (Probability), Year, Model, Statistics, ISO3
0.18538, 2080-2099, access1_0, Annual Anomaly, NPL
0.17399, 2080-2099, access1_3, Annual Anomaly, NPL
0.05074, 2080-2099, bcc_csm1_1_m, Annual Anomaly, NPL
0.04771, 2080-2099, bcc_csm1_1, Annual Anomaly, NPL
0.05975, 2080-2099, bnu_esm, Annual Anomaly, NPL
0.06793, 2080-2099, canesm2, Annual Anomaly, NPL
0.0793, 2080-2099, ccsm4, Annual Anomaly, NPL
0.07921, 2080-2099, cesm1_bgc, Annual Anomaly, NPL
0.16626, 2080-2099, cesm1_cam5, Annual Anomaly, NPL
0.10856, 2080-2099, cnrm_cm5, Annual Anomaly, NPL
0.14487, 2080-2099, csiro_mk3_6_0, Annual Anomaly, NPL
0.26987, 2080-2099, gfdl_cm3, Annual Anomaly, NPL
0.05689, 2080-2099, gfdl_esm2g, Annual Anomaly, NPL
0.04532, 2080-2099, gfdl_esm2m, Annual Anomaly, NPL
0.16044, 2080-2099, hadgem2_ao, Annual Anomaly, NPL
0.21914, 2080-2099, hadgem2_cc, Annual Anomaly, NPL
0.02812, 2080-2099, inmcm4, Annual Anomaly, NPL
0.13019, 2080-2099, ipsl_cm5a_lr, Annual Anomaly, NPL
0.18511, 2080-2099, ipsl_cm5a_mr, Annual Anomaly, NPL
0.0799, 2080-2099, ipsl_cm5b_lr, Annual Anomaly, NPL
0.09587, 2080-2099, miroc5, Annual Anomaly, NPL
0.15773, 2080-2099, miroc_esm_chem, Annual Anomaly, NPL
0.10134, 2080-2099, miroc_esm, Annual Anomaly, NPL
0.09009, 2080-2099, mpi_esm_lr, Annual Anomaly, NPL
0.08092, 2080-2099, mpi_esm_mr, Annual Anomaly, NPL
0.09292, 2080-2099, mri_cgcm3, Annual Anomaly, NPL
0.06636, 2080-2099, noresm1_m, Annual Anomaly, NPL
0.04246, 2080-2099, Ensemble (10th Percentile), Annual Anomaly, NPL
0.08939, 2080-2099, Ensemble (50th Percentile), Annual Anomaly, NPL
0.19962, 2080-2099, Ensemble (90th Percentile), Annual Anomaly, NPL
