Range between Wettest and Driest Year  - (MM), Year, Model, Statistics, ISO3
-226.81, 2080-2099, bcc_csm1_1_m, Annual Anomaly, NPL
212.103, 2080-2099, bcc_csm1_1, Annual Anomaly, NPL
334.595, 2080-2099, bnu_esm, Annual Anomaly, NPL
-228.13, 2080-2099, canesm2, Annual Anomaly, NPL
-309.43, 2080-2099, ccsm4, Annual Anomaly, NPL
534.815, 2080-2099, cesm1_cam5, Annual Anomaly, NPL
-195.76, 2080-2099, cnrm_cm5, Annual Anomaly, NPL
131.304, 2080-2099, csiro_mk3_6_0, Annual Anomaly, NPL
308.848, 2080-2099, gfdl_cm3, Annual Anomaly, NPL
300.06, 2080-2099, gfdl_esm2g, Annual Anomaly, NPL
922.308, 2080-2099, gfdl_esm2m, Annual Anomaly, NPL
531.718, 2080-2099, hadgem2_ao, Annual Anomaly, NPL
94.8806, 2080-2099, hadgem2_es, Annual Anomaly, NPL
-24.675, 2080-2099, ipsl_cm5a_lr, Annual Anomaly, NPL
246.478, 2080-2099, ipsl_cm5a_mr, Annual Anomaly, NPL
34.7416, 2080-2099, miroc5, Annual Anomaly, NPL
-9.8966, 2080-2099, miroc_esm_chem, Annual Anomaly, NPL
110.459, 2080-2099, miroc_esm, Annual Anomaly, NPL
-134.6, 2080-2099, mpi_esm_lr, Annual Anomaly, NPL
-411.58, 2080-2099, mpi_esm_mr, Annual Anomaly, NPL
175.072, 2080-2099, mri_cgcm3, Annual Anomaly, NPL
104.867, 2080-2099, noresm1_m, Annual Anomaly, NPL
-420.37, 2080-2099, Ensemble (10th Percentile), Annual Anomaly, NPL
53.466, 2080-2099, Ensemble (50th Percentile), Annual Anomaly, NPL
1368.74, 2080-2099, Ensemble (90th Percentile), Annual Anomaly, NPL
