Range between Wettest and Driest Year  - (MM), Year, Model, Statistics, ISO3
-93.375, 2080-2099, access1_0, Annual Anomaly, NPL
448.74, 2080-2099, access1_3, Annual Anomaly, NPL
-6.0143, 2080-2099, bcc_csm1_1_m, Annual Anomaly, NPL
339.087, 2080-2099, bcc_csm1_1, Annual Anomaly, NPL
238.455, 2080-2099, bnu_esm, Annual Anomaly, NPL
-213.86, 2080-2099, canesm2, Annual Anomaly, NPL
-516.24, 2080-2099, ccsm4, Annual Anomaly, NPL
326.2, 2080-2099, cesm1_bgc, Annual Anomaly, NPL
11.1739, 2080-2099, cesm1_cam5, Annual Anomaly, NPL
-33.13, 2080-2099, cnrm_cm5, Annual Anomaly, NPL
56.9966, 2080-2099, csiro_mk3_6_0, Annual Anomaly, NPL
109.129, 2080-2099, gfdl_cm3, Annual Anomaly, NPL
623.951, 2080-2099, gfdl_esm2g, Annual Anomaly, NPL
405.465, 2080-2099, gfdl_esm2m, Annual Anomaly, NPL
159.442, 2080-2099, hadgem2_ao, Annual Anomaly, NPL
172.391, 2080-2099, hadgem2_cc, Annual Anomaly, NPL
-64.793, 2080-2099, inmcm4, Annual Anomaly, NPL
81.9097, 2080-2099, ipsl_cm5a_lr, Annual Anomaly, NPL
240.788, 2080-2099, ipsl_cm5a_mr, Annual Anomaly, NPL
-168.75, 2080-2099, ipsl_cm5b_lr, Annual Anomaly, NPL
-252.3, 2080-2099, miroc5, Annual Anomaly, NPL
106.32, 2080-2099, miroc_esm_chem, Annual Anomaly, NPL
144.793, 2080-2099, miroc_esm, Annual Anomaly, NPL
46.2995, 2080-2099, mpi_esm_lr, Annual Anomaly, NPL
23.8972, 2080-2099, mpi_esm_mr, Annual Anomaly, NPL
275.629, 2080-2099, mri_cgcm3, Annual Anomaly, NPL
561.125, 2080-2099, noresm1_m, Annual Anomaly, NPL
-404.36, 2080-2099, Ensemble (10th Percentile), Annual Anomaly, NPL
141.761, 2080-2099, Ensemble (50th Percentile), Annual Anomaly, NPL
1179.72, 2080-2099, Ensemble (90th Percentile), Annual Anomaly, NPL
