Range between Wettest and Driest Year  - (MM), Year, Model, Statistics, ISO3
-125.7, 2040-2059, bcc_csm1_1_m, Annual Anomaly, NPL
73.7266, 2040-2059, bcc_csm1_1, Annual Anomaly, NPL
70.0766, 2040-2059, bnu_esm, Annual Anomaly, NPL
-385.97, 2040-2059, canesm2, Annual Anomaly, NPL
35.106, 2040-2059, ccsm4, Annual Anomaly, NPL
-411.19, 2040-2059, cesm1_cam5, Annual Anomaly, NPL
-160.38, 2040-2059, cnrm_cm5, Annual Anomaly, NPL
0.84575, 2040-2059, csiro_mk3_6_0, Annual Anomaly, NPL
92.3034, 2040-2059, gfdl_cm3, Annual Anomaly, NPL
326.937, 2040-2059, gfdl_esm2g, Annual Anomaly, NPL
400.509, 2040-2059, gfdl_esm2m, Annual Anomaly, NPL
194.23, 2040-2059, hadgem2_ao, Annual Anomaly, NPL
-116.8, 2040-2059, hadgem2_es, Annual Anomaly, NPL
238.573, 2040-2059, ipsl_cm5a_lr, Annual Anomaly, NPL
392.665, 2040-2059, ipsl_cm5a_mr, Annual Anomaly, NPL
-425.61, 2040-2059, miroc5, Annual Anomaly, NPL
-80.984, 2040-2059, miroc_esm_chem, Annual Anomaly, NPL
136.134, 2040-2059, miroc_esm, Annual Anomaly, NPL
206.601, 2040-2059, mpi_esm_lr, Annual Anomaly, NPL
-317.29, 2040-2059, mpi_esm_mr, Annual Anomaly, NPL
119.582, 2040-2059, mri_cgcm3, Annual Anomaly, NPL
986.588, 2040-2059, noresm1_m, Annual Anomaly, NPL
-417.07, 2040-2059, Ensemble (10th Percentile), Annual Anomaly, NPL
31.1715, 2040-2059, Ensemble (50th Percentile), Annual Anomaly, NPL
1276.78, 2040-2059, Ensemble (90th Percentile), Annual Anomaly, NPL
