Range between Wettest and Driest Year  - (MM), Year, Model, Statistics, ISO3
22.1674, 2080-2099, access1_0, Annual Anomaly, NPL
499.437, 2080-2099, access1_3, Annual Anomaly, NPL
-223.96, 2080-2099, bcc_csm1_1_m, Annual Anomaly, NPL
225.115, 2080-2099, bcc_csm1_1, Annual Anomaly, NPL
282.24, 2080-2099, bnu_esm, Annual Anomaly, NPL
466.481, 2080-2099, canesm2, Annual Anomaly, NPL
-10.28, 2080-2099, ccsm4, Annual Anomaly, NPL
746.542, 2080-2099, cesm1_bgc, Annual Anomaly, NPL
419.187, 2080-2099, cesm1_cam5, Annual Anomaly, NPL
-116.12, 2080-2099, cmcc_cesm, Annual Anomaly, NPL
419.119, 2080-2099, cmcc_cm, Annual Anomaly, NPL
-278.56, 2080-2099, cmcc_cms, Annual Anomaly, NPL
21.7995, 2080-2099, cnrm_cm5, Annual Anomaly, NPL
184.843, 2080-2099, csiro_mk3_6_0, Annual Anomaly, NPL
227.269, 2080-2099, gfdl_cm3, Annual Anomaly, NPL
631.303, 2080-2099, gfdl_esm2g, Annual Anomaly, NPL
818.101, 2080-2099, gfdl_esm2m, Annual Anomaly, NPL
581.749, 2080-2099, hadgem2_ao, Annual Anomaly, NPL
37.0104, 2080-2099, hadgem2_cc, Annual Anomaly, NPL
-1270.8, 2080-2099, hadgem2_es, Annual Anomaly, NPL
-31.727, 2080-2099, inmcm4, Annual Anomaly, NPL
83.2738, 2080-2099, ipsl_cm5a_lr, Annual Anomaly, NPL
718.23, 2080-2099, ipsl_cm5a_mr, Annual Anomaly, NPL
-53.274, 2080-2099, ipsl_cm5b_lr, Annual Anomaly, NPL
162.217, 2080-2099, miroc5, Annual Anomaly, NPL
41.0002, 2080-2099, miroc_esm_chem, Annual Anomaly, NPL
22.6331, 2080-2099, miroc_esm, Annual Anomaly, NPL
230.883, 2080-2099, mpi_esm_lr, Annual Anomaly, NPL
-312.39, 2080-2099, mpi_esm_mr, Annual Anomaly, NPL
214.703, 2080-2099, mri_cgcm3, Annual Anomaly, NPL
5.65485, 2080-2099, mri_esm1, Annual Anomaly, NPL
586.151, 2080-2099, noresm1_m, Annual Anomaly, NPL
-439.72, 2080-2099, Ensemble (10th Percentile), Annual Anomaly, NPL
142.961, 2080-2099, Ensemble (50th Percentile), Annual Anomaly, NPL
1353.26, 2080-2099, Ensemble (90th Percentile), Annual Anomaly, NPL
