Number of Days with Dangerous Heat (Heat Index > 35°C) - (Days), Year, Model, Statistics, ISO3
-6.0E-4, 2080-2099, access1_0, Mar Anomaly, NPL
-0.1132, 2080-2099, access1_0, Apr Anomaly, NPL
-0.8647, 2080-2099, access1_0, May Anomaly, NPL
-2.3268, 2080-2099, access1_0, Jun Anomaly, NPL
-3.1139, 2080-2099, access1_0, Jul Anomaly, NPL
-3.1141, 2080-2099, access1_0, Aug Anomaly, NPL
-1.4445, 2080-2099, access1_0, Sep Anomaly, NPL
-0.0487, 2080-2099, access1_0, Oct Anomaly, NPL
0.00351, 2080-2099, access1_3, Apr Anomaly, NPL
-0.2671, 2080-2099, access1_3, May Anomaly, NPL
-1.4464, 2080-2099, access1_3, Jun Anomaly, NPL
-2.2413, 2080-2099, access1_3, Jul Anomaly, NPL
-2.5819, 2080-2099, access1_3, Aug Anomaly, NPL
-1.253, 2080-2099, access1_3, Sep Anomaly, NPL
-0.0129, 2080-2099, access1_3, Oct Anomaly, NPL
0.0443, 2080-2099, bcc_csm1_1_m, Apr Anomaly, NPL
0.46509, 2080-2099, bcc_csm1_1_m, May Anomaly, NPL
1.93211, 2080-2099, bcc_csm1_1_m, Jun Anomaly, NPL
1.448, 2080-2099, bcc_csm1_1_m, Jul Anomaly, NPL
0.78314, 2080-2099, bcc_csm1_1_m, Aug Anomaly, NPL
0.29225, 2080-2099, bcc_csm1_1_m, Sep Anomaly, NPL
0.03717, 2080-2099, bcc_csm1_1_m, Oct Anomaly, NPL
-0.0915, 2080-2099, bnu_esm, May Anomaly, NPL
-1.9893, 2080-2099, bnu_esm, Jun Anomaly, NPL
-3.2699, 2080-2099, bnu_esm, Jul Anomaly, NPL
-3.2997, 2080-2099, bnu_esm, Aug Anomaly, NPL
-1.9264, 2080-2099, bnu_esm, Sep Anomaly, NPL
-0.0608, 2080-2099, bnu_esm, Oct Anomaly, NPL
3.7E-4, 2080-2099, cnrm_cm5, Mar Anomaly, NPL
0.04009, 2080-2099, cnrm_cm5, Apr Anomaly, NPL
0.23738, 2080-2099, cnrm_cm5, May Anomaly, NPL
-1.1995, 2080-2099, cnrm_cm5, Jun Anomaly, NPL
-1.824, 2080-2099, cnrm_cm5, Jul Anomaly, NPL
-0.6136, 2080-2099, cnrm_cm5, Aug Anomaly, NPL
0.01488, 2080-2099, cnrm_cm5, Sep Anomaly, NPL
0.00614, 2080-2099, cnrm_cm5, Oct Anomaly, NPL
0.01752, 2080-2099, gfdl_cm3, Apr Anomaly, NPL
