Number of Days with Dangerous Heat (Heat Index > 35°C) - (Days), Year, Model, Statistics, ISO3
-6.0E-4, 2060-2079, access1_0, Mar Anomaly, NPL
-0.1547, 2060-2079, access1_0, Apr Anomaly, NPL
-1.0692, 2060-2079, access1_0, May Anomaly, NPL
-3.2266, 2060-2079, access1_0, Jun Anomaly, NPL
-3.7391, 2060-2079, access1_0, Jul Anomaly, NPL
-3.5869, 2060-2079, access1_0, Aug Anomaly, NPL
-1.7941, 2060-2079, access1_0, Sep Anomaly, NPL
-0.0565, 2060-2079, access1_0, Oct Anomaly, NPL
-0.0324, 2060-2079, access1_3, Apr Anomaly, NPL
-0.7247, 2060-2079, access1_3, May Anomaly, NPL
-3.0941, 2060-2079, access1_3, Jun Anomaly, NPL
-3.6293, 2060-2079, access1_3, Jul Anomaly, NPL
-3.8449, 2060-2079, access1_3, Aug Anomaly, NPL
-2.0358, 2060-2079, access1_3, Sep Anomaly, NPL
-0.0473, 2060-2079, access1_3, Oct Anomaly, NPL
0.0067, 2060-2079, bcc_csm1_1_m, Apr Anomaly, NPL
0.07965, 2060-2079, bcc_csm1_1_m, May Anomaly, NPL
0.23414, 2060-2079, bcc_csm1_1_m, Jun Anomaly, NPL
0.07395, 2060-2079, bcc_csm1_1_m, Jul Anomaly, NPL
0.13562, 2060-2079, bcc_csm1_1_m, Aug Anomaly, NPL
0.06166, 2060-2079, bcc_csm1_1_m, Sep Anomaly, NPL
0.00282, 2060-2079, bcc_csm1_1_m, Oct Anomaly, NPL
-0.0915, 2060-2079, bnu_esm, May Anomaly, NPL
-2.0369, 2060-2079, bnu_esm, Jun Anomaly, NPL
-3.2793, 2060-2079, bnu_esm, Jul Anomaly, NPL
-3.2997, 2060-2079, bnu_esm, Aug Anomaly, NPL
-1.9264, 2060-2079, bnu_esm, Sep Anomaly, NPL
-0.0608, 2060-2079, bnu_esm, Oct Anomaly, NPL
0.00232, 2060-2079, cnrm_cm5, Apr Anomaly, NPL
-0.4064, 2060-2079, cnrm_cm5, May Anomaly, NPL
-2.6012, 2060-2079, cnrm_cm5, Jun Anomaly, NPL
-2.5996, 2060-2079, cnrm_cm5, Jul Anomaly, NPL
-1.1393, 2060-2079, cnrm_cm5, Aug Anomaly, NPL
-0.1805, 2060-2079, cnrm_cm5, Sep Anomaly, NPL
-3.0E-4, 2060-2079, cnrm_cm5, Oct Anomaly, NPL
-0.0649, 2060-2079, gfdl_cm3, Apr Anomaly, NPL
-0.6152, 2060-2079, gfdl_cm3, May Anomaly, NPL
-2.6739, 2060-2079, gfdl_cm3, Jun Anomaly, NPL
-3.9871, 2060-2079, gfdl_cm3, Jul Anomaly, NPL
-3.7288, 2060-2079, gfdl_cm3, Aug Anomaly, NPL
-1.6738, 2060-2079, gfdl_cm3, Sep Anomaly, NPL
-0.0516, 2060-2079, gfdl_cm3, Oct Anomaly, NPL
-0.0147, 2060-2079, gfdl_esm2g, Apr Anomaly, NPL
-0.579, 2060-2079, gfdl_esm2g, May Anomaly, NPL
-3.0145, 2060-2079, gfdl_esm2g, Jun Anomaly, NPL
-4.1859, 2060-2079, gfdl_esm2g, Jul Anomaly, NPL
-3.8733, 2060-2079, gfdl_esm2g, Aug Anomaly, NPL
-1.218, 2060-2079, gfdl_esm2g, Sep Anomaly, NPL
-0.0189, 2060-2079, gfdl_esm2g, Oct Anomaly, NPL
-0.0166, 2060-2079, gfdl_esm2m, Apr Anomaly, NPL
