Number of Days with Dangerous Heat (Heat Index > 35°C) - (Days), Year, Model, Statistics, ISO3
-6.0E-4, 2040-2059, access1_0, Mar Anomaly, NPL
-0.1549, 2040-2059, access1_0, Apr Anomaly, NPL
-1.0885, 2040-2059, access1_0, May Anomaly, NPL
-3.2752, 2040-2059, access1_0, Jun Anomaly, NPL
-3.7072, 2040-2059, access1_0, Jul Anomaly, NPL
-3.5895, 2040-2059, access1_0, Aug Anomaly, NPL
-1.7846, 2040-2059, access1_0, Sep Anomaly, NPL
-0.0565, 2040-2059, access1_0, Oct Anomaly, NPL
-0.0325, 2040-2059, access1_3, Apr Anomaly, NPL
-0.7889, 2040-2059, access1_3, May Anomaly, NPL
-3.2677, 2040-2059, access1_3, Jun Anomaly, NPL
-3.6906, 2040-2059, access1_3, Jul Anomaly, NPL
-3.877, 2040-2059, access1_3, Aug Anomaly, NPL
-2.0838, 2040-2059, access1_3, Sep Anomaly, NPL
-0.0479, 2040-2059, access1_3, Oct Anomaly, NPL
0.0044, 2040-2059, bcc_csm1_1_m, Apr Anomaly, NPL
0.1441, 2040-2059, bcc_csm1_1_m, May Anomaly, NPL
0.31307, 2040-2059, bcc_csm1_1_m, Jun Anomaly, NPL
0.24555, 2040-2059, bcc_csm1_1_m, Jul Anomaly, NPL
0.13674, 2040-2059, bcc_csm1_1_m, Aug Anomaly, NPL
0.06561, 2040-2059, bcc_csm1_1_m, Sep Anomaly, NPL
0.00209, 2040-2059, bcc_csm1_1_m, Oct Anomaly, NPL
-0.0915, 2040-2059, bnu_esm, May Anomaly, NPL
-2.0358, 2040-2059, bnu_esm, Jun Anomaly, NPL
-3.2798, 2040-2059, bnu_esm, Jul Anomaly, NPL
-3.2997, 2040-2059, bnu_esm, Aug Anomaly, NPL
-1.9264, 2040-2059, bnu_esm, Sep Anomaly, NPL
-0.0608, 2040-2059, bnu_esm, Oct Anomaly, NPL
-0.0015, 2040-2059, cnrm_cm5, Apr Anomaly, NPL
-0.3364, 2040-2059, cnrm_cm5, May Anomaly, NPL
-2.575, 2040-2059, cnrm_cm5, Jun Anomaly, NPL
-2.7788, 2040-2059, cnrm_cm5, Jul Anomaly, NPL
-1.2134, 2040-2059, cnrm_cm5, Aug Anomaly, NPL
-0.1844, 2040-2059, cnrm_cm5, Sep Anomaly, NPL
-3.0E-4, 2040-2059, cnrm_cm5, Oct Anomaly, NPL
-0.0688, 2040-2059, gfdl_cm3, Apr Anomaly, NPL
-0.6653, 2040-2059, gfdl_cm3, May Anomaly, NPL
-2.5644, 2040-2059, gfdl_cm3, Jun Anomaly, NPL
-3.9984, 2040-2059, gfdl_cm3, Jul Anomaly, NPL
-3.7312, 2040-2059, gfdl_cm3, Aug Anomaly, NPL
-1.6741, 2040-2059, gfdl_cm3, Sep Anomaly, NPL
-0.0516, 2040-2059, gfdl_cm3, Oct Anomaly, NPL
-0.0147, 2040-2059, gfdl_esm2g, Apr Anomaly, NPL
-0.5746, 2040-2059, gfdl_esm2g, May Anomaly, NPL
-2.9909, 2040-2059, gfdl_esm2g, Jun Anomaly, NPL
-4.175, 2040-2059, gfdl_esm2g, Jul Anomaly, NPL
-3.8733, 2040-2059, gfdl_esm2g, Aug Anomaly, NPL
-1.218, 2040-2059, gfdl_esm2g, Sep Anomaly, NPL
-0.0189, 2040-2059, gfdl_esm2g, Oct Anomaly, NPL
-0.0166, 2040-2059, gfdl_esm2m, Apr Anomaly, NPL
-0.6443, 2040-2059, gfdl_esm2m, May Anomaly, NPL
-3.0988, 2040-2059, gfdl_esm2m, Jun Anomaly, NPL
-4.4047, 2040-2059, gfdl_esm2m, Jul Anomaly, NPL
-3.6993, 2040-2059, gfdl_esm2m, Aug Anomaly, NPL
