Number of Days with Dangerous Heat (Heat Index > 35°C) - (Days), Year, Model, Statistics, ISO3
-6.0E-4, 2040-2059, access1_0, Mar Anomaly, NPL
-0.1555, 2040-2059, access1_0, Apr Anomaly, NPL
-1.0984, 2040-2059, access1_0, May Anomaly, NPL
-3.3703, 2040-2059, access1_0, Jun Anomaly, NPL
-3.7788, 2040-2059, access1_0, Jul Anomaly, NPL
-3.623, 2040-2059, access1_0, Aug Anomaly, NPL
-1.8011, 2040-2059, access1_0, Sep Anomaly, NPL
-0.0565, 2040-2059, access1_0, Oct Anomaly, NPL
-0.0333, 2040-2059, access1_3, Apr Anomaly, NPL
-0.8162, 2040-2059, access1_3, May Anomaly, NPL
-3.5119, 2040-2059, access1_3, Jun Anomaly, NPL
-3.9072, 2040-2059, access1_3, Jul Anomaly, NPL
-4.0089, 2040-2059, access1_3, Aug Anomaly, NPL
-2.1673, 2040-2059, access1_3, Sep Anomaly, NPL
-0.0481, 2040-2059, access1_3, Oct Anomaly, NPL
0.00186, 2040-2059, bcc_csm1_1_m, Apr Anomaly, NPL
0.12479, 2040-2059, bcc_csm1_1_m, May Anomaly, NPL
0.14183, 2040-2059, bcc_csm1_1_m, Jun Anomaly, NPL
-0.0457, 2040-2059, bcc_csm1_1_m, Jul Anomaly, NPL
0.09989, 2040-2059, bcc_csm1_1_m, Aug Anomaly, NPL
0.05694, 2040-2059, bcc_csm1_1_m, Sep Anomaly, NPL
0.00187, 2040-2059, bcc_csm1_1_m, Oct Anomaly, NPL
-0.0915, 2040-2059, bnu_esm, May Anomaly, NPL
-2.0373, 2040-2059, bnu_esm, Jun Anomaly, NPL
-3.2798, 2040-2059, bnu_esm, Jul Anomaly, NPL
-3.2997, 2040-2059, bnu_esm, Aug Anomaly, NPL
-1.9264, 2040-2059, bnu_esm, Sep Anomaly, NPL
-0.0608, 2040-2059, bnu_esm, Oct Anomaly, NPL
-0.0034, 2040-2059, cnrm_cm5, Apr Anomaly, NPL
-0.4364, 2040-2059, cnrm_cm5, May Anomaly, NPL
-2.8196, 2040-2059, cnrm_cm5, Jun Anomaly, NPL
-2.8526, 2040-2059, cnrm_cm5, Jul Anomaly, NPL
-1.2355, 2040-2059, cnrm_cm5, Aug Anomaly, NPL
-0.1892, 2040-2059, cnrm_cm5, Sep Anomaly, NPL
-3.0E-4, 2040-2059, cnrm_cm5, Oct Anomaly, NPL
-0.0709, 2040-2059, gfdl_cm3, Apr Anomaly, NPL
-0.7208, 2040-2059, gfdl_cm3, May Anomaly, NPL
-2.7847, 2040-2059, gfdl_cm3, Jun Anomaly, NPL
-4.0387, 2040-2059, gfdl_cm3, Jul Anomaly, NPL
-3.7594, 2040-2059, gfdl_cm3, Aug Anomaly, NPL
-1.677, 2040-2059, gfdl_cm3, Sep Anomaly, NPL
-0.0516, 2040-2059, gfdl_cm3, Oct Anomaly, NPL
-0.0147, 2040-2059, gfdl_esm2g, Apr Anomaly, NPL
-0.579, 2040-2059, gfdl_esm2g, May Anomaly, NPL
-3.0165, 2040-2059, gfdl_esm2g, Jun Anomaly, NPL
-4.1868, 2040-2059, gfdl_esm2g, Jul Anomaly, NPL
-3.8733, 2040-2059, gfdl_esm2g, Aug Anomaly, NPL
-1.218, 2040-2059, gfdl_esm2g, Sep Anomaly, NPL
-0.0189, 2040-2059, gfdl_esm2g, Oct Anomaly, NPL
-0.0166, 2040-2059, gfdl_esm2m, Apr Anomaly, NPL
-0.6444, 2040-2059, gfdl_esm2m, May Anomaly, NPL
-3.1242, 2040-2059, gfdl_esm2m, Jun Anomaly, NPL
-4.4086, 2040-2059, gfdl_esm2m, Jul Anomaly, NPL
-3.7055, 2040-2059, gfdl_esm2m, Aug Anomaly, NPL
-1.0365, 2040-2059, gfdl_esm2m, Sep Anomaly, NPL
-0.0287, 2040-2059, gfdl_esm2m, Oct Anomaly, NPL
-1.0E-4, 2040-2059, hadgem2_cc, Mar Anomaly, NPL
-0.1735, 2040-2059, hadgem2_cc, Apr Anomaly, NPL
-1.6942, 2040-2059, hadgem2_cc, May Anomaly, NPL
-4.3034, 2040-2059, hadgem2_cc, Jun Anomaly, NPL
-4.4451, 2040-2059, hadgem2_cc, Jul Anomaly, NPL
-4.7191, 2040-2059, hadgem2_cc, Aug Anomaly, NPL
-3.2285, 2040-2059, hadgem2_cc, Sep Anomaly, NPL
-0.1297, 2040-2059, hadgem2_cc, Oct Anomaly, NPL
-8.0E-4, 2040-2059, inmcm4, Mar Anomaly, NPL
-0.0777, 2040-2059, inmcm4, Apr Anomaly, NPL
-1.1909, 2040-2059, inmcm4, May Anomaly, NPL
-3.8608, 2040-2059, inmcm4, Jun Anomaly, NPL
-6.9103, 2040-2059, inmcm4, Jul Anomaly, NPL
-6.4067, 2040-2059, inmcm4, Aug Anomaly, NPL
-3.8791, 2040-2059, inmcm4, Sep Anomaly, NPL
-0.2447, 2040-2059, inmcm4, Oct Anomaly, NPL
-0.0135, 2040-2059, inmcm4, Nov Anomaly, NPL
0.00656, 2040-2059, ipsl_cm5a_mr, Apr Anomaly, NPL
0.15213, 2040-2059, ipsl_cm5a_mr, May Anomaly, NPL
0.85575, 2040-2059, ipsl_cm5a_mr, Jun Anomaly, NPL
1.84013, 2040-2059, ipsl_cm5a_mr, Jul Anomaly, NPL
0.98639, 2040-2059, ipsl_cm5a_mr, Aug Anomaly, NPL
0.54234, 2040-2059, ipsl_cm5a_mr, Sep Anomaly, NPL
0.01481, 2040-2059, ipsl_cm5a_mr, Oct Anomaly, NPL
-0.0051, 2040-2059, ipsl_cm5b_lr, Jun Anomaly, NPL
-1.0675, 2040-2059, ipsl_cm5b_lr, Jul Anomaly, NPL
-2.1255, 2040-2059, ipsl_cm5b_lr, Aug Anomaly, NPL
-0.1919, 2040-2059, ipsl_cm5b_lr, Sep Anomaly, NPL
