Number of Days with Dangerous Heat (Heat Index > 35°C) - (Days), Year, Model, Statistics, ISO3
-6.0E-4, 2020-2039, access1_0, Mar Anomaly, NPL
-0.1555, 2020-2039, access1_0, Apr Anomaly, NPL
-1.1072, 2020-2039, access1_0, May Anomaly, NPL
-3.4355, 2020-2039, access1_0, Jun Anomaly, NPL
-3.8156, 2020-2039, access1_0, Jul Anomaly, NPL
-3.6437, 2020-2039, access1_0, Aug Anomaly, NPL
-1.805, 2020-2039, access1_0, Sep Anomaly, NPL
-0.0565, 2020-2039, access1_0, Oct Anomaly, NPL
-0.0333, 2020-2039, access1_3, Apr Anomaly, NPL
-0.8463, 2020-2039, access1_3, May Anomaly, NPL
-3.635, 2020-2039, access1_3, Jun Anomaly, NPL
-4.0267, 2020-2039, access1_3, Jul Anomaly, NPL
-4.1576, 2020-2039, access1_3, Aug Anomaly, NPL
-2.2475, 2020-2039, access1_3, Sep Anomaly, NPL
-0.0481, 2020-2039, access1_3, Oct Anomaly, NPL
0.00134, 2020-2039, bcc_csm1_1_m, Apr Anomaly, NPL
0.04358, 2020-2039, bcc_csm1_1_m, May Anomaly, NPL
0.03648, 2020-2039, bcc_csm1_1_m, Jun Anomaly, NPL
-0.0564, 2020-2039, bcc_csm1_1_m, Jul Anomaly, NPL
0.03527, 2020-2039, bcc_csm1_1_m, Aug Anomaly, NPL
0.02315, 2020-2039, bcc_csm1_1_m, Sep Anomaly, NPL
1.9E-4, 2020-2039, bcc_csm1_1_m, Oct Anomaly, NPL
-0.0915, 2020-2039, bnu_esm, May Anomaly, NPL
-2.0373, 2020-2039, bnu_esm, Jun Anomaly, NPL
-3.2798, 2020-2039, bnu_esm, Jul Anomaly, NPL
-3.2997, 2020-2039, bnu_esm, Aug Anomaly, NPL
-1.9264, 2020-2039, bnu_esm, Sep Anomaly, NPL
-0.0608, 2020-2039, bnu_esm, Oct Anomaly, NPL
-0.0069, 2020-2039, cnrm_cm5, Apr Anomaly, NPL
-0.4692, 2020-2039, cnrm_cm5, May Anomaly, NPL
-2.954, 2020-2039, cnrm_cm5, Jun Anomaly, NPL
-3.0043, 2020-2039, cnrm_cm5, Jul Anomaly, NPL
-1.2949, 2020-2039, cnrm_cm5, Aug Anomaly, NPL
-0.1957, 2020-2039, cnrm_cm5, Sep Anomaly, NPL
-3.0E-4, 2020-2039, cnrm_cm5, Oct Anomaly, NPL
-0.0712, 2020-2039, gfdl_cm3, Apr Anomaly, NPL
-0.7707, 2020-2039, gfdl_cm3, May Anomaly, NPL
-2.9316, 2020-2039, gfdl_cm3, Jun Anomaly, NPL
-4.0925, 2020-2039, gfdl_cm3, Jul Anomaly, NPL
-3.7749, 2020-2039, gfdl_cm3, Aug Anomaly, NPL
-1.677, 2020-2039, gfdl_cm3, Sep Anomaly, NPL
-0.0516, 2020-2039, gfdl_cm3, Oct Anomaly, NPL
-0.0147, 2020-2039, gfdl_esm2g, Apr Anomaly, NPL
-0.579, 2020-2039, gfdl_esm2g, May Anomaly, NPL
-3.017, 2020-2039, gfdl_esm2g, Jun Anomaly, NPL
-4.1907, 2020-2039, gfdl_esm2g, Jul Anomaly, NPL
-3.8733, 2020-2039, gfdl_esm2g, Aug Anomaly, NPL
-1.218, 2020-2039, gfdl_esm2g, Sep Anomaly, NPL
-0.0189, 2020-2039, gfdl_esm2g, Oct Anomaly, NPL
-0.0166, 2020-2039, gfdl_esm2m, Apr Anomaly, NPL
-0.6447, 2020-2039, gfdl_esm2m, May Anomaly, NPL
-3.1445, 2020-2039, gfdl_esm2m, Jun Anomaly, NPL
-4.4408, 2020-2039, gfdl_esm2m, Jul Anomaly, NPL
-3.7064, 2020-2039, gfdl_esm2m, Aug Anomaly, NPL
-1.0365, 2020-2039, gfdl_esm2m, Sep Anomaly, NPL
-0.0287, 2020-2039, gfdl_esm2m, Oct Anomaly, NPL
-1.0E-4, 2020-2039, hadgem2_cc, Mar Anomaly, NPL
-0.1735, 2020-2039, hadgem2_cc, Apr Anomaly, NPL
-1.6993, 2020-2039, hadgem2_cc, May Anomaly, NPL
-4.3781, 2020-2039, hadgem2_cc, Jun Anomaly, NPL
-4.4537, 2020-2039, hadgem2_cc, Jul Anomaly, NPL
-4.7236, 2020-2039, hadgem2_cc, Aug Anomaly, NPL
-3.229, 2020-2039, hadgem2_cc, Sep Anomaly, NPL
-0.1297, 2020-2039, hadgem2_cc, Oct Anomaly, NPL
-8.0E-4, 2020-2039, inmcm4, Mar Anomaly, NPL
-0.0777, 2020-2039, inmcm4, Apr Anomaly, NPL
-1.1909, 2020-2039, inmcm4, May Anomaly, NPL
-3.8608, 2020-2039, inmcm4, Jun Anomaly, NPL
-6.9103, 2020-2039, inmcm4, Jul Anomaly, NPL
-6.4067, 2020-2039, inmcm4, Aug Anomaly, NPL
-3.8791, 2020-2039, inmcm4, Sep Anomaly, NPL
-0.2447, 2020-2039, inmcm4, Oct Anomaly, NPL
-0.0135, 2020-2039, inmcm4, Nov Anomaly, NPL
1.9E-4, 2020-2039, ipsl_cm5a_mr, Apr Anomaly, NPL
0.08963, 2020-2039, ipsl_cm5a_mr, May Anomaly, NPL
0.49989, 2020-2039, ipsl_cm5a_mr, Jun Anomaly, NPL
1.61014, 2020-2039, ipsl_cm5a_mr, Jul Anomaly, NPL
0.75605, 2020-2039, ipsl_cm5a_mr, Aug Anomaly, NPL
0.26428, 2020-2039, ipsl_cm5a_mr, Sep Anomaly, NPL
0.0042, 2020-2039, ipsl_cm5a_mr, Oct Anomaly, NPL
-0.0068, 2020-2039, ipsl_cm5b_lr, Jun Anomaly, NPL
-1.1131, 2020-2039, ipsl_cm5b_lr, Jul Anomaly, NPL
-2.1519, 2020-2039, ipsl_cm5b_lr, Aug Anomaly, NPL
-0.1944, 2020-2039, ipsl_cm5b_lr, Sep Anomaly, NPL
-0.0105, 2020-2039, miroc5, Apr Anomaly, NPL
-0.7229, 2020-2039, miroc5, May Anomaly, NPL
-1.6435, 2020-2039, miroc5, Jun Anomaly, NPL
-0.8082, 2020-2039, miroc5, Jul Anomaly, NPL
-0.2473, 2020-2039, miroc5, Aug Anomaly, NPL
-0.1217, 2020-2039, miroc5, Sep Anomaly, NPL
1.9E-4, 2020-2039, mri_cgcm3, Apr Anomaly, NPL
0.07107, 2020-2039, mri_cgcm3, May Anomaly, NPL
-0.3627, 2020-2039, mri_cgcm3, Jun Anomaly, NPL
-0.8442, 2020-2039, mri_cgcm3, Jul Anomaly, NPL
-0.2934, 2020-2039, mri_cgcm3, Aug Anomaly, NPL
-0.0169, 2020-2039, mri_cgcm3, Sep Anomaly, NPL
-0.0171, 2020-2039, noresm1_m, May Anomaly, NPL
-1.7549, 2020-2039, noresm1_m, Jun Anomaly, NPL
-2.851, 2020-2039, noresm1_m, Jul Anomaly, NPL
-2.2382, 2020-2039, noresm1_m, Aug Anomaly, NPL
-0.9392, 2020-2039, noresm1_m, Sep Anomaly, NPL
-6.0E-4, 2020-2039, noresm1_m, Oct Anomaly, NPL
0.0, 2020-2039, Ensemble (10th Percentile), Jan Anomaly, NPL
0.0, 2020-2039, Ensemble (10th Percentile), Feb Anomaly, NPL
0.0, 2020-2039, Ensemble (10th Percentile), Mar Anomaly, NPL
0.0, 2020-2039, Ensemble (10th Percentile), Apr Anomaly, NPL
-2.0E-4, 2020-2039, Ensemble (10th Percentile), May Anomaly, NPL
-0.0237, 2020-2039, Ensemble (10th Percentile), Jun Anomaly, NPL
-0.0082, 2020-2039, Ensemble (10th Percentile), Jul Anomaly, NPL
-5.0E-4, 2020-2039, Ensemble (10th Percentile), Aug Anomaly, NPL
0.0, 2020-2039, Ensemble (10th Percentile), Sep Anomaly, NPL
0.0, 2020-2039, Ensemble (10th Percentile), Oct Anomaly, NPL
0.0, 2020-2039, Ensemble (10th Percentile), Nov Anomaly, NPL
0.0, 2020-2039, Ensemble (10th Percentile), Dec Anomaly, NPL
0.0, 2020-2039, Ensemble (50th Percentile), Jan Anomaly, NPL
0.0, 2020-2039, Ensemble (50th Percentile), Feb Anomaly, NPL
0.0, 2020-2039, Ensemble (50th Percentile), Mar Anomaly, NPL
0.0, 2020-2039, Ensemble (50th Percentile), Apr Anomaly, NPL
-2.0E-4, 2020-2039, Ensemble (50th Percentile), May Anomaly, NPL
-0.0059, 2020-2039, Ensemble (50th Percentile), Jun Anomaly, NPL
0.00677, 2020-2039, Ensemble (50th Percentile), Jul Anomaly, NPL
-0.0, 2020-2039, Ensemble (50th Percentile), Aug Anomaly, NPL
0.0, 2020-2039, Ensemble (50th Percentile), Sep Anomaly, NPL
0.0, 2020-2039, Ensemble (50th Percentile), Oct Anomaly, NPL
0.0, 2020-2039, Ensemble (50th Percentile), Nov Anomaly, NPL
0.0, 2020-2039, Ensemble (50th Percentile), Dec Anomaly, NPL
0.0, 2020-2039, Ensemble (90th Percentile), Jan Anomaly, NPL
0.0, 2020-2039, Ensemble (90th Percentile), Feb Anomaly, NPL
0.0, 2020-2039, Ensemble (90th Percentile), Mar Anomaly, NPL
7.9E-4, 2020-2039, Ensemble (90th Percentile), Apr Anomaly, NPL
0.1024, 2020-2039, Ensemble (90th Percentile), May Anomaly, NPL
0.64815, 2020-2039, Ensemble (90th Percentile), Jun Anomaly, NPL
0.94672, 2020-2039, Ensemble (90th Percentile), Jul Anomaly, NPL
0.30654, 2020-2039, Ensemble (90th Percentile), Aug Anomaly, NPL
0.05703, 2020-2039, Ensemble (90th Percentile), Sep Anomaly, NPL
1.7E-4, 2020-2039, Ensemble (90th Percentile), Oct Anomaly, NPL
0.0, 2020-2039, Ensemble (90th Percentile), Nov Anomaly, NPL
0.0, 2020-2039, Ensemble (90th Percentile), Dec Anomaly, NPL
-14.019, 2020-2039, access1_0, Annual Anomaly, NPL
-14.994, 2020-2039, access1_3, Annual Anomaly, NPL
0.08357, 2020-2039, bcc_csm1_1_m, Annual Anomaly, NPL
-10.695, 2020-2039, bnu_esm, Annual Anomaly, NPL
-7.9257, 2020-2039, cnrm_cm5, Annual Anomaly, NPL
-13.369, 2020-2039, gfdl_cm3, Annual Anomaly, NPL
-12.911, 2020-2039, gfdl_esm2g, Annual Anomaly, NPL
-13.018, 2020-2039, gfdl_esm2m, Annual Anomaly, NPL
-17.892, 2020-2039, hadgem2_cc, Annual Anomaly, NPL
-22.53, 2020-2039, inmcm4, Annual Anomaly, NPL
3.22441, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, NPL
-3.4664, 2020-2039, ipsl_cm5b_lr, Annual Anomaly, NPL
-3.5542, 2020-2039, miroc5, Annual Anomaly, NPL
-1.4463, 2020-2039, mri_cgcm3, Annual Anomaly, NPL
-7.8013, 2020-2039, noresm1_m, Annual Anomaly, NPL
-0.035, 2020-2039, Ensemble (10th Percentile), Annual Anomaly, NPL
0.022, 2020-2039, Ensemble (50th Percentile), Annual Anomaly, NPL
2.08477, 2020-2039, Ensemble (90th Percentile), Annual Anomaly, NPL
