Number of Days with Dangerous Heat (Heat Index > 35°C) - (Days), Year, Model, Statistics, ISO3
-6.0E-4, 2060-2079, access1_0, Mar Anomaly, NPL
-0.1416, 2060-2079, access1_0, Apr Anomaly, NPL
-1.0021, 2060-2079, access1_0, May Anomaly, NPL
-2.9731, 2060-2079, access1_0, Jun Anomaly, NPL
-3.5541, 2060-2079, access1_0, Jul Anomaly, NPL
-3.4423, 2060-2079, access1_0, Aug Anomaly, NPL
-1.7118, 2060-2079, access1_0, Sep Anomaly, NPL
-0.0563, 2060-2079, access1_0, Oct Anomaly, NPL
-0.0286, 2060-2079, access1_3, Apr Anomaly, NPL
-0.6443, 2060-2079, access1_3, May Anomaly, NPL
-2.6741, 2060-2079, access1_3, Jun Anomaly, NPL
-3.0033, 2060-2079, access1_3, Jul Anomaly, NPL
-3.4923, 2060-2079, access1_3, Aug Anomaly, NPL
-1.8399, 2060-2079, access1_3, Sep Anomaly, NPL
-0.0441, 2060-2079, access1_3, Oct Anomaly, NPL
0.01726, 2060-2079, bcc_csm1_1_m, Apr Anomaly, NPL
0.33779, 2060-2079, bcc_csm1_1_m, May Anomaly, NPL
0.90009, 2060-2079, bcc_csm1_1_m, Jun Anomaly, NPL
0.53055, 2060-2079, bcc_csm1_1_m, Jul Anomaly, NPL
0.27804, 2060-2079, bcc_csm1_1_m, Aug Anomaly, NPL
0.14052, 2060-2079, bcc_csm1_1_m, Sep Anomaly, NPL
0.01317, 2060-2079, bcc_csm1_1_m, Oct Anomaly, NPL
-0.0915, 2060-2079, bnu_esm, May Anomaly, NPL
-2.0322, 2060-2079, bnu_esm, Jun Anomaly, NPL
-3.276, 2060-2079, bnu_esm, Jul Anomaly, NPL
-3.2997, 2060-2079, bnu_esm, Aug Anomaly, NPL
-1.9264, 2060-2079, bnu_esm, Sep Anomaly, NPL
-0.0608, 2060-2079, bnu_esm, Oct Anomaly, NPL
0.00184, 2060-2079, cnrm_cm5, Apr Anomaly, NPL
-0.1663, 2060-2079, cnrm_cm5, May Anomaly, NPL
-1.9503, 2060-2079, cnrm_cm5, Jun Anomaly, NPL
