RAINFALL,YEAR,MONTH_STATISTICS,COUNTRY,ISO3
25.2,1991, Jan Average, Nepal, NPL
22.7,1991, Feb Average, Nepal, NPL
43.4,1991, Mar Average, Nepal, NPL
59.1,1991, Apr Average, Nepal, NPL
80.5,1991, May Average, Nepal, NPL
228.8,1991, Jun Average, Nepal, NPL
198.6,1991, Jul Average, Nepal, NPL
322.8,1991, Aug Average, Nepal, NPL
188,1991, Sep Average, Nepal, NPL
10,1991, Oct Average, Nepal, NPL
13.3,1991, Nov Average, Nepal, NPL
21.9,1991, Dec Average, Nepal, NPL
23.8,1992, Jan Average, Nepal, NPL
23,1992, Feb Average, Nepal, NPL
22.1,1992, Mar Average, Nepal, NPL
40.2,1992, Apr Average, Nepal, NPL
89.5,1992, May Average, Nepal, NPL
121.4,1992, Jun Average, Nepal, NPL
290.1,1992, Jul Average, Nepal, NPL
270,1992, Aug Average, Nepal, NPL
160.4,1992, Sep Average, Nepal, NPL
45.2,1992, Oct Average, Nepal, NPL
14.7,1992, Nov Average, Nepal, NPL
5.4,1992, Dec Average, Nepal, NPL
28.1,1993, Jan Average, Nepal, NPL
21.2,1993, Feb Average, Nepal, NPL
48.9,1993, Mar Average, Nepal, NPL
57.3,1993, Apr Average, Nepal, NPL
124.8,1993, May Average, Nepal, NPL
164.7,1993, Jun Average, Nepal, NPL
261.3,1993, Jul Average, Nepal, NPL
222,1993, Aug Average, Nepal, NPL
236.4,1993, Sep Average, Nepal, NPL
12.9,1993, Oct Average, Nepal, NPL
3.4,1993, Nov Average, Nepal, NPL
2.9,1993, Dec Average, Nepal, NPL
35.7,1994, Jan Average, Nepal, NPL
46.4,1994, Feb Average, Nepal, NPL
14.9,1994, Mar Average, Nepal, NPL
43,1994, Apr Average, Nepal, NPL
87.9,1994, May Average, Nepal, NPL
188.7,1994, Jun Average, Nepal, NPL
305.2,1994, Jul Average, Nepal, NPL
307.4,1994, Aug Average, Nepal, NPL
166.5,1994, Sep Average, Nepal, NPL
11.4,1994, Oct Average, Nepal, NPL
12.1,1994, Nov Average, Nepal, NPL
4.1,1994, Dec Average, Nepal, NPL
40.6,1995, Jan Average, Nepal, NPL
42.9,1995, Feb Average, Nepal, NPL
30.3,1995, Mar Average, Nepal, NPL
32.4,1995, Apr Average, Nepal, NPL
52.4,1995, May Average, Nepal, NPL
197.8,1995, Jun Average, Nepal, NPL
279.9,1995, Jul Average, Nepal, NPL
342.8,1995, Aug Average, Nepal, NPL
201.5,1995, Sep Average, Nepal, NPL
15.9,1995, Oct Average, Nepal, NPL
22.1,1995, Nov Average, Nepal, NPL
18.2,1995, Dec Average, Nepal, NPL
56.8,1996, Jan Average, Nepal, NPL
39,1996, Feb Average, Nepal, NPL
23.8,1996, Mar Average, Nepal, NPL
40.6,1996, Apr Average, Nepal, NPL
47.6,1996, May Average, Nepal, NPL
243.9,1996, Jun Average, Nepal, NPL
311.2,1996, Jul Average, Nepal, NPL
310.7,1996, Aug Average, Nepal, NPL
164.2,1996, Sep Average, Nepal, NPL
65.3,1996, Oct Average, Nepal, NPL
1.8,1996, Nov Average, Nepal, NPL
3,1996, Dec Average, Nepal, NPL
27.5,1997, Jan Average, Nepal, NPL
12.1,1997, Feb Average, Nepal, NPL
28,1997, Mar Average, Nepal, NPL
133.9,1997, Apr Average, Nepal, NPL
109,1997, May Average, Nepal, NPL
194.5,1997, Jun Average, Nepal, NPL
347.9,1997, Jul Average, Nepal, NPL
270.4,1997, Aug Average, Nepal, NPL
242.6,1997, Sep Average, Nepal, NPL
33.3,1997, Oct Average, Nepal, NPL
11.7,1997, Nov Average, Nepal, NPL
97.9,1997, Dec Average, Nepal, NPL
4.5,1998, Jan Average, Nepal, NPL
25.1,1998, Feb Average, Nepal, NPL
68.9,1998, Mar Average, Nepal, NPL
70.1,1998, Apr Average, Nepal, NPL
87.4,1998, May Average, Nepal, NPL
191.3,1998, Jun Average, Nepal, NPL
406.3,1998, Jul Average, Nepal, NPL
398,1998, Aug Average, Nepal, NPL
197.1,1998, Sep Average, Nepal, NPL
51.1,1998, Oct Average, Nepal, NPL
12.8,1998, Nov Average, Nepal, NPL
3.2,1998, Dec Average, Nepal, NPL
18,1999, Jan Average, Nepal, NPL
15.8,1999, Feb Average, Nepal, NPL
8.2,1999, Mar Average, Nepal, NPL
21.9,1999, Apr Average, Nepal, NPL
141.8,1999, May Average, Nepal, NPL
203.5,1999, Jun Average, Nepal, NPL
466.5,1999, Jul Average, Nepal, NPL
322.2,1999, Aug Average, Nepal, NPL
261.9,1999, Sep Average, Nepal, NPL
94.6,1999, Oct Average, Nepal, NPL
2.6,1999, Nov Average, Nepal, NPL
8.3,1999, Dec Average, Nepal, NPL
9.5,2000, Jan Average, Nepal, NPL
32.4,2000, Feb Average, Nepal, NPL
23.1,2000, Mar Average, Nepal, NPL
55.5,2000, Apr Average, Nepal, NPL
207.9,2000, May Average, Nepal, NPL
247.4,2000, Jun Average, Nepal, NPL
329,2000, Jul Average, Nepal, NPL
335.8,2000, Aug Average, Nepal, NPL
224.8,2000, Sep Average, Nepal, NPL
9.9,2000, Oct Average, Nepal, NPL
4,2000, Nov Average, Nepal, NPL
4,2000, Dec Average, Nepal, NPL
14.1,2001, Jan Average, Nepal, NPL
21.4,2001, Feb Average, Nepal, NPL
17,2001, Mar Average, Nepal, NPL
58.8,2001, Apr Average, Nepal, NPL
233.2,2001, May Average, Nepal, NPL
215.2,2001, Jun Average, Nepal, NPL
406.4,2001, Jul Average, Nepal, NPL
278,2001, Aug Average, Nepal, NPL
128.9,2001, Sep Average, Nepal, NPL
38.5,2001, Oct Average, Nepal, NPL
4.1,2001, Nov Average, Nepal, NPL
6.1,2001, Dec Average, Nepal, NPL
30,2002, Jan Average, Nepal, NPL
45.7,2002, Feb Average, Nepal, NPL
64.3,2002, Mar Average, Nepal, NPL
65.8,2002, Apr Average, Nepal, NPL
94.7,2002, May Average, Nepal, NPL
139.8,2002, Jun Average, Nepal, NPL
360.5,2002, Jul Average, Nepal, NPL
366.1,2002, Aug Average, Nepal, NPL
199.1,2002, Sep Average, Nepal, NPL
56.6,2002, Oct Average, Nepal, NPL
18.5,2002, Nov Average, Nepal, NPL
6.6,2002, Dec Average, Nepal, NPL
29.5,2003, Jan Average, Nepal, NPL
84.9,2003, Feb Average, Nepal, NPL
50.1,2003, Mar Average, Nepal, NPL
37.6,2003, Apr Average, Nepal, NPL
45.5,2003, May Average, Nepal, NPL
171,2003, Jun Average, Nepal, NPL
411.8,2003, Jul Average, Nepal, NPL
239.6,2003, Aug Average, Nepal, NPL
291.9,2003, Sep Average, Nepal, NPL
34.3,2003, Oct Average, Nepal, NPL
8.5,2003, Nov Average, Nepal, NPL
24.6,2003, Dec Average, Nepal, NPL
19,2004, Jan Average, Nepal, NPL
11,2004, Feb Average, Nepal, NPL
24.7,2004, Mar Average, Nepal, NPL
66.1,2004, Apr Average, Nepal, NPL
143.2,2004, May Average, Nepal, NPL
193.1,2004, Jun Average, Nepal, NPL
416.5,2004, Jul Average, Nepal, NPL
201.4,2004, Aug Average, Nepal, NPL
199.3,2004, Sep Average, Nepal, NPL
77.5,2004, Oct Average, Nepal, NPL
26.3,2004, Nov Average, Nepal, NPL
7.7,2004, Dec Average, Nepal, NPL
34.4,2005, Jan Average, Nepal, NPL
32,2005, Feb Average, Nepal, NPL
50.6,2005, Mar Average, Nepal, NPL
29.6,2005, Apr Average, Nepal, NPL
60.4,2005, May Average, Nepal, NPL
134.3,2005, Jun Average, Nepal, NPL
306.7,2005, Jul Average, Nepal, NPL
238.7,2005, Aug Average, Nepal, NPL
178.4,2005, Sep Average, Nepal, NPL
66,2005, Oct Average, Nepal, NPL
3.6,2005, Nov Average, Nepal, NPL
10,2005, Dec Average, Nepal, NPL
7.4,2006, Jan Average, Nepal, NPL
9.5,2006, Feb Average, Nepal, NPL
36.3,2006, Mar Average, Nepal, NPL
92.2,2006, Apr Average, Nepal, NPL
141.8,2006, May Average, Nepal, NPL
184.6,2006, Jun Average, Nepal, NPL
334.7,2006, Jul Average, Nepal, NPL
204,2006, Aug Average, Nepal, NPL
180.3,2006, Sep Average, Nepal, NPL
37.6,2006, Oct Average, Nepal, NPL
18.4,2006, Nov Average, Nepal, NPL
15,2006, Dec Average, Nepal, NPL
5,2007, Jan Average, Nepal, NPL
80.1,2007, Feb Average, Nepal, NPL
