Number of Tropical Nights  (Tmin > 20°C) - (Days), Year, Model, Statistics, ISO3
0.02615, 2040-2059, bcc_csm1_1_m, Feb Anomaly, NPL
0.14476, 2040-2059, bcc_csm1_1_m, Mar Anomaly, NPL
1.38202, 2040-2059, bcc_csm1_1_m, Apr Anomaly, NPL
2.27392, 2040-2059, bcc_csm1_1_m, May Anomaly, NPL
1.93609, 2040-2059, bcc_csm1_1_m, Jun Anomaly, NPL
2.57976, 2040-2059, bcc_csm1_1_m, Jul Anomaly, NPL
2.3566, 2040-2059, bcc_csm1_1_m, Aug Anomaly, NPL
1.3246, 2040-2059, bcc_csm1_1_m, Sep Anomaly, NPL
1.12323, 2040-2059, bcc_csm1_1_m, Oct Anomaly, NPL
0.2369, 2040-2059, bcc_csm1_1_m, Nov Anomaly, NPL
7.2E-4, 2040-2059, bcc_csm1_1_m, Dec Anomaly, NPL
-2.0E-4, 2040-2059, bcc_csm1_1, Jan Anomaly, NPL
0.00848, 2040-2059, bcc_csm1_1, Feb Anomaly, NPL
0.18075, 2040-2059, bcc_csm1_1, Mar Anomaly, NPL
1.12419, 2040-2059, bcc_csm1_1, Apr Anomaly, NPL
1.9696, 2040-2059, bcc_csm1_1, May Anomaly, NPL
1.39531, 2040-2059, bcc_csm1_1, Jun Anomaly, NPL
0.42246, 2040-2059, bcc_csm1_1, Jul Anomaly, NPL
1.26966, 2040-2059, bcc_csm1_1, Aug Anomaly, NPL
2.08359, 2040-2059, bcc_csm1_1, Sep Anomaly, NPL
0.83315, 2040-2059, bcc_csm1_1, Oct Anomaly, NPL
0.14685, 2040-2059, bcc_csm1_1, Nov Anomaly, NPL
0.00169, 2040-2059, bcc_csm1_1, Dec Anomaly, NPL
0.0992, 2040-2059, bnu_esm, Mar Anomaly, NPL
0.74936, 2040-2059, bnu_esm, Apr Anomaly, NPL
1.9851, 2040-2059, bnu_esm, May Anomaly, NPL
1.90394, 2040-2059, bnu_esm, Jun Anomaly, NPL
0.71635, 2040-2059, bnu_esm, Jul Anomaly, NPL
1.01728, 2040-2059, bnu_esm, Aug Anomaly, NPL
3.7753, 2040-2059, bnu_esm, Sep Anomaly, NPL
1.74422, 2040-2059, bnu_esm, Oct Anomaly, NPL
0.03709, 2040-2059, bnu_esm, Nov Anomaly, NPL
-8.0E-4, 2040-2059, bnu_esm, Dec Anomaly, NPL
0.00436, 2040-2059, canesm2, Jan Anomaly, NPL
-0.0027, 2040-2059, canesm2, Feb Anomaly, NPL
0.14634, 2040-2059, canesm2, Mar Anomaly, NPL
1.32236, 2040-2059, canesm2, Apr Anomaly, NPL
2.99275, 2040-2059, canesm2, May Anomaly, NPL
1.82197, 2040-2059, canesm2, Jun Anomaly, NPL
1.92072, 2040-2059, canesm2, Jul Anomaly, NPL
2.33432, 2040-2059, canesm2, Aug Anomaly, NPL
1.93279, 2040-2059, canesm2, Sep Anomaly, NPL
3.58425, 2040-2059, canesm2, Oct Anomaly, NPL
0.07871, 2040-2059, canesm2, Nov Anomaly, NPL
0.03108, 2040-2059, canesm2, Dec Anomaly, NPL
0.12418, 2040-2059, ccsm4, Mar Anomaly, NPL
1.88717, 2040-2059, ccsm4, Apr Anomaly, NPL
3.28151, 2040-2059, ccsm4, May Anomaly, NPL
2.24958, 2040-2059, ccsm4, Jun Anomaly, NPL
2.24644, 2040-2059, ccsm4, Jul Anomaly, NPL
2.97043, 2040-2059, ccsm4, Aug Anomaly, NPL
2.43785, 2040-2059, ccsm4, Sep Anomaly, NPL
0.57204, 2040-2059, ccsm4, Oct Anomaly, NPL
0.02621, 2040-2059, ccsm4, Nov Anomaly, NPL
1.9E-4, 2040-2059, cesm1_cam5, Jan Anomaly, NPL
-1.0E-4, 2040-2059, cesm1_cam5, Feb Anomaly, NPL
0.20715, 2040-2059, cesm1_cam5, Mar Anomaly, NPL
1.42445, 2040-2059, cesm1_cam5, Apr Anomaly, NPL
3.54084, 2040-2059, cesm1_cam5, May Anomaly, NPL
2.04488, 2040-2059, cesm1_cam5, Jun Anomaly, NPL
1.65517, 2040-2059, cesm1_cam5, Jul Anomaly, NPL
1.79258, 2040-2059, cesm1_cam5, Aug Anomaly, NPL
2.95255, 2040-2059, cesm1_cam5, Sep Anomaly, NPL
2.0801, 2040-2059, cesm1_cam5, Oct Anomaly, NPL
0.08863, 2040-2059, cesm1_cam5, Nov Anomaly, NPL
0.00679, 2040-2059, cesm1_cam5, Dec Anomaly, NPL
-7.0E-4, 2040-2059, cnrm_cm5, Jan Anomaly, NPL
0.00578, 2040-2059, cnrm_cm5, Feb Anomaly, NPL
0.19854, 2040-2059, cnrm_cm5, Mar Anomaly, NPL
1.29218, 2040-2059, cnrm_cm5, Apr Anomaly, NPL
2.86174, 2040-2059, cnrm_cm5, May Anomaly, NPL
1.66567, 2040-2059, cnrm_cm5, Jun Anomaly, NPL
1.00898, 2040-2059, cnrm_cm5, Jul Anomaly, NPL
1.06527, 2040-2059, cnrm_cm5, Aug Anomaly, NPL
1.59903, 2040-2059, cnrm_cm5, Sep Anomaly, NPL
1.21419, 2040-2059, cnrm_cm5, Oct Anomaly, NPL
-0.0045, 2040-2059, cnrm_cm5, Nov Anomaly, NPL
-3.0E-4, 2040-2059, cnrm_cm5, Dec Anomaly, NPL
0.06743, 2040-2059, csiro_mk3_6_0, Mar Anomaly, NPL
1.27392, 2040-2059, csiro_mk3_6_0, Apr Anomaly, NPL
3.10413, 2040-2059, csiro_mk3_6_0, May Anomaly, NPL
1.27467, 2040-2059, csiro_mk3_6_0, Jun Anomaly, NPL
0.24619, 2040-2059, csiro_mk3_6_0, Jul Anomaly, NPL
1.59599, 2040-2059, csiro_mk3_6_0, Aug Anomaly, NPL
3.3477, 2040-2059, csiro_mk3_6_0, Sep Anomaly, NPL
1.40853, 2040-2059, csiro_mk3_6_0, Oct Anomaly, NPL
0.07863, 2040-2059, csiro_mk3_6_0, Nov Anomaly, NPL
0.01594, 2040-2059, gfdl_cm3, Feb Anomaly, NPL
0.30275, 2040-2059, gfdl_cm3, Mar Anomaly, NPL
1.62603, 2040-2059, gfdl_cm3, Apr Anomaly, NPL
4.65821, 2040-2059, gfdl_cm3, May Anomaly, NPL
3.73561, 2040-2059, gfdl_cm3, Jun Anomaly, NPL
3.11922, 2040-2059, gfdl_cm3, Jul Anomaly, NPL
3.85994, 2040-2059, gfdl_cm3, Aug Anomaly, NPL
4.56812, 2040-2059, gfdl_cm3, Sep Anomaly, NPL
2.84658, 2040-2059, gfdl_cm3, Oct Anomaly, NPL
0.31566, 2040-2059, gfdl_cm3, Nov Anomaly, NPL
0.00642, 2040-2059, gfdl_cm3, Dec Anomaly, NPL
9.8E-4, 2040-2059, gfdl_esm2g, Feb Anomaly, NPL
0.33748, 2040-2059, gfdl_esm2g, Mar Anomaly, NPL
0.28962, 2040-2059, gfdl_esm2g, Apr Anomaly, NPL
0.95631, 2040-2059, gfdl_esm2g, May Anomaly, NPL
1.19702, 2040-2059, gfdl_esm2g, Jun Anomaly, NPL
0.58415, 2040-2059, gfdl_esm2g, Jul Anomaly, NPL
0.41056, 2040-2059, gfdl_esm2g, Aug Anomaly, NPL
1.3733, 2040-2059, gfdl_esm2g, Sep Anomaly, NPL
0.55792, 2040-2059, gfdl_esm2g, Oct Anomaly, NPL
0.08682, 2040-2059, gfdl_esm2g, Nov Anomaly, NPL
4.2E-4, 2040-2059, gfdl_esm2g, Dec Anomaly, NPL
0.09524, 2040-2059, gfdl_esm2m, Mar Anomaly, NPL
0.49457, 2040-2059, gfdl_esm2m, Apr Anomaly, NPL
1.93824, 2040-2059, gfdl_esm2m, May Anomaly, NPL
1.45776, 2040-2059, gfdl_esm2m, Jun Anomaly, NPL
0.52918, 2040-2059, gfdl_esm2m, Jul Anomaly, NPL
0.63389, 2040-2059, gfdl_esm2m, Aug Anomaly, NPL
2.11916, 2040-2059, gfdl_esm2m, Sep Anomaly, NPL
1.28729, 2040-2059, gfdl_esm2m, Oct Anomaly, NPL
0.02843, 2040-2059, gfdl_esm2m, Nov Anomaly, NPL
1.7E-4, 2040-2059, hadgem2_ao, Feb Anomaly, NPL
0.12275, 2040-2059, hadgem2_ao, Mar Anomaly, NPL
0.0577, 2040-2059, hadgem2_ao, Apr Anomaly, NPL
1.10665, 2040-2059, hadgem2_ao, May Anomaly, NPL
1.48586, 2040-2059, hadgem2_ao, Jun Anomaly, NPL
0.80247, 2040-2059, hadgem2_ao, Jul Anomaly, NPL
0.96529, 2040-2059, hadgem2_ao, Aug Anomaly, NPL
2.93748, 2040-2059, hadgem2_ao, Sep Anomaly, NPL
0.69285, 2040-2059, hadgem2_ao, Oct Anomaly, NPL
0.0165, 2040-2059, hadgem2_ao, Nov Anomaly, NPL
2.4E-4, 2040-2059, hadgem2_es, Feb Anomaly, NPL
0.20177, 2040-2059, hadgem2_es, Mar Anomaly, NPL
0.97605, 2040-2059, hadgem2_es, Apr Anomaly, NPL
1.67478, 2040-2059, hadgem2_es, May Anomaly, NPL
1.942, 2040-2059, hadgem2_es, Jun Anomaly, NPL
1.14743, 2040-2059, hadgem2_es, Jul Anomaly, NPL
0.99555, 2040-2059, hadgem2_es, Aug Anomaly, NPL
3.83841, 2040-2059, hadgem2_es, Sep Anomaly, NPL
0.82178, 2040-2059, hadgem2_es, Oct Anomaly, NPL
0.01918, 2040-2059, hadgem2_es, Nov Anomaly, NPL
0.07223, 2040-2059, ipsl_cm5a_lr, Mar Anomaly, NPL
0.39969, 2040-2059, ipsl_cm5a_lr, Apr Anomaly, NPL
0.96059, 2040-2059, ipsl_cm5a_lr, May Anomaly, NPL
2.32724, 2040-2059, ipsl_cm5a_lr, Jun Anomaly, NPL
1.9439, 2040-2059, ipsl_cm5a_lr, Jul Anomaly, NPL
2.15911, 2040-2059, ipsl_cm5a_lr, Aug Anomaly, NPL
2.95924, 2040-2059, ipsl_cm5a_lr, Sep Anomaly, NPL
1.24503, 2040-2059, ipsl_cm5a_lr, Oct Anomaly, NPL
0.09125, 2040-2059, ipsl_cm5a_lr, Nov Anomaly, NPL
0.1758, 2040-2059, ipsl_cm5a_mr, Mar Anomaly, NPL
0.83223, 2040-2059, ipsl_cm5a_mr, Apr Anomaly, NPL
1.23241, 2040-2059, ipsl_cm5a_mr, May Anomaly, NPL
2.0672, 2040-2059, ipsl_cm5a_mr, Jun Anomaly, NPL
3.84979, 2040-2059, ipsl_cm5a_mr, Jul Anomaly, NPL
4.45465, 2040-2059, ipsl_cm5a_mr, Aug Anomaly, NPL
3.94942, 2040-2059, ipsl_cm5a_mr, Sep Anomaly, NPL
1.72581, 2040-2059, ipsl_cm5a_mr, Oct Anomaly, NPL
0.16078, 2040-2059, ipsl_cm5a_mr, Nov Anomaly, NPL
0.20648, 2040-2059, miroc5, Mar Anomaly, NPL
1.54782, 2040-2059, miroc5, Apr Anomaly, NPL
3.38287, 2040-2059, miroc5, May Anomaly, NPL
3.02235, 2040-2059, miroc5, Jun Anomaly, NPL
2.73501, 2040-2059, miroc5, Jul Anomaly, NPL
3.99265, 2040-2059, miroc5, Aug Anomaly, NPL
1.82634, 2040-2059, miroc5, Sep Anomaly, NPL
1.61469, 2040-2059, miroc5, Oct Anomaly, NPL
0.08371, 2040-2059, miroc5, Nov Anomaly, NPL
2.4E-4, 2040-2059, miroc_esm_chem, Jan Anomaly, NPL
0.00316, 2040-2059, miroc_esm_chem, Feb Anomaly, NPL
0.13021, 2040-2059, miroc_esm_chem, Mar Anomaly, NPL
