Number of Tropical Nights  (Tmin > 20°C) - (Days), Year, Model, Statistics, ISO3
3.8E-4, 2020-2039, access1_0, Feb Anomaly, NPL
0.10001, 2020-2039, access1_0, Mar Anomaly, NPL
0.54759, 2020-2039, access1_0, Apr Anomaly, NPL
1.15177, 2020-2039, access1_0, May Anomaly, NPL
1.74022, 2020-2039, access1_0, Jun Anomaly, NPL
1.4034, 2020-2039, access1_0, Jul Anomaly, NPL
1.92967, 2020-2039, access1_0, Aug Anomaly, NPL
2.5271, 2020-2039, access1_0, Sep Anomaly, NPL
0.316, 2020-2039, access1_0, Oct Anomaly, NPL
0.00256, 2020-2039, access1_0, Nov Anomaly, NPL
0.01052, 2020-2039, access1_3, Mar Anomaly, NPL
0.35342, 2020-2039, access1_3, Apr Anomaly, NPL
1.2835, 2020-2039, access1_3, May Anomaly, NPL
1.81878, 2020-2039, access1_3, Jun Anomaly, NPL
1.23148, 2020-2039, access1_3, Jul Anomaly, NPL
1.03852, 2020-2039, access1_3, Aug Anomaly, NPL
2.64626, 2020-2039, access1_3, Sep Anomaly, NPL
0.80557, 2020-2039, access1_3, Oct Anomaly, NPL
0.03694, 2020-2039, access1_3, Nov Anomaly, NPL
-0.0045, 2020-2039, bcc_csm1_1_m, Feb Anomaly, NPL
0.24074, 2020-2039, bcc_csm1_1_m, Mar Anomaly, NPL
1.25895, 2020-2039, bcc_csm1_1_m, Apr Anomaly, NPL
2.35636, 2020-2039, bcc_csm1_1_m, May Anomaly, NPL
1.43131, 2020-2039, bcc_csm1_1_m, Jun Anomaly, NPL
2.056, 2020-2039, bcc_csm1_1_m, Jul Anomaly, NPL
1.915, 2020-2039, bcc_csm1_1_m, Aug Anomaly, NPL
0.59312, 2020-2039, bcc_csm1_1_m, Sep Anomaly, NPL
1.09709, 2020-2039, bcc_csm1_1_m, Oct Anomaly, NPL
0.17043, 2020-2039, bcc_csm1_1_m, Nov Anomaly, NPL
7.2E-4, 2020-2039, bcc_csm1_1, Feb Anomaly, NPL
0.04337, 2020-2039, bcc_csm1_1, Mar Anomaly, NPL
0.60696, 2020-2039, bcc_csm1_1, Apr Anomaly, NPL
1.19739, 2020-2039, bcc_csm1_1, May Anomaly, NPL
0.83404, 2020-2039, bcc_csm1_1, Jun Anomaly, NPL
0.44425, 2020-2039, bcc_csm1_1, Jul Anomaly, NPL
1.71115, 2020-2039, bcc_csm1_1, Aug Anomaly, NPL
2.12926, 2020-2039, bcc_csm1_1, Sep Anomaly, NPL
0.81142, 2020-2039, bcc_csm1_1, Oct Anomaly, NPL
0.17399, 2020-2039, bcc_csm1_1, Nov Anomaly, NPL
-1.0E-4, 2020-2039, bcc_csm1_1, Dec Anomaly, NPL
0.05618, 2020-2039, bnu_esm, Mar Anomaly, NPL
0.43039, 2020-2039, bnu_esm, Apr Anomaly, NPL
1.64712, 2020-2039, bnu_esm, May Anomaly, NPL
1.41241, 2020-2039, bnu_esm, Jun Anomaly, NPL
0.74039, 2020-2039, bnu_esm, Jul Anomaly, NPL
0.72728, 2020-2039, bnu_esm, Aug Anomaly, NPL
3.30463, 2020-2039, bnu_esm, Sep Anomaly, NPL
1.92639, 2020-2039, bnu_esm, Oct Anomaly, NPL
0.16374, 2020-2039, bnu_esm, Nov Anomaly, NPL
-0.0011, 2020-2039, bnu_esm, Dec Anomaly, NPL
-0.0015, 2020-2039, canesm2, Feb Anomaly, NPL
0.12545, 2020-2039, canesm2, Mar Anomaly, NPL
0.79134, 2020-2039, canesm2, Apr Anomaly, NPL
2.02837, 2020-2039, canesm2, May Anomaly, NPL
1.77834, 2020-2039, canesm2, Jun Anomaly, NPL
1.66604, 2020-2039, canesm2, Jul Anomaly, NPL
