Number of Tropical Nights  (Tmin > 20°C) - (Days), Year, Model, Statistics, ISO3
-0.002, 2060-2079, bcc_csm1_1_m, Feb Anomaly, NPL
0.30073, 2060-2079, bcc_csm1_1_m, Mar Anomaly, NPL
1.4355, 2060-2079, bcc_csm1_1_m, Apr Anomaly, NPL
2.32502, 2060-2079, bcc_csm1_1_m, May Anomaly, NPL
2.29741, 2060-2079, bcc_csm1_1_m, Jun Anomaly, NPL
2.40427, 2060-2079, bcc_csm1_1_m, Jul Anomaly, NPL
2.42338, 2060-2079, bcc_csm1_1_m, Aug Anomaly, NPL
1.12518, 2060-2079, bcc_csm1_1_m, Sep Anomaly, NPL
0.96005, 2060-2079, bcc_csm1_1_m, Oct Anomaly, NPL
0.25195, 2060-2079, bcc_csm1_1_m, Nov Anomaly, NPL
9.2E-4, 2060-2079, bcc_csm1_1_m, Dec Anomaly, NPL
1.2E-4, 2060-2079, bcc_csm1_1, Jan Anomaly, NPL
0.00858, 2060-2079, bcc_csm1_1, Feb Anomaly, NPL
0.08666, 2060-2079, bcc_csm1_1, Mar Anomaly, NPL
1.11157, 2060-2079, bcc_csm1_1, Apr Anomaly, NPL
1.75165, 2060-2079, bcc_csm1_1, May Anomaly, NPL
1.78164, 2060-2079, bcc_csm1_1, Jun Anomaly, NPL
0.71378, 2060-2079, bcc_csm1_1, Jul Anomaly, NPL
1.44548, 2060-2079, bcc_csm1_1, Aug Anomaly, NPL
2.26986, 2060-2079, bcc_csm1_1, Sep Anomaly, NPL
0.8117, 2060-2079, bcc_csm1_1, Oct Anomaly, NPL
0.13805, 2060-2079, bcc_csm1_1, Nov Anomaly, NPL
0.02126, 2060-2079, bcc_csm1_1, Dec Anomaly, NPL
0.10928, 2060-2079, bnu_esm, Mar Anomaly, NPL
0.82467, 2060-2079, bnu_esm, Apr Anomaly, NPL
1.99692, 2060-2079, bnu_esm, May Anomaly, NPL
1.82018, 2060-2079, bnu_esm, Jun Anomaly, NPL
0.79932, 2060-2079, bnu_esm, Jul Anomaly, NPL
0.67245, 2060-2079, bnu_esm, Aug Anomaly, NPL
3.3161, 2060-2079, bnu_esm, Sep Anomaly, NPL
1.86992, 2060-2079, bnu_esm, Oct Anomaly, NPL
0.14815, 2060-2079, bnu_esm, Nov Anomaly, NPL
-0.001, 2060-2079, bnu_esm, Dec Anomaly, NPL
0.00316, 2060-2079, canesm2, Jan Anomaly, NPL
0.00578, 2060-2079, canesm2, Feb Anomaly, NPL
0.20766, 2060-2079, canesm2, Mar Anomaly, NPL
1.42729, 2060-2079, canesm2, Apr Anomaly, NPL
2.97444, 2060-2079, canesm2, May Anomaly, NPL
2.29143, 2060-2079, canesm2, Jun Anomaly, NPL
1.95625, 2060-2079, canesm2, Jul Anomaly, NPL
2.2647, 2060-2079, canesm2, Aug Anomaly, NPL
2.38544, 2060-2079, canesm2, Sep Anomaly, NPL
3.3577, 2060-2079, canesm2, Oct Anomaly, NPL
0.10925, 2060-2079, canesm2, Nov Anomaly, NPL
0.02611, 2060-2079, canesm2, Dec Anomaly, NPL
0.04857, 2060-2079, ccsm4, Mar Anomaly, NPL
1.383, 2060-2079, ccsm4, Apr Anomaly, NPL
3.37611, 2060-2079, ccsm4, May Anomaly, NPL
2.14332, 2060-2079, ccsm4, Jun Anomaly, NPL
2.10365, 2060-2079, ccsm4, Jul Anomaly, NPL
2.89013, 2060-2079, ccsm4, Aug Anomaly, NPL
2.53767, 2060-2079, ccsm4, Sep Anomaly, NPL
0.44732, 2060-2079, ccsm4, Oct Anomaly, NPL
