Number of Tropical Nights  (Tmin > 20°C) - (Days), Year, Model, Statistics, ISO3
0.11384, 2040-2059, access1_0, Mar Anomaly, NPL
1.08497, 2040-2059, access1_0, Apr Anomaly, NPL
2.13412, 2040-2059, access1_0, May Anomaly, NPL
3.38234, 2040-2059, access1_0, Jun Anomaly, NPL
2.12287, 2040-2059, access1_0, Jul Anomaly, NPL
2.54557, 2040-2059, access1_0, Aug Anomaly, NPL
4.49999, 2040-2059, access1_0, Sep Anomaly, NPL
0.99598, 2040-2059, access1_0, Oct Anomaly, NPL
0.04243, 2040-2059, access1_0, Nov Anomaly, NPL
0.05369, 2040-2059, access1_3, Mar Anomaly, NPL
0.60518, 2040-2059, access1_3, Apr Anomaly, NPL
1.84899, 2040-2059, access1_3, May Anomaly, NPL
2.47208, 2040-2059, access1_3, Jun Anomaly, NPL
1.62265, 2040-2059, access1_3, Jul Anomaly, NPL
1.33224, 2040-2059, access1_3, Aug Anomaly, NPL
3.74288, 2040-2059, access1_3, Sep Anomaly, NPL
1.20267, 2040-2059, access1_3, Oct Anomaly, NPL
0.05081, 2040-2059, access1_3, Nov Anomaly, NPL
-0.0017, 2040-2059, bcc_csm1_1_m, Feb Anomaly, NPL
0.61398, 2040-2059, bcc_csm1_1_m, Mar Anomaly, NPL
2.02169, 2040-2059, bcc_csm1_1_m, Apr Anomaly, NPL
4.12399, 2040-2059, bcc_csm1_1_m, May Anomaly, NPL
2.03752, 2040-2059, bcc_csm1_1_m, Jun Anomaly, NPL
2.54654, 2040-2059, bcc_csm1_1_m, Jul Anomaly, NPL
2.96524, 2040-2059, bcc_csm1_1_m, Aug Anomaly, NPL
1.97663, 2040-2059, bcc_csm1_1_m, Sep Anomaly, NPL
1.2273, 2040-2059, bcc_csm1_1_m, Oct Anomaly, NPL
0.19749, 2040-2059, bcc_csm1_1_m, Nov Anomaly, NPL
-1.0E-4, 2040-2059, bcc_csm1_1, Jan Anomaly, NPL
-3.0E-4, 2040-2059, bcc_csm1_1, Feb Anomaly, NPL
0.06452, 2040-2059, bcc_csm1_1, Mar Anomaly, NPL
1.3455, 2040-2059, bcc_csm1_1, Apr Anomaly, NPL
2.75324, 2040-2059, bcc_csm1_1, May Anomaly, NPL
1.67463, 2040-2059, bcc_csm1_1, Jun Anomaly, NPL
0.80378, 2040-2059, bcc_csm1_1, Jul Anomaly, NPL
2.30041, 2040-2059, bcc_csm1_1, Aug Anomaly, NPL
2.86853, 2040-2059, bcc_csm1_1, Sep Anomaly, NPL
1.58209, 2040-2059, bcc_csm1_1, Oct Anomaly, NPL
0.36319, 2040-2059, bcc_csm1_1, Nov Anomaly, NPL
0.00745, 2040-2059, bcc_csm1_1, Dec Anomaly, NPL
0.12025, 2040-2059, bnu_esm, Mar Anomaly, NPL
0.72899, 2040-2059, bnu_esm, Apr Anomaly, NPL
1.72399, 2040-2059, bnu_esm, May Anomaly, NPL
1.88151, 2040-2059, bnu_esm, Jun Anomaly, NPL
0.91565, 2040-2059, bnu_esm, Jul Anomaly, NPL
1.19482, 2040-2059, bnu_esm, Aug Anomaly, NPL
4.07975, 2040-2059, bnu_esm, Sep Anomaly, NPL
2.24316, 2040-2059, bnu_esm, Oct Anomaly, NPL
