Number of Tropical Nights  (Tmin > 20°C) - (Days), Year, Model, Statistics, ISO3
-0.0045, 2020-2039, bcc_csm1_1_m, Feb Anomaly, NPL
0.20828, 2020-2039, bcc_csm1_1_m, Mar Anomaly, NPL
1.30865, 2020-2039, bcc_csm1_1_m, Apr Anomaly, NPL
1.95587, 2020-2039, bcc_csm1_1_m, May Anomaly, NPL
0.92155, 2020-2039, bcc_csm1_1_m, Jun Anomaly, NPL
1.58955, 2020-2039, bcc_csm1_1_m, Jul Anomaly, NPL
1.72289, 2020-2039, bcc_csm1_1_m, Aug Anomaly, NPL
0.16843, 2020-2039, bcc_csm1_1_m, Sep Anomaly, NPL
0.52124, 2020-2039, bcc_csm1_1_m, Oct Anomaly, NPL
0.15464, 2020-2039, bcc_csm1_1_m, Nov Anomaly, NPL
1.7E-4, 2020-2039, bcc_csm1_1_m, Dec Anomaly, NPL
-2.0E-4, 2020-2039, bcc_csm1_1, Feb Anomaly, NPL
-0.0331, 2020-2039, bcc_csm1_1, Mar Anomaly, NPL
1.01595, 2020-2039, bcc_csm1_1, Apr Anomaly, NPL
1.34965, 2020-2039, bcc_csm1_1, May Anomaly, NPL
0.82563, 2020-2039, bcc_csm1_1, Jun Anomaly, NPL
0.27827, 2020-2039, bcc_csm1_1, Jul Anomaly, NPL
0.97121, 2020-2039, bcc_csm1_1, Aug Anomaly, NPL
1.86028, 2020-2039, bcc_csm1_1, Sep Anomaly, NPL
0.7554, 2020-2039, bcc_csm1_1, Oct Anomaly, NPL
0.17325, 2020-2039, bcc_csm1_1, Nov Anomaly, NPL
0.00954, 2020-2039, bcc_csm1_1, Dec Anomaly, NPL
0.08415, 2020-2039, bnu_esm, Mar Anomaly, NPL
0.74931, 2020-2039, bnu_esm, Apr Anomaly, NPL
1.99467, 2020-2039, bnu_esm, May Anomaly, NPL
1.48404, 2020-2039, bnu_esm, Jun Anomaly, NPL
0.64945, 2020-2039, bnu_esm, Jul Anomaly, NPL
0.7593, 2020-2039, bnu_esm, Aug Anomaly, NPL
2.93737, 2020-2039, bnu_esm, Sep Anomaly, NPL
1.03884, 2020-2039, bnu_esm, Oct Anomaly, NPL
0.04299, 2020-2039, bnu_esm, Nov Anomaly, NPL
-0.0012, 2020-2039, bnu_esm, Dec Anomaly, NPL
0.00307, 2020-2039, canesm2, Jan Anomaly, NPL
0.01414, 2020-2039, canesm2, Feb Anomaly, NPL
0.14249, 2020-2039, canesm2, Mar Anomaly, NPL
0.654, 2020-2039, canesm2, Apr Anomaly, NPL
