 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    51.0    33.1    41.2    24.5   124.2   155.0   249.7   351.7   139.0    23.1     9.0    13.0   189.8   756.3   171.2    37.7  1214.3
 1902     9.7    15.1    65.0    70.3    92.4   152.3   347.2   256.8   292.1    41.1     5.2     7.3   227.8   756.4   338.4    43.5  1354.7
 1903    20.4    15.8    35.6    28.7    47.6   214.2   197.7   274.1   161.2    98.9     5.0     8.2   111.9   686.0   265.1    39.9  1107.4
 1904    14.9    16.8    35.3    24.5   131.4   198.6   320.4   444.3   139.8    70.1    12.1    15.1   191.2   963.3   222.0   104.9  1423.3
 1905    41.9    47.9    84.9    52.0    95.6    96.5   355.1   459.9   242.9    21.7     4.9    14.2   232.4   911.5   269.6   119.1  1517.5
 1906    20.3    84.6    33.5    24.9    66.3   203.1   329.6   395.0   147.2    34.1     5.2     8.4   124.8   927.7   186.5    88.5  1352.3
 1907    14.2    65.9    97.2    95.4    50.8   253.3   247.4   235.1   178.9    20.0     4.9     7.8   243.5   735.8   203.8    82.8  1271.0
 1908    26.3    48.7    26.4    25.9    56.3   157.0   275.7   244.2   165.0    22.7     5.4     8.7   108.7   677.0   193.1    55.8  1062.4
 1909    23.0    24.2    17.8   158.7    52.7   363.1   369.2   308.4   138.3    30.2     4.9    27.0   229.3  1040.7   173.4    63.9  1517.6
 1910    14.7    22.2    24.4    44.8    75.0   276.3   367.8   291.8   242.4    63.4    13.8     8.7   144.2   935.8   319.6    55.3  1445.2
 1911    34.0    12.6    97.0    55.0    69.1   304.2   223.0   343.7   206.7    60.0    22.9     7.5   221.2   870.9   289.6    50.5  1435.9
 1912    19.6    23.4    54.4    55.1    76.9   171.3   321.6   263.0   156.8    22.7    43.3     9.9   186.4   755.9   222.8    82.6  1218.0
 1913    10.3    62.4    62.0    28.5   140.8   416.7   237.2   369.5   172.2    35.2     9.8    47.5   231.3  1023.3   217.1   103.7  1591.8
 1914     9.3    46.9    50.7    74.5   123.3   155.5   324.1   531.7   194.2    28.0    21.6     7.8   248.5  1011.3   243.9    97.1  1567.7
 1915    15.1    74.2    74.9    52.9    81.9   218.8   334.9   477.0   220.2    41.5    19.8    10.3   209.7  1030.7   281.5    50.0  1621.6
 1916     9.0    30.7    17.9    48.2    58.7   295.8   333.1   340.8   246.6    76.8     5.8     7.3   124.8   969.7   329.2    63.2  1470.6
 1917    13.5    42.5    43.0    54.5   183.1   281.3   316.1   230.1   252.3    79.8     5.1    13.7   280.6   827.5   337.2    37.3  1515.0
 1918    11.2    12.3    31.3    76.3    76.7   288.2   227.9   437.1   210.3    25.7    16.8     8.7   184.3   953.1   252.8    62.3  1422.5
 1919    32.9    20.8    27.3    72.5    73.9   173.0   324.3   236.2   201.2    42.6     6.5     9.1   173.6   733.6   250.3    58.9  1220.3
 1920    10.7    39.1    68.4    24.6    68.0   194.0   332.2   188.3   175.9    21.8     4.9     7.8   161.1   714.5   202.6    57.5  1135.6
 1921    35.4    14.3    32.0    29.4    52.4   189.7   275.4   390.1   183.8    61.1     4.9     7.6   113.8   855.3   249.9    64.7  1276.3
 1922    30.3    26.8    17.7    34.6    42.8   338.2   375.6   374.6   210.9    32.5     7.7    42.4    95.1  1088.4   251.0   126.7  1534.0
 1923    13.0    71.3    18.9    33.3    87.6   168.0   264.3   256.6   195.7    69.6    15.4    16.4   139.8   688.9   280.7    63.1  1210.1
 1924    16.6    30.1    22.4    28.2    63.6   164.2   357.6   295.5   303.5    79.5    34.0    18.2   114.2   817.2   417.0    54.3  1413.3
 1925    22.9    13.2    21.9    81.8    86.0   218.3   353.9   416.2   224.7    26.7    16.7     7.3   189.8   988.4   268.1    42.6  1489.7
 1926    19.1    16.2    69.0    77.4   100.9   100.9   378.9   302.5   189.4    28.6    11.0    13.4   247.3   782.3   229.1    78.7  1307.3
 1927    19.0    46.3    56.3    32.1    94.2   153.8   282.7   309.4   146.0    79.4    32.7     8.9   182.6   745.9   258.1   102.6  1260.8
 1928    38.4    55.3    24.4    48.4    60.2   205.5   344.9   238.4    99.6    74.7    11.7    25.7   132.9   788.8   185.9    81.6  1226.9
 1929    42.4    13.5    35.5    68.8    52.6   232.2   326.3   309.8   141.3   110.8     4.9    36.6   156.9   868.3   257.0    84.7  1374.6
 1930    21.3    26.8    52.1    40.3    47.0   168.2   299.9   241.6   165.4    50.4    22.5    31.5   139.4   709.6   238.3    98.3  1167.0
 1931    10.7    56.1    32.7    22.6    57.2   117.0   409.1   226.6   247.2    96.5    10.2     8.2   112.5   752.7   353.9    39.8  1294.1
 1932     9.0    22.6    28.2    28.9    47.2   181.4   203.3   252.8   247.8    31.7    35.6    24.4   104.2   637.5   315.2    89.0  1112.8
 1933    24.5    40.1    24.0   105.5   146.0   222.9   371.9   323.2   167.5    95.4     4.9     7.5   275.4   918.0   267.8    62.6  1533.3
 1934    31.5    23.5    34.7    25.2    52.2   208.0   320.3   280.9   163.1    40.1     7.4    19.4   112.1   809.1   210.7    86.6  1206.3
 1935    33.3    33.9    22.9    41.4    46.9   167.2   282.5   304.7   170.4    19.8    10.9    15.9   111.1   754.4   201.2    60.0  1149.8
 1936    13.3    30.8    35.7    39.0   113.4   235.1   455.7   328.3   246.4    37.4     7.7    49.4   188.0  1019.1   291.4   132.5  1592.0
 1937     9.9    73.3    19.4    78.7   117.5   147.1   248.2   399.3   184.4   121.9     5.5    16.0   215.5   794.7   311.9    82.6  1421.2
 1938    33.8    32.8    19.5    26.6    95.1   417.6   309.6   381.5   167.2    34.8     5.9     7.3   141.2  1108.7   207.9    68.4  1531.7
 1939    15.7    45.4    29.4    38.4    41.3   245.6   312.1   297.1   170.2    53.4     4.9     7.3   109.1   854.8   228.5    93.9  1260.8
 1940    17.8    68.8    70.9    38.3    92.0   170.6   401.9   335.1   142.4    13.3     2.6    23.4   201.2   907.5   158.2    60.9  1376.9
 1941    23.1    14.4    11.7    26.9   109.8   260.4   237.8   343.0   163.4    34.4    12.4     9.7   148.4   841.2   210.3    80.1  1247.2
 1942    30.2    40.2    22.5    94.3    49.4   226.3   347.1   369.3   268.6    14.5     2.5    16.6   166.2   942.6   285.6    88.4  1481.4
 1943    26.5    45.4    19.4   115.8    56.4   184.8   292.2   394.7   210.3    33.2     2.5     3.7   191.6   871.6   246.0    96.4  1384.9
 1944    43.3    49.3    82.7   101.7    43.7   216.4   284.4   302.0   247.4    30.5     2.9     4.7   228.0   802.8   280.9    71.2  1409.1
