 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    23.5    19.6    17.2    13.7    11.9     6.9     5.3     6.3     8.9    13.3    17.2    21.1    42.8    18.5    39.4    60.5   164.9
 1902    21.1    18.4    15.8    13.7    11.8     8.0     6.4     5.9     9.1    14.1    17.9    21.9    41.2    20.3    41.1    63.8   163.9
 1903    22.2    19.7    17.7    13.9    11.8     7.6     4.7     6.5     8.7    14.0    17.8    21.8    43.4    18.9    40.6    63.5   166.5
 1904    22.3    19.5    17.2    13.3    12.3     8.5     7.0     6.8     9.2    14.0    18.1    21.3    42.7    22.3    41.3    65.1   169.3
 1905    23.6    20.2    19.2    15.2    11.9     6.9     6.1     6.3     8.8    13.8    17.1    21.4    46.4    19.3    39.7    64.5   170.7
 1906    22.9    20.1    18.4    13.5    11.0     8.3     6.1     6.8     9.0    13.9    17.0    20.6    42.9    21.2    39.8    61.3   167.6
 1907    20.7    20.0    19.0    14.8    12.5     8.4     5.2     6.5     8.5    13.5    17.2    21.9    46.4    20.1    39.2    64.2   168.3
 1908    22.8    19.5    17.0    12.7    11.6     7.4     6.3     6.8     9.0    14.0    17.8    22.1    41.3    20.6    40.8    63.3   167.1
 1909    21.7    19.5    16.3    14.5    11.9     9.6     6.7     6.7     9.0    13.8    16.5    21.2    42.8    23.1    39.3    62.7   167.5
 1910    22.4    19.1    17.0    13.9    11.8     9.1     6.7     6.7     8.9    14.3    18.1    21.9    42.8    22.5    41.3    62.1   170.0
 1911    20.9    19.2    18.4    13.9    11.4     9.0     4.9     6.2     9.3    13.9    18.6    22.2    43.7    20.0    41.9    62.9   167.9
 1912    21.9    18.8    17.5    14.2    11.9     7.7     6.2     6.7     9.4    14.0    18.2    21.9    43.6    20.7    41.6    63.1   168.5
 1913    22.0    19.2    18.6    13.2    12.8    10.0     6.3     6.3     8.7    13.7    18.0    22.0    44.6    22.7    40.5    62.0   170.9
 1914    21.1    18.9    17.6    14.3    12.1     8.6     6.5     6.7     9.1    14.7    17.3    21.3    44.1    21.8    41.1    62.4   168.2
 1915    21.5    19.5    17.6    13.8    11.1     8.3     5.6     6.3     8.7    13.0    16.7    21.1    42.5    20.2    38.5    62.8   163.4
 1916    22.0    19.7    15.6    13.2    11.5     9.5     6.8     6.8     9.1    13.9    18.0    22.2    40.3    23.0    40.9    63.9   168.3
 1917    22.4    19.2    17.8    15.0    13.3     9.3     6.7     6.7     9.5    14.3    18.0    21.6    46.0    22.8    41.8    63.6   173.7
 1918    23.2    18.8    17.0    14.5    11.3     9.6     5.0     6.5     8.8    13.7    17.5    22.2    42.8    21.0    40.0    64.0   168.1
 1919    21.9    19.8    16.7    14.2    12.1     8.1     6.8     6.6     9.3    14.1    17.5    21.7    43.0    21.5    40.9    63.4   168.9
 1920    21.6    20.2    17.5    13.9    13.0     8.4     6.4     6.4     8.6    13.4    16.8    20.5    44.4    21.1    38.8    60.8   166.5
 1921    21.4    18.9    15.5    12.9    10.4     8.4     5.6     6.9     9.4    14.6    17.8    20.7    38.8    21.0    41.7    60.9   162.5
 1922    22.2    18.1    16.1    13.2    11.1     9.1     6.6     6.9     9.3    14.4    17.5    21.7    40.4    22.5    41.2    63.1   166.0
 1923    21.9    19.5    16.7    13.2    11.8     6.8     6.3     6.7     9.0    14.4    17.4    21.0    41.7    19.8    40.8    62.9   164.7
 1924    22.5    19.5    15.8    13.1    12.6     6.7     6.5     6.7     9.4    13.8    17.7    21.1    41.5    19.9    41.0    64.7   165.4
 1925    23.6    20.0    16.9    13.3    12.2     9.4     7.1     6.4     9.1    14.0    18.1    21.8    42.5    22.8    41.2    62.2   171.8
 1926    22.2    18.2    18.1    15.1    12.7     6.9     5.8     6.6     9.2    14.2    18.8    21.3    45.8    19.3    42.2    64.0   169.0
 1927    22.9    19.8    18.2    13.9    12.4     8.0     6.2     6.8     9.0    13.9    17.8    20.5    44.4    21.1    40.7    62.2   169.3
 1928    22.4    19.3    16.7    13.8    11.3     8.7     6.4     5.8     8.4    13.5    17.2    21.1    41.7    20.9    39.2    63.1   164.5
 1929    22.2    19.8    16.2    13.4    11.2     8.2     6.4     7.0     8.6    14.2    17.4    21.9    40.8    21.7    40.2    64.2   166.6
 1930    23.0    19.3    16.5    13.8    11.7     8.5     6.9     6.6     8.9    13.8    17.8    21.5    42.1    21.9    40.5    61.8   168.2
 1931    20.8    19.6    17.4    12.9    11.7     7.3     6.2     5.9     9.2    14.0    17.8    20.7    42.0    19.4    41.0    61.7   163.5
 1932    20.6    20.5    16.5    13.6    12.1     7.2     5.8     6.7     8.9    13.8    17.4    21.3    42.3    19.8    40.1    63.2   164.4
 1933    23.5    18.4    16.7    14.7    13.0     8.9     6.7     7.1     9.4    14.2    17.6    20.9    44.4    22.7    41.2    62.2   171.1
 1934    22.8    18.5    17.4    13.6    11.9     8.8     6.5     6.9     8.8    14.4    17.8    21.0    42.9    22.2    40.9    62.7   168.3
 1935    23.1    18.5    16.7    14.8    11.2     7.4     6.3     7.1     9.0    14.2    17.2    21.4    42.7    20.7    40.4    64.1   166.9
 1936    22.9    19.8    16.8    13.7    11.3     9.7     6.9     6.6     9.2    14.1    17.1    21.0    41.9    23.2    40.5    62.7   169.2
 1937    22.9    18.8    17.7    14.1    11.9     8.1     5.9     6.4     8.7    14.2    17.4    21.6    43.7    20.3    40.4    63.6   167.7
 1938    21.8    20.2    15.9    13.0    11.4     9.4     6.4     6.1     8.3    13.6    18.3    21.2    40.3    21.9    40.2    61.0   165.6
 1939    21.2    18.6    18.1    13.9    11.1     8.9     6.4     6.2     9.0    13.7    17.5    20.8    43.1    21.5    40.2    62.8   165.4
 1940    22.1    19.9    18.4    14.0    11.5     7.8     6.0     6.6     9.2    13.8    16.7    21.2    43.9    20.4    39.7    61.6   167.2
 1941    22.1    18.2    15.6    12.7    11.2     9.0     5.4     6.0     8.8    13.2    17.2    19.8    39.5    20.5    39.3    60.6   159.4
 1942    22.4    18.4    16.1    13.3    11.2     7.3     6.4     7.0     9.4    13.8    16.6    21.3    40.5    20.7    39.9    61.3   163.2
 1943    20.9    19.1    16.6    14.4    11.6     8.3     6.5     6.9     8.7    13.8    16.6    20.1    42.6    21.7    39.1    62.2   163.5
 1944    22.2    19.9    17.5    14.4    10.8     8.3     6.4     6.3     8.9    14.0    17.0    19.7    42.7    20.9    39.8    62.4   165.3
 1945    23.0    19.7    16.4    14.1    11.9     7.8     5.9     6.0     8.8    14.2    17.4    22.0    42.5    19.6    40.3    60.5   167.1
 1946    21.3    17.3    16.8    13.7    11.9     8.7     6.6     6.0     8.6    13.7    17.2    20.5    42.4    21.3    39.5    61.5   162.3
 1947    22.5    18.5    16.3    12.9    11.3     7.3     5.9     6.1     9.0    14.2    16.7    20.4    40.5    19.3    39.9    61.6   161.0
 1948    21.8    19.4    17.4    13.0    11.3     7.5     6.4     6.7     8.8    13.7    17.4    21.2    41.7    20.6    39.9    60.8   164.6
 1949    20.8    18.8    16.6    13.6    11.8     7.9     6.3     6.4     8.7    13.7    18.2    22.3    42.0    20.6    40.5    63.0   165.0
 1950    21.3    19.5    17.7    13.9    11.5     8.4     6.5     6.9     9.3    14.1    17.7    21.3    43.2    21.8    41.1    62.9   168.1
 1951    22.7    18.8    16.8    14.4    11.7     8.1     5.8     6.0     8.8    12.8    16.6    20.9    42.8    19.9    38.2    60.0   163.4
 1952    21.1    18.0    17.4    13.4    11.6     8.6     6.3     6.8     8.7    13.4    17.1    20.8    42.3    21.7    39.2    61.2   163.2
 1953    22.7    17.7    15.0    13.1    11.1     8.0     6.7     6.4     9.0    13.9    17.5    19.6    39.3    21.0    40.5    60.1   160.7
 1954    23.0    17.6    16.7    12.9    10.8     8.2     6.3     6.4     8.9    14.5    17.7    21.2    40.4    20.9    41.1    62.3   164.2
 1955    22.2    18.9    15.7    14.2    11.7     8.0     6.6     6.7     8.9    13.9    17.3    21.0    41.7    21.3    40.0    63.1   165.1
 1956    22.0    20.1    16.6    13.1    10.7     8.6     7.0     6.7     9.0    13.6    17.3    20.3    40.4    22.3    39.9    61.1   164.9
 1957    21.5    19.3    18.1    13.9    11.7     8.2     5.6     6.0     9.1    14.0    17.2    20.3    43.7    19.9    40.3    58.8   164.9
 1958    20.2    18.3    16.7    12.9    11.3     7.5     5.8     6.3     8.6    13.3    16.9    20.1    40.9    19.5    38.9    60.7   157.8
 1959    21.5    19.2    16.8    13.2    11.6     8.3     6.0     6.1     9.1    12.9    16.8    20.3    41.6    20.4    38.9    61.4   161.8
 1960    22.8    18.3    17.6    13.8    11.6     8.1     6.1     5.8     8.6    13.8    17.8    20.6    43.0    20.0    40.2    61.3   164.8
 1961    21.2    19.6    16.3    13.6    11.5     8.5     5.9     5.7     8.5    13.6    17.5    23.0    41.4    20.2    39.6    64.9   164.8
 1962    23.0    18.9    17.6    13.6    12.0     7.9     5.7     6.6     8.7    14.4    17.1    20.9    43.2    20.2    40.2    63.5   166.4
 1963    23.7    18.9    17.6    13.9    12.3     8.6     5.8     6.2     9.2    13.4    16.1    21.1    43.8    20.5    38.7    62.4   166.7
 1964    22.1    19.2    16.4    12.9    12.8     8.4     6.5     6.2     8.6    13.6    17.3    21.0    42.1    21.1    39.4    62.6   164.9
 1965    22.1    19.5    18.1    14.1    12.0     8.0     6.5     7.1     9.6    14.2    17.1    22.4    44.2    21.6    40.8    62.4   170.6
 1966    22.6    17.4    16.9    13.5    11.8     8.6     6.2     6.2     9.6    14.6    17.1    21.2    42.2    21.0    41.3    62.0   165.9
 1967    22.4    18.3    17.8    14.2    12.4     8.4     6.5     6.4     9.4    14.7    18.0    20.7    44.4    21.3    42.1    63.7   169.3
 1968    22.6    20.4    17.2    14.0    12.2     8.7     6.5     6.8     8.9    14.3    17.4    20.8    43.4    22.0    40.7    61.2   169.8
 1969    22.1    18.4    16.5    13.6    12.2     8.2     6.4     7.0     9.0    13.7    16.3    20.8    42.2    21.5    39.0    62.1   164.1
 1970    21.9    19.4    17.1    13.6    11.4     8.9     6.2     6.3     8.7    13.7    17.6    21.3    42.1    21.4    39.9    63.5   166.0
 1971    22.4    19.8    17.4    13.9    12.5     8.6     6.8     7.6     9.6    13.6    17.6    21.5    43.9    23.0    40.8    63.8   171.5
 1972    21.6    20.7    16.7    14.3    11.7     8.5     6.2     7.1     9.6    14.1    17.3    20.5    42.7    21.8    41.1    59.3   168.4
 1973    20.8    17.9    17.8    13.4    11.8     8.4     6.4     6.7     8.6    13.5    17.2    21.4    43.0    21.5    39.2    62.8   164.0
 1974    22.3    19.1    16.2    13.3    11.8     8.6     6.7     6.7     9.5    13.0    17.9    21.4    41.3    21.9    40.4    63.1   166.3
 1975    22.6    19.0    17.5    13.7    12.0     8.5     7.2     7.0     8.7    13.1    17.8    21.3    43.2    22.7    39.6    61.9   168.3
 1976    22.2    18.4    16.7    13.9    12.2     8.8     7.0     7.3     9.6    14.4    15.9    21.2    42.8    23.1    39.8    61.6   167.5
 1977    21.6    18.8    16.3    13.5    13.0     9.1     6.4     6.3     9.1    13.8    16.0    20.2    42.9    21.8    38.9    62.7   164.1
 1978    23.2    19.3    18.5    14.2    11.3     8.5     6.8     6.6     9.0    13.5    16.2    20.8    44.0    21.9    38.7    62.5   168.0
 1979    22.1    19.6    17.3    13.2    12.0     8.5     6.5     6.5     9.8    13.4    15.0    19.1    42.5    21.5    38.2    59.8   162.9
 1980    22.0    18.7    17.1    13.2    11.3     8.4     6.3     6.5     8.5    13.6    17.2    20.2    41.6    21.2    39.3    60.5   163.0
 1981    22.0    18.4    17.3    13.9    11.9     8.2     5.9     6.2     9.1    14.3    17.4    21.8    43.1    20.3    40.8    62.2   166.4
 1982    21.6    18.8    18.1    13.9    12.7     8.7     5.9     6.6     9.4    13.9    16.8    20.1    44.7    21.2    40.1    62.4   166.5
 1983    22.6    19.7    17.6    14.7    12.5     8.9     6.5     6.7     8.5    13.8    18.2    21.3    44.7    22.0    40.4    63.6   170.8
 1984    22.5    19.8    16.2    13.4    11.2     8.0     6.2     7.4     9.6    13.5    17.8    19.2    40.7    21.7    40.9    59.6   164.8
